符合條件商品
資料日期：2022年  1月 20日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-20 20:28 符合檔數(1446)
69	,1439.TW,中和,23,1.55,5,0.42,0.45,0.18,0,0,0.33
70	,1440.TW,南紡,24.3,2.1,6950,0.74,0.52,0.78,0.32,0.72,0.46
71	,1442.TW,名軒,22,0.92,204,0.66,0.6,0.44,0.2,0.52,0.45
72	,1444.TW,力麗,10.8,0,2699,0.66,0.58,0.66,0.29,0.55,0.58
73	,1445.TW,大宇,15.55,0.65,81,0.46,0.6,0.33,0,0.37,0.34
74	,1446.TW,宏和,32.45,0.15,147,0.4,0.48,0.38,0,0.13,0.41
75	,1447.TW,力鵬,9.83,-0.71,1462,0.54,0.48,0.66,0.21,0.62,0.42
76	,1449.TW,佳和,14.8,0.34,22,0.58,0.61,0.22,0,0,0.07
77	,1451.TW,年興,21,-0.47,101,0.51,0.46,0.19,0,0.06,0.4
78	,1452.TW,宏益,23.15,-0.22,155,0.64,0.64,0.38,0,0.61,0.47
79	,1453.TW,大將,8.97,0.45,25,0.73,0.54,0,0,0,0.17
80	,1454.TW,台富,14.25,3.26,227,0.5,0.56,0.21,0,0.71,0.26
81	,1455.TW,集盛,15.6,0.65,1034,0.62,0.62,0.61,0,0.72,0.56
82	,1456.TW,怡華,19.65,-1.75,236,0.68,0.6,0.35,0,0.56,0.34
83	,1457.TW,宜進,18.65,0.27,324,0.46,0.74,0.4,0,0.51,0.36
84	,1459.TW,聯發,12.15,0.41,303,0.56,0.62,0.06,0,0,0.25
85	,1463.TW,強盛,13.75,0,99,0.62,0.52,0.37,0,0,0.5
86	,1464.TW,得力,16.55,-0.6,410,0.53,0.56,0.33,0,0.15,0.5
87	,1465.TW,偉全,12.55,0.4,8,0.34,0.43,0.17,0,0,0.38
88	,1466.TW,聚隆,15.2,0,157,0.54,0.66,0.28,0,0.38,0.57
89	,1467.TW,南緯,13.75,1.1,979,0.58,0.58,0.18,0,0.47,0.54
90	,1470.TW,大統新創,17.7,0,1,0.22,0.57,0.22,0,0,0.09
91	,1473.TW,台南,18.05,0.28,14,0.45,0.6,0.26,0,0,0.23
92	,1474.TW,弘裕,15.5,-0.64,340,0.54,0.52,0.17,0,0.54,0.47
93	,1476.TW,儒鴻,612,0.66,431,0.28,0.54,0.52,0.72,0.49,0.52
94	,1477.TW,聚陽,245,1.87,703,0.38,0.61,0.64,0.59,0.46,0.5
95	,1503.TW,士電,53.7,-0.19,81,0.43,0.6,0.56,0,0,0.31
96	,1504.TW,東元,30.6,-0.16,1138,0.62,0.46,0.52,0.55,0.47,0.42
97	,1507.TW,永大,64.5,-0.15,20,0.37,0.58,0.48,0,0,0.4
98	,1513.TW,中興電,43.35,0,801,0.76,0.74,0.64,0.55,0.53,0.58
99	,1514.TW,亞力,24.05,-0.21,516,0.56,0.7,0.38,0,0.23,0.5
100	,1515.TW,力山,51.2,-0.97,574,0.42,0.72,0.64,0,0.53,0.64
101	,1516.TW,川飛,23.15,0.65,47,0.63,0.57,0.36,0,0.09,0.18
102	,1517.TW,利奇,26.5,0.19,584,0.7,0.62,0.57,0,0.63,0.5
103	,1519.TW,華城,39.7,-1.24,1375,0.6,0.76,0.71,0.19,0.54,0.64
104	,1521.TW,大億,40.1,-0.25,23,0.39,0.57,0.11,0,0,0.24
105	,1522.TW,堤維西,19,-0.26,88,0.58,0.58,0.4,0.08,0.27,0.54
106	,1524.TW,耿鼎,10.5,0.96,124,0.58,0.65,0.16,0,0.18,0.26
107	,1525.TW,江申,60.2,0.67,48,0.59,0.68,0.38,0,0,0.47
108	,1526.TW,日馳,49.25,-0.51,542,0.64,0.58,0.42,0,0.43,0.46
109	,1527.TW,鑽全,42.15,-0.12,203,0.66,0.62,0.48,0.12,0.32,0.54
110	,1528.TW,恩德,11,0,247,0.52,0.58,0.31,0,0.2,0.33
111	,1529.TW,樂士,20.35,10,4868,0.5,0.58,0.31,1,0.52,0.44
112	,1530.TW,亞崴,33,0.61,2,0.4,0.51,0.31,0,0,0.19
113	,1531.TW,高林股,15.9,0,68,0.57,0.47,0.22,0,0,0.16
114	,1532.TW,勤美,33.8,0.9,359,0.54,0.6,0.43,0.22,0.26,0.42
115	,1533.TW,車王電,62.2,5.78,4011,0.71,0.62,0.38,0.33,0.55,0.58
116	,1535.TW,中宇,40,0.13,15,0.52,0.5,0.22,0,0,0.28
117	,1536.TW,和大,85.9,-0.81,1111,0.32,0.76,0.68,0.15,0.47,0.56
118	,1537.TW,廣隆,138,0,75,0.34,0.5,0.34,0.08,0,0.36
119	,1539.TW,巨庭,19.85,0.76,36,0.54,0.59,0.32,0,0.32,0.28
120	,1540.TW,喬福,14.9,0.34,20,0.43,0.47,0.21,0,0,0.25
121	,1541.TW,錩泰,42.55,-1.28,11,0.37,0.63,0.16,0,0,0.18
122	,1558.TW,伸興,144.5,0,61,0.44,0.66,0.48,0.13,0,0.51
123	,1560.TW,中砂,103.5,-0.48,2953,0.7,0.54,0.69,0.36,0.55,0.4
124	,1565.TW,精華,291,-0.17,112,0.49,0.62,0.78,0.6,0.5,0.5
125	,1568.TW,倉佑,21.4,1.42,81,0.63,0.53,0.41,0,0.38,0.55
126	,1569.TW,濱川,23.2,0,145,0.68,0.68,0.45,0,0.34,0.5
127	,1570.TW,力肯,21.4,0.71,136,0.62,0.52,0.26,0,0.36,0.35
128	,1580.TW,新麥,105.5,-0.47,59,0.41,0.5,0.19,0,0,0.19
129	,1582.TW,信錦,69.7,0.43,235,0.58,0.7,0.43,0,0.33,0.54
130	,1583.TW,程泰,62.3,0.97,12,0.22,0.61,0.27,0,0,0.26
131	,1584.TW,精剛,17,1.19,94,0.55,0.62,0.17,0,0.58,0.35
132	,1586.TW,和勤,41.6,0.24,281,0.4,0.58,0.32,0,0.32,0.57
133	,1587.TW,吉茂,25.45,0,57,0.7,0.7,0.24,0,0.31,0.49
134	,1589.TW,永冠-KY,63.6,1.27,214,0.48,0.56,0.58,0,0.35,0.52
135	,1590.TW,亞德客-KY,969,0.94,313,0.32,0.61,0.54,0.59,0.53,0.48
136	,1591.TW,駿吉-KY,14.55,0,14,0.57,0.55,0,0,0,0
137	,1593.TW,祺驊,83.1,1.84,45,0.6,0.44,0.28,0,0.3,0.46
138	,1595.TW,川寶,47.6,-0.83,88,0.45,0.51,0.27,0,0.1,0.37
139	,1597.TW,直得,82.2,-0.12,83,0.53,0.56,0.65,0.25,0.56,0.59
140	,1598.TW,岱宇,48.1,0.21,187,0.5,0.72,0.63,0.26,0.5,0.64
141	,1599.TW,宏佳騰,52.2,0.77,388,0.67,0.6,0.16,0,0.36,0.38
142	,1603.TW,華電,27.3,1.87,186,0.6,0.58,0.33,0,0.21,0.51
143	,1604.TW,聲寶,30.8,0.16,358,0.46,0.76,0.51,0.3,0.29,0.44
144	,1605.TW,華新,26.45,2.12,7903,0.56,0.64,0.64,0.38,0.66,0.42
145	,1608.TW,華榮,20.65,0.49,800,0.56,0.5,0.6,0.15,0.56,0.52
146	,1609.TW,大亞,23.95,0,1393,0.56,0.58,0.74,0.3,0.61,0.58
147	,1611.TW,中電,20.9,4.5,35245,0.58,0.6,0.39,0,0.44,0.45
148	,1612.TW,宏泰,24.65,-0.4,786,0.5,0.76,0.74,0.4,0.49,0.5
149	,1614.TW,三洋電,35.75,0.7,24,0.63,0.61,0.44,0,0,0.48
150	,1615.TW,大山,31.85,0,41,0.54,0.6,0.21,0,0.05,0.41
151	,1617.TW,榮星,18,0,80,0.56,0.56,0.34,0,0,0.36
152	,1618.TW,合機,14,1.08,102,0.56,0.7,0.38,0,0.34,0.4
153	,1626.TW,艾美特-KY,22.05,3.52,891,0.43,0.53,0.31,0,0.35,0.32
154	,1701.TW,中化,22.35,0,242,0.54,0.62,0.62,0,0.12,0.52
155	,1702.TW,南僑,49.2,-0.1,227,0.63,0.62,0.49,0.41,0.11,0.48
156	,1707.TW,葡萄王,158,0.32,153,0.48,0.7,0.57,0.13,0.09,0.54
157	,1708.TW,東鹼,33.85,-0.29,1734,0.42,0.66,0.52,0.1,0.66,0.42
158	,1709.TW,和益,23.95,-0.83,2104,0.55,0.58,0.48,0,0.58,0.47
159	,1710.TW,東聯,22,0,1627,0.7,0.6,0.72,0.13,0.71,0.44
160	,1711.TW,永光,24.8,0.4,2249,0.66,0.54,0.82,0,0.63,0.46
161	,1712.TW,興農,28.35,-0.35,526,0.65,0.6,0.4,0.14,0.44,0.31
162	,1713.TW,國化,24.3,0.41,13,0.68,0.62,0.29,0,0,0.21
163	,1714.TW,和桐,11.45,1.33,3362,0.52,0.72,0.51,0,0.48,0.46
164	,1717.TW,長興,38.1,1.06,2201,0.68,0.64,0.68,0.55,0.49,0.48
165	,1718.TW,中纖,10.05,0.5,3373,0.58,0.56,0.72,0,0.53,0.48
166	,1720.TW,生達,42.7,0.83,197,0.6,0.65,0.47,0,0.25,0.41
167	,1721.TW,三晃,23.35,-1.06,3634,0.58,0.48,0.43,0,0.57,0.33
168	,1722.TW,台肥,68,-0.87,4023,0.58,0.5,0.68,0.47,0.37,0.36
169	,1723.TW,中碳,115.5,0.43,250,0.64,0.68,0.59,0.27,0.41,0.48
170	,1725.TW,元禎,28.85,0.35,47,0.51,0.56,0.37,0,0.54,0.32
171	,1726.TW,永記,73.7,0.14,15,0.15,0.34,0.43,0,0,0.23
172	,1727.TW,中華化,42.4,-1.97,2730,0.53,0.6,0.34,0.17,0.69,0.33
173	,1730.TW,花仙子,64.1,0.16,35,0.55,0.55,0.34,0,0,0.41
174	,1731.TW,美吾華,19.3,0.26,134,0.59,0.6,0.38,0,0.09,0.4
175	,1732.TW,毛寶,46.5,-4.71,16937,0.74,0.54,0.16,0,0.56,0.51
176	,1733.TW,五鼎,26.55,-0.75,350,0.58,0.66,0.32,0,0.08,0.31
177	,1734.TW,杏輝,29.7,0,3543,0.5,0.54,0.29,0,0.54,0.62
178	,1735.TW,日勝化,18.25,0.83,21,0.38,0.51,0.26,0,0,0.29
179	,1736.TW,喬山,55.3,0,206,0.56,0.62,0.71,0.13,0.65,0.6
180	,1737.TW,臺鹽,33.45,0.6,109,0.55,0.74,0.42,0,0,0.51
181	,1742.TW,台蠟,19.7,-1.25,131,0.5,0.49,0.33,0,0.48,0.12
182	,1752.TW,南光,39.3,0.9,273,0.58,0.51,0,0,0.35,0.56
183	,1760.TW,寶齡富錦,77.8,0.52,1835,0.72,0.6,0.72,0,0.66,0.56
184	,1762.TW,中化生,64.8,0,260,0.38,0.64,0.59,0.35,0.57,0.54
185	,1773.TW,勝一,160.5,0.63,656,0.8,0.53,0.66,0.26,0.42,0.48
186	,1776.TW,展宇,20.65,-0.48,35,0.49,0.4,0.3,0.17,0.17,0.27
187	,1777.TW,生泰,66,0.92,42,0.54,0.51,0.25,0,0,0.28
188	,1783.TW,和康生,45.4,-0.11,129,0.66,0.48,0.42,0,0.62,0.49
189	,1784.TW,訊聯,37.2,-0.67,94,0.6,0.56,0.09,0,0.32,0.5
190	,1785.TW,光洋科,49.6,0.1,1225,0.7,0.56,0.51,0.46,0.58,0.5
191	,1786.TW,科妍,48.35,0.1,21,0.5,0.52,0.29,0,0,0.26
192	,1788.TW,杏昌,143,0,30,0.27,0.41,0,0,0.17,0.18
193	,1789.TW,神隆,24,0.63,205,0.44,0.58,0.48,0,0.42,0.48
194	,1795.TW,美時,87.7,0.46,612,0.63,0.54,0.49,0.27,0.5,0.54
195	,1802.TW,台玻,25.45,0.99,6632,0.53,0.62,0.68,0.62,0.59,0.5
196	,1806.TW,冠軍,11.55,0.43,380,0.54,0.5,0.34,0,0.55,0.42
197	,1808.TW,潤隆,54,0.75,88,0.38,0.64,0.53,0,0,0.44
198	,1809.TW,中釉,14.25,1.42,513,0.58,0.44,0.34,0.29,0.62,0.42
199	,1810.TW,和成,15.7,0,1042,0.54,0.66,0.38,0.43,0.57,0.4
200	,1813.TW,寶利徠,17.95,-0.55,49,0.41,0.44,0,0,0,0
201	,1815.TW,富喬,15.55,0.65,939,0.62,0.66,0.7,0,0.7,0.44
202	,1817.TW,凱撒衛,36.5,-0.14,8,0.59,0.58,0.3,0,0,0.36
203	,1903.TW,士紙,64.3,-0.31,83,0.42,0.62,0.62,0,0.72,0.54
204	,1904.TW,正隆,35.05,1.3,933,0.58,0.54,0.56,0.55,0.44,0.52
205	,1905.TW,華紙,23.45,2.4,2586,0.66,0.6,0.58,0.26,0.62,0.48
206	,1906.TW,寶隆,19.8,0.51,115,0.65,0.5,0.28,0,0.42,0.49
207	,1907.TW,永豐餘,34.15,0.74,1164,0.64,0.48,0.84,0.5,0.5,0.52
208	,1909.TW,榮成,23.25,2.2,4195,0.5,0.58,0.66,0.56,0.58,0.52
