符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-10-31 18:49 符合檔數(1740)
494	,2712.TW,遠雄來,37.95,0,6,91.68
495	,2718.TW,晶悅,27.9,0,0,87.85
496	,2719.TW,燦星旅,12.7,4.96,2,79.7
497	,2722.TW,夏都,32.7,1.55,87,86.58
498	,2723.TW,美食-KY,131,-2.96,994,75.37
499	,2724.TW,富驛-KY,7.2,5.88,16,80.79
500	,2726.TW,雅茗-KY,34.6,0.14,17,49.68
501	,2727.TW,王品,144,-1.03,808,23.29
502	,2729.TW,瓦城,230.5,-0.22,18,61.36
503	,2731.TW,雄獅,87.5,0.34,235,52.2
504	,2732.TW,六角,98.6,-0.9,36,40.16
505	,2734.TW,易飛網,21.25,-2.97,382,41.05
506	,2736.TW,高野,16.1,1.26,71,35.77
507	,2739.TW,寒舍,23.45,0,15,76.73
508	,2740.TW,天蔥,20.5,0,9,32.38
509	,2743.TW,山富,23.45,0.64,50,57.41
510	,2745.TW,五福,22.35,-1.11,14,62.65
511	,2748.TW,雲品,42.25,0.48,96,69.3
512	,2752.TW,豆府,157,0.64,21,37.79
513	,2753.TW,八方雲集,131.5,-1.5,91,57.71
514	,2754.TW,亞洲藏壽司,76.8,-0.9,71,68.04
515	,2755.TW,揚秦,55.8,0.72,5,46.4
516	,2801.TW,彰銀,16.4,-0.61,19096,80.05
517	,2809.TW,京城銀,41.5,-0.36,2169,78.76
518	,2812.TW,台中銀,11.95,0.42,5247,61.48
519	,2816.TW,旺旺保,19.45,0.26,26,75.41
520	,2820.TW,華票,16.65,0,552,61.12
521	,2823.TW,中壽,29,-1.19,9896,81.77
522	,2832.TW,台產,19.95,-0.25,105,63.31
523	,2834.TW,臺企銀,9.46,-0.53,22253,50.4
524	,2836.TW,高雄銀,11.25,-0.88,530,80.72
525	,2838.TW,聯邦銀,11.8,-0.84,1265,88.03
526	,2841.TW,台開,3.4,3.03,3591,40.32
527	,2845.TW,遠東銀,10.45,-0.48,1704,70.12
528	,2849.TW,安泰銀,16.7,-0.3,227,97.88
529	,2850.TW,新產,46.1,-0.22,171,57.13
530	,2851.TW,中再保,28.05,0.54,683,78.45
531	,2852.TW,第一保,13.3,-0.75,114,53.98
532	,2855.TW,統一證,22.65,-0.88,845,69.39
533	,2867.TW,三商壽,9.18,-0.43,2452,73.91
534	,2880.TW,華南金,20.35,-0.25,10607,72.32
535	,2881.TW,富邦金,73.6,-1.21,45597,82.5
536	,2882.TW,國泰金,58.1,0,18175,78.69
537	,2883.TW,開發金,14.2,-1.05,34842,53.48
538	,2884.TW,玉山金,26.55,-0.19,33122,62.98
539	,2885.TW,元大金,24.7,-0.6,15254,79.83
540	,2886.TW,兆豐金,33.4,0,14144,80.48
541	,2887.TW,台新金,18.25,-1.08,20245,63.78
542	,2888.TW,新光金,9.81,-0.61,52468,61.61
543	,2889.TW,國票金,15.9,-0.31,1891,58.17
544	,2890.TW,永豐金,14.15,0,21959,76.69
545	,2891.TW,中信金,23.2,-0.85,23208,77.65
546	,2892.TW,第一金,22.9,0,16777,65.34
547	,2897.TW,王道銀行,7.8,0.13,1168,87.38
548	,2901.TW,欣欣,24.85,-0.6,35,71.52
549	,2903.TW,遠百,22.1,-0.67,777,82.52
550	,2904.TW,匯僑,26.95,-0.19,59,50.08
551	,2905.TW,三商,23.15,-0.43,655,82.53
552	,2906.TW,高林,15.3,-0.33,25,68.36
553	,2908.TW,特力,24.15,-0.62,166,87.34
554	,2910.TW,統領,34.4,-0.15,10,94.71
555	,2911.TW,麗嬰房,8.19,1.24,448,41.82
556	,2912.TW,統一超,281,-0.35,1072,82.92
557	,2913.TW,農林,20.9,0.24,1985,64.66
558	,2915.TW,潤泰全,108.5,3.83,6516,61.66
559	,2916.TW,滿心,19.7,0.51,17,61.54
560	,2923.TW,鼎固-KY,28.45,0.35,71,99.2
561	,2924.TW,東凌-KY,18.4,0,0,66.98
562	,2926.TW,誠品生活,61,-1.61,20,65.66
563	,2929.TW,淘帝-KY,12.3,0.41,104,21.4
564	,2936.TW,客思達-KY,26,0,4,90.79
565	,2937.TW,集雅社,38.6,-0.13,16,74.79
566	,2939.TW,凱羿-KY,35.5,0,40,45.61
567	,2947.TW,振宇五金,106,0,10,56.57
568	,3002.TW,歐格,11.3,0.44,79,63.47
569	,3003.TW,健和興,96.9,2.87,7954,51.47
570	,3004.TW,豐達科,58.6,-0.51,33,52.6
571	,3005.TW,神基,52.3,-1.32,1197,74.9
572	,3006.TW,晶豪科,142.5,0,26572,34.43
573	,3008.TW,大立光,2070,0,499,43.87
574	,3010.TW,華立,85,0.71,1278,51.02
575	,3011.TW,今皓,12,2.13,4100,21.16
576	,3013.TW,晟銘電,13.5,0.37,223,50.91
577	,3014.TW,聯陽,104,0,2576,18.65
578	,3015.TW,全漢,40.5,-0.37,149,53.5
579	,3016.TW,嘉晶,95.3,0.63,23235,69.46
580	,3017.TW,奇鋐,82.9,2.35,13254,56.97
581	,3018.TW,同開,16.25,-0.91,68,39.99
582	,3019.TW,亞光,88.5,1.03,9340,34.5
583	,3021.TW,鴻名,21.4,-1.15,199,65.11
584	,3022.TW,威強電,44.3,-0.45,160,60.86
585	,3023.TW,信邦,230,-2.75,764,57.86
586	,3024.TW,憶聲,13.95,0.36,1082,34.45
587	,3025.TW,星通,23.4,1.3,1524,18.91
588	,3026.TW,禾伸堂,118,1.72,760,34.14
589	,3027.TW,盛達,24.5,2.08,5537,25.51
590	,3028.TW,增你強,28.8,0.35,360,30.89
591	,3029.TW,零壹,46.1,3.6,2969,26.98
592	,3030.TW,德律,55.9,0.18,176,49.41
593	,3031.TW,佰鴻,23.4,-4.29,3346,60.64
594	,3032.TW,偉訓,31.1,-0.48,55,42.75
595	,3033.TW,威健,27.9,0.54,4261,26.85
596	,3034.TW,聯詠,415.5,1.22,5817,49.1
597	,3035.TW,智原,201,2.29,89283,51.76
598	,3036.TW,文曄,62.8,0.16,676,82.44
599	,3037.TW,欣興,190,6.44,98456,75.62
600	,3038.TW,全台,18.4,0,354,27.18
601	,3040.TW,遠見,38.7,-0.51,34,45.63
602	,3041.TW,揚智,28.45,3.83,5275,15.69
603	,3042.TW,晶技,102.5,-0.49,2700,41.3
604	,3043.TW,科風,3.8,0.8,86,14.45
605	,3044.TW,健鼎,117.5,-0.42,454,76.11
606	,3045.TW,台灣大,98.1,-0.1,5436,88.21
607	,3046.TW,建碁,23.2,-3.13,274,64.32
608	,3047.TW,訊舟,10.8,-1.37,905,20.75
609	,3048.TW,益登,34,-0.44,2057,40.77
610	,3049.TW,和鑫,11.9,0.42,3455,50.22
611	,3050.TW,鈺德,17.1,3.64,5667,45.71
612	,3051.TW,力特,9.6,0.31,1298,41.23
613	,3052.TW,夆典,10.7,1.42,525,52.22
614	,3054.TW,立萬利,26.9,-2.89,934,79.14
615	,3055.TW,蔚華科,28.7,0.7,54,60.41
616	,3056.TW,總太,38.8,0,188,40.94
617	,3057.TW,喬鼎,13.9,0,187,21.76
618	,3058.TW,立德,16.25,1.25,5260,23.05
619	,3059.TW,華晶科,37.6,0.53,3571,25.91
620	,3060.TW,銘異,22.1,0.23,410,11.88
621	,3062.TW,建漢,26.45,3.52,65898,29.01
622	,3064.TW,泰偉,14.8,-4.52,10,39.14
623	,3066.TW,李洲,12.25,2.51,67,70.5
624	,3067.TW,全域,28.1,0.36,64,69.46
625	,3071.TW,協禧,22.7,2.48,247,55.83
626	,3073.TW,天方能源,25.4,0,15,68.22
627	,3078.TW,僑威,40.55,0.62,638,38.49
628	,3081.TW,聯亞,178.5,-1.65,352,49.32
629	,3083.TW,網龍,45.1,1.23,80,53.19
630	,3085.TW,新零售,11,-7.95,31,68.28
631	,3086.TW,華義,81,-2.29,18,71.71
632	,3088.TW,艾訊,52.4,1.16,1105,34.56
633	,3089.TW,億杰,34.9,6.89,214,55.32
634	,3090.TW,日電貿,50.4,-0.2,275,22.06
635	,3092.TW,鴻碩,59.9,1.87,1298,31.69
636	,3093.TW,港建,77.8,-0.77,23,70.59
637	,3094.TW,聯傑,32.3,1.25,820,12.4
638	,3095.TW,及成,3.01,1.01,45,40.77
639	,3105.TW,穩懋,357.5,10,22692,57.89
640	,3114.TW,好德,26.5,0.76,686,43.71
641	,3115.TW,寶島極,13.15,0,0,69.93
642	,3118.TW,進階,29.75,-0.83,7,24.14
643	,3122.TW,笙泉,46.45,-3.13,15583,19.7
644	,3128.TW,昇銳,21.75,1.4,433,36.24
645	,3130.TW,一零四,177.5,0,2,67.96
646	,3131.TW,弘塑,363,0.14,154,42.69
647	,3138.TW,耀登,213.5,-2.06,1631,21.34
648	,3141.TW,晶宏,216,-2.26,25158,26.42
649	,3144.TW,新揚科,38.1,-0.26,31,89.47
650	,3147.TW,大綜,57,-0.52,242,33.2
651	,3149.TW,正達,31.9,-3.04,1455,39.14
652	,3152.TW,璟德,343,-2.42,354,47.41
653	,3162.TW,精確,48.55,7.17,1988,54.12
654	,3163.TW,波若威,39.75,-0.63,219,13.91
655	,3164.TW,景岳,23.95,0.63,34,42.33
656	,3167.TW,大量,80.8,0.37,804,55.99
657	,3169.TW,亞信,179.5,3.16,6295,28.89
658	,3171.TW,新洲,20.9,-0.95,13,75.59
659	,3176.TW,基亞,54.5,-4.22,907,25.71
660	,3178.TW,公準,74.1,0.14,503,60.82
661	,3188.TW,鑫龍騰,16,0.95,185,72.57
662	,3189.TW,景碩,244,-1.01,39141,73.56
663	,3191.TW,和進,6.8,0,23,20.36
664	,3202.TW,樺晟,12.7,0.79,361,19.28
665	,3205.TW,佰研,27.1,1.5,126,30.46
666	,3206.TW,志豐,28.1,0.36,48,34.19
667	,3207.TW,耀勝,22.7,0.67,11679,26.46
668	,3209.TW,全科,30.25,1.34,1410,30.75
669	,3211.TW,順達,96,-0.52,3849,28.14
670	,3213.TW,茂訊,58.9,-0.67,53,14.31
671	,3217.TW,優群,91.5,2.01,261,43.4
672	,3218.TW,大學光,318,4.26,427,64.07
673	,3219.TW,倚強科,99,3.77,66,88.16
674	,3221.TW,台嘉碩,31.8,-1.24,1235,18.92
675	,3224.TW,三顧,45.7,-2.66,1392,41.19
676	,3226.TW,至寶電,68.4,0,5,70.44
677	,3227.TW,原相,157.5,-0.32,1573,21.82
678	,3228.TW,金麗科,396,-0.88,2308,24.33
679	,3229.TW,晟鈦,6.83,0.15,309,41.6
680	,3230.TW,錦明,19.75,2.6,420,38.53
681	,3231.TW,緯創,29.2,-0.51,6933,56.07
682	,3232.TW,昱捷,29.3,0,2113,33.22
683	,3234.TW,光環,27.1,-2.17,384,6.35
684	,3236.TW,千如,28.6,6.72,8321,24.01
685	,3252.TW,海灣,16.85,0.6,21,58.49
686	,3257.TW,虹冠電,71.6,7.51,4248,19.19
687	,3259.TW,鑫創,31.7,-2.46,156,45.3
688	,3260.TW,威剛,83,-0.95,3154,14.49
689	,3264.TW,欣銓,59.4,2.95,19129,59.48
690	,3265.TW,台星科,30.3,-0.16,153,58.89
691	,3266.TW,昇陽,12.9,0,55,88.81
692	,3268.TW,海德威,25.8,2.18,569,25.69
693	,3272.TW,東碩,39.05,0.39,84,43.53
694	,3276.TW,宇環,17.5,4.17,435,64.06
695	,3284.TW,太普高,12.9,4.45,61,54.16
696	,3285.TW,微端,20.6,-0.72,48,41.73
697	,3287.TW,廣寰科,17.35,9.81,1507,48.77
698	,3288.TW,點晶,16.95,-0.29,16,29.71
699	,3289.TW,宜特,51.6,-0.77,129,8.81
700	,3290.TW,東浦,14.95,0,317,34.5
701	,3293.TW,鈊象,714,-0.14,543,29.52
702	,3294.TW,英濟,20.55,9.89,2896,59.21
703	,3296.TW,勝德,19.7,2.07,330,64.27
704	,3297.TW,杭特,20.05,0.25,1362,39.1
705	,3303.TW,岱稜,23.65,-0.42,166,38.32
706	,3305.TW,昇貿,70.7,9.95,23840,44.36
707	,3306.TW,鼎天,26.55,-0.93,233,46.61
708	,3308.TW,聯德,7.9,0,68,74.48
709	,3310.TW,佳穎,29.8,-0.33,11,63.56
710	,3311.TW,閎暉,34.4,-1.01,96,46.12
711	,3312.TW,弘憶股,21.55,-0.92,325,47.02
712	,3313.TW,斐成,11.3,-1.74,30,61.01
713	,3317.TW,尼克森,74.8,6.7,9237,18.86
714	,3321.TW,同泰,12.9,-2.27,720,40.47
715	,3322.TW,建舜電,16.2,-0.61,301,29.72
716	,3323.TW,加百裕,46.35,1.64,7643,12.27
717	,3324.TW,雙鴻,159.5,0.63,614,24.35
718	,3325.TW,旭品,15.9,0.32,99,13.86
719	,3332.TW,幸康,39.95,3.36,8,77.68
720	,3338.TW,泰碩,40.2,-1.95,184,21.92
721	,3339.TW,泰谷,17.85,-0.83,127,38.43
722	,3346.TW,麗清,44,-1.46,1266,28.94
723	,3354.TW,律勝,16.8,0,680,70.67
724	,3356.TW,奇偶,31.45,-1.26,346,21.91
725	,3357.TW,臺慶科,127.5,0.79,255,45.62
726	,3360.TW,尚立,14.2,-0.7,57,15.11
727	,3362.TW,先進光,72.2,1.55,1378,53.57
728	,3363.TW,上詮,33.8,2.89,6859,16.08
729	,3372.TW,典範,22.5,-1.96,859,48.01
730	,3373.TW,熱映,36.9,-0.54,115,24.24
731	,3374.TW,精材,135,0,1536,48.32
732	,3376.TW,新日興,99.7,-0.3,480,54.88
733	,3379.TW,彬台,12.05,0,75,44.4
734	,3380.TW,明泰,27,-2.88,2178,68.77
735	,3383.TW,新世紀,4.16,-1.19,38,31.06
736	,3388.TW,崇越電,78.6,0.26,68,33.86
737	,3390.TW,旭軟,17.7,0,73,25.64
738	,3402.TW,漢科,41.8,-0.12,437,25.63
739	,3406.TW,玉晶光,427.5,0.12,2731,37.29
740	,3413.TW,京鼎,204.5,0.99,384,33.69
741	,3416.TW,融程電,81.6,-0.37,243,62.19
742	,3419.TW,譁裕,16.05,-0.31,438,30.16
743	,3426.TW,台興,38.2,-1.16,6,48.44
744	,3432.TW,台端,12.9,0.39,35,59.59
745	,3434.TW,哲固,16.5,-3.79,471,25.19
746	,3437.TW,榮創,24.4,-1.41,594,27.22
747	,3438.TW,類比科,82.7,-1.55,236,58.58
748	,3441.TW,聯一光,41.7,4.38,963,17.67
749	,3443.TW,創意,598,-0.17,3364,60.25
750	,3444.TW,利機,40.5,-0.61,61,38.06
751	,3450.TW,聯鈞,55.8,-1.24,370,21.26
752	,3454.TW,晶睿,73.9,-2.51,153,63.95
753	,3455.TW,由田,63.8,0,329,23.19
754	,3465.TW,進泰電子,178.5,-1.11,70,74.77
755	,3466.TW,致振,18.1,-1.36,1466,37.68
756	,3479.TW,安勤,49.3,-0.6,38,34.63
757	,3481.TW,群創,16.7,2.77,256812,45.48
758	,3483.TW,力致,71.7,-0.42,500,12.06
759	,3484.TW,崧騰,68.8,-0.43,271,17.86
760	,3489.TW,森寶,13.25,-1.85,223,68.96
761	,3490.TW,單井,27.6,0.36,635,6.02
762	,3491.TW,昇達科,124.5,9.69,15502,15.51
763	,3492.TW,長盛,19.75,-1.74,118,36.19
764	,3494.TW,誠研,3.28,-0.3,45,40.87
765	,3498.TW,陽程,34.75,0.58,63,37.49
766	,3499.TW,環天科,13.25,-0.38,215,46.14
767	,3501.TW,維熹,48.15,-0.31,85,46.8
768	,3504.TW,揚明光,131,0.77,18462,66.59
769	,3508.TW,位速,31.1,9.89,20488,23.28
770	,3511.TW,矽瑪,45.35,0.11,2888,53.52
771	,3512.TW,皇龍,29.7,0.85,45,71.66
772	,3515.TW,華擎,173.5,6.12,3759,66.79
773	,3516.TW,亞帝歐,16.35,0.31,127,59.61
774	,3518.TW,柏騰,23.85,-1.85,181,27.51
775	,3520.TW,華盈,13.35,-0.37,36,36.63
776	,3521.TW,鴻翊,14.55,-2.35,573,53
777	,3522.TW,御頂,11.9,0,100,40.72
778	,3523.TW,迎輝,6.7,0,36,68.06
779	,3526.TW,凡甲,158,1.28,1001,31.38
780	,3527.TW,聚積,215.5,-1.82,4490,21.12
781	,3528.TW,安馳,48.3,0.31,11,65.08
782	,3529.TW,力旺,2300,-0.86,613,44.41
783	,3530.TW,晶相光,141.5,-0.35,2581,43.54
784	,3531.TW,先益,21.95,-0.45,0,61.76
785	,3532.TW,台勝科,157.5,0.96,2007,90.45
786	,3533.TW,嘉澤,578,0.7,494,56.6
787	,3535.TW,晶彩科,16.6,-1.19,208,18.57
788	,3536.TW,誠創,6.73,2.28,41,48.73
789	,3537.TW,堡達,34.35,0.15,75,26.93
790	,3540.TW,曜越,40.35,0,230,26.21
791	,3541.TW,西柏,59,2.61,297,22.99
792	,3543.TW,州巧,27.85,-1.07,72,37.76
793	,3545.TW,敦泰,160,-2.44,18963,21.71
794	,3546.TW,宇峻,78.6,0.38,117,21.32
795	,3548.TW,兆利,52.9,0.19,62,30.59
796	,3550.TW,聯穎,17.3,-0.57,99,28.91
797	,3551.TW,世禾,72,2.13,892,24.08
798	,3552.TW,同致,200.5,0.25,2304,36.68
799	,3555.TW,重鵬,47.5,0.64,8,64.98
800	,3556.TW,禾瑞亞,76.1,-0.65,815,13.67
801	,3557.TW,嘉威,81.6,0,45,55.33
802	,3558.TW,神準,93.1,0.65,89,45.85
803	,3563.TW,牧德,234,-1.68,244,11.22
804	,3564.TW,其陽,28.9,0.87,444,69.16
805	,3567.TW,逸昌,35.3,2.02,172,21.68
806	,3570.TW,大塚,72.1,0.7,3,47.76
807	,3576.TW,聯合再生,23.9,-0.21,16317,36.38
808	,3577.TW,泓格,48.9,0.62,52,48.86
809	,3580.TW,友威科,48.5,0.94,85,19.83
810	,3581.TW,博磊,25.7,-0.19,54,48.76
811	,3583.TW,辛耘,68.9,0.29,1018,56.02
812	,3587.TW,閎康,143,-1.04,1506,26.29
813	,3588.TW,通嘉,133.5,-0.37,4019,27.13
814	,3591.TW,艾笛森,20.9,0.48,841,49.18
815	,3593.TW,力銘,16.85,-0.59,233,60.47
816	,3594.TW,磐儀,21.8,-0.23,178,48.1
817	,3596.TW,智易,105,0,4607,51.85
818	,3597.TW,映興,27.7,-0.54,29,65.43
819	,3605.TW,宏致,47.45,4.29,3393,40.95
820	,3607.TW,谷崧,13.35,-1.48,387,21.11
821	,3609.TW,三一東林,54.3,0.18,51,44.15
822	,3611.TW,鼎翰,207,0,15,46.03
823	,3615.TW,安可,21.4,-0.93,132,26.63
824	,3617.TW,碩天,75.5,-0.26,22,59.89
825	,3622.TW,洋華,30.15,0.5,257,53.86
826	,3623.TW,富晶通,16.1,-2.72,77,52.6
827	,3624.TW,光頡,41.4,-1.08,1165,54.69
828	,3625.TW,西勝,23.9,2.8,2327,34.37
829	,3628.TW,盈正,36,1.69,44,58.28
830	,3629.TW,地心引力,54.2,0,0,82.33
831	,3630.TW,新鉅科,41.05,0.61,405,50.6
832	,3631.TW,晟楠,49,0.62,114,80.91
833	,3632.TW,研勤,8,-0.62,20,14
834	,3642.TW,駿熠電,9.99,2.99,167,47.42
835	,3645.TW,達邁,40.75,-0.37,170,34.36
836	,3646.TW,艾恩特,26.1,-0.76,37,22.45
837	,3652.TW,精聯,25.6,-5.88,431,63.52
838	,3653.TW,健策,369,-1.2,2317,64.91
839	,3661.TW,世芯-KY,1030,4.15,1764,33.08
840	,3663.TW,鑫科,42.85,-0.23,6341,58.54
841	,3664.TW,安瑞-KY,8.22,0.24,50,69.25
842	,3665.TW,貿聯-KY,256.5,-1.16,1114,48.92
843	,3666.TW,光耀,27.75,2.21,293,48.83
844	,3669.TW,圓展,50.4,-1.37,243,54.51
845	,3672.TW,康聯訊,23.85,-1.65,510,37.34
846	,3673.TW,TPK-KY,42.5,-4.06,12767,36.03
847	,3675.TW,德微,271,4.23,1218,55.5
848	,3679.TW,新至陞,84.6,5.75,355,55.04
849	,3680.TW,家登,242,0.41,241,45.45
850	,3682.TW,亞太電,8.23,-0.96,2165,71
851	,3684.TW,榮昌,45.45,-1.41,114,42.74
852	,3685.TW,元創精密,31.75,-3.5,243,63.57
853	,3686.TW,達能,16.05,-1.83,920,6.42
854	,3687.TW,歐買尬,97.4,1.78,326,32.82
855	,3689.TW,湧德,48.8,0.41,4780,15.39
856	,3691.TW,碩禾,202.5,-0.74,1719,57.74
857	,3693.TW,營邦,63.5,4.44,2142,57.34
858	,3694.TW,海華,21.75,-2.47,512,61.41
859	,3701.TW,大眾控,46.45,9.94,4656,89.34
860	,3702.TW,大聯大,51.9,-0.19,2267,73.24
861	,3703.TW,欣陸,25.2,0,617,73.47
862	,3704.TW,合勤控,31.2,1.79,12450,51.81
863	,3705.TW,永信,43.5,0.23,131,58.85
864	,3706.TW,神達,28.75,0.52,3018,43.54
865	,3707.TW,漢磊,152.5,7.02,76076,52.35
866	,3708.TW,上緯投控,98.7,-4.17,4896,39.12
867	,3709.TW,鑫聯大投控,34.85,2.5,579,77.23
868	,3710.TW,連展投控,7.63,-4.03,819,24.63
869	,3711.TW,日月光投控,99.8,0,32185,83.99
870	,3712.TW,永崴投控,33.3,-1.77,860,49.02
871	,3713.TW,新晶投控,34.5,0.44,348,50.83
872	,3714.TW,富采,73,-0.14,3489,39.78
873	,4102.TW,永日,18.65,-0.27,47,23.4
874	,4104.TW,佳醫,55.3,-0.36,62,39.02
875	,4105.TW,東洋,68.6,-0.87,1330,40.02
876	,4106.TW,雃博,26.55,-0.38,264,44.92
877	,4107.TW,邦特,109.5,1.39,120,46.45
878	,4108.TW,懷特,22.3,-0.22,338,23.38
879	,4109.TW,加捷生醫,13.35,2.3,428,42.3
880	,4111.TW,濟生,22.25,0.45,20,27.88
881	,4113.TW,聯上,14,-0.36,262,64.38
882	,4114.TW,健喬,23,-0.65,312,38.1
883	,4116.TW,明基醫,27.4,1.48,3,57.28
884	,4119.TW,旭富,78,-0.64,136,45.52
885	,4120.TW,友華,40.8,-0.61,71,65.8
886	,4121.TW,優盛,19.25,-2.04,269,29.89
887	,4123.TW,晟德,66.5,1.99,10418,48.7
888	,4126.TW,太醫,69.6,1.61,352,23.13
889	,4127.TW,天良,11.65,0.43,181,33.31
890	,4128.TW,中天,63.3,-1.09,30252,49.74
891	,4129.TW,聯合,29.4,0.17,95,12.27
892	,4130.TW,健亞,22.4,-0.22,87,32.34
893	,4131.TW,晶宇,5.81,3.57,2,50.63
894	,4133.TW,亞諾法,36.7,-2.91,830,20.49
895	,4137.TW,麗豐-KY,238.5,0.21,133,56.81
896	,4138.TW,曜亞,50.8,0.59,17,50.16
897	,4139.TW,馬光-KY,47.9,-0.1,1,47.87
898	,4141.TW,龍燈-KY,22.35,-9.88,10276,72.15
899	,4142.TW,國光生,43.95,-1.46,1537,39.22
900	,4147.TW,中裕,66.8,-1.76,1093,36.23
901	,4148.TW,全宇生技-KY,37.65,0.27,37,75.76
902	,4153.TW,鈺緯,25.8,-2.27,73,66.61
903	,4154.TW,康樂-KY,55.3,-0.54,40,62.46
904	,4155.TW,訊映,23.15,-0.22,131,24.18
905	,4157.TW,太景*-KY,15.95,-1.24,643,57.48
906	,4160.TW,創源,24.3,-0.21,24,25.37
907	,4161.TW,聿新科,26.45,-0.38,56,23.95
908	,4162.TW,智擎,58.9,0.68,224,38.72
909	,4163.TW,鐿鈦,85.1,0.59,18,34.35
910	,4164.TW,承業醫,36.75,-0.41,99,48.28
911	,4167.TW,松瑞藥,20.45,-1.21,513,33.19
912	,4168.TW,醣聯,28.45,3.08,563,26.2
913	,4171.TW,瑞基,79.4,0.63,204,25.59
914	,4173.TW,久裕,18.3,0.27,128,41.69
915	,4174.TW,浩鼎,106.5,-2.29,360,44.8
916	,4175.TW,杏一,71.2,-0.28,55,58.13
917	,4183.TW,福永生技,18.45,-1.07,0,47.82
918	,4188.TW,安克,17.9,0.85,11,47.56
919	,4190.TW,佐登-KY,76.1,-0.13,93,65.31
920	,4192.TW,杏國,72.7,-9.91,81,65.8
921	,4198.TW,欣大健康,6.14,-3.15,17,65.69
922	,4205.TW,中華食,131,0.38,17,59.05
923	,4207.TW,環泰,14,-0.36,83,58.87
924	,4303.TW,信立,18.2,-0.82,286,70.1
925	,4304.TW,勝昱,6.5,-3.27,1,66.38
926	,4305.TW,世坤,33,0,9,72.7
927	,4306.TW,炎洲,15.2,-0.33,913,48.64
928	,4401.TW,東隆興,35.4,0,46,51.95
929	,4402.TW,福大,6.52,-1.81,122,17.51
930	,4406.TW,新昕纖,11.95,-0.42,534,48.04
931	,4413.TW,飛寶企業,12.15,0.41,1,54.7
932	,4414.TW,如興,8.44,-1.4,1897,65.53
933	,4416.TW,三圓,112,0,19,75.52
934	,4417.TW,金洲,34.85,-0.29,23,33.96
935	,4419.TW,元勝,11,0,0,80.19
936	,4420.TW,光明,29.9,0.5,36,54.6
937	,4426.TW,利勤,19.45,-1.02,163,54.24
938	,4429.TW,聚紡,41.2,-0.96,71,81.44
939	,4430.TW,耀億,23.5,-0.42,6,54.64
940	,4432.TW,銘旺實,16.25,0.31,61,45.93
941	,4433.TW,興采,32.3,-0.62,25,47.97
942	,4438.TW,廣越,126,-0.4,110,55.24
943	,4439.TW,冠星-KY,138.5,-0.36,13,74.54
944	,4440.TW,宜新實業,43.25,0,197,34.32
945	,4502.TW,健信,42.95,-0.12,79,47.42
946	,4503.TW,金雨,28.9,0.7,1579,50.6
947	,4506.TW,崇友,65.6,-0.46,63,79.28
948	,4510.TW,高鋒,11.15,0,75,44.51
949	,4513.TW,福裕,14.4,-0.35,938,37.77
950	,4523.TW,永彰,28.8,0.17,13,70.8
951	,4526.TW,東台,16,-0.62,147,43.91
952	,4527.TW,方土霖,27.6,-0.18,13,54.4
953	,4528.TW,江興鍛,42.9,0.35,52,59.91
954	,4529.TW,淳紳,10.25,9.51,503,52.29
955	,4530.TW,宏易,7.98,0.88,52,39.47
956	,4532.TW,瑞智,18.65,0,349,60.85
957	,4533.TW,協易機,11.3,-0.88,74,54.93
958	,4534.TW,慶騰,11.2,-0.44,109,33.57
959	,4535.TW,至興,33,-0.15,1,74.9
960	,4536.TW,拓凱,129.5,-0.77,21,44.45
961	,4538.TW,大詠城,19.9,0.51,10,76.51
962	,4540.TW,全球傳動,48.05,-0.1,55,50.47
963	,4541.TW,晟田,23.3,0.87,129,39.1
964	,4542.TW,科嶠,26.15,0.77,2,45.11
965	,4543.TW,萬在,19.4,0.52,104,58.76
966	,4545.TW,銘鈺,26.85,-0.92,13,70.64
967	,4549.TW,桓達,85.7,-0.12,56,60.07
968	,4550.TW,長佳,22.9,-0.43,21,48.44
969	,4551.TW,智伸科,176,0.28,316,75.51
970	,4552.TW,力達-KY,31.45,1.29,71,48.85
971	,4554.TW,橙的,31.1,0.97,61,32.11
972	,4555.TW,氣立,54,1.31,23,80.71
973	,4556.TW,旭然,30.65,0,0,77.25
974	,4557.TW,永新-KY,63.8,0,9,46.65
975	,4560.TW,強信-KY,43,2.38,149,83.6
976	,4561.TW,健椿,28.9,0,67,56.94
977	,4562.TW,穎漢,18.1,0.56,26,62.24
978	,4563.TW,百德,32.4,0.31,27,61.49
979	,4564.TW,元翎,44,0.34,484,44.04
980	,4566.TW,時碩工業,42.3,0.12,19,70.5
981	,4568.TW,科際精密,68.5,0.59,16,58.87
982	,4571.TW,鈞興-KY,93.4,-1.27,100,55.43
983	,4572.TW,駐龍,98,-0.51,18,42.84
984	,4576.TW,大銀微系統,104.5,-0.95,104,62.94
985	,4580.TW,捷流閥業,86.7,0.12,23,49.43
986	,4581.TW,光隆精密-KY,35.3,1,6,57.44
987	,4609.TW,唐鋒,7.85,5.65,6,63.66
988	,4702.TW,中美實,14.9,2.76,990,54.53
989	,4706.TW,大恭,19.1,0,52,57.72
990	,4707.TW,磐亞,12.7,-0.39,706,61.22
991	,4711.TW,永純,19.95,0,492,57.42
992	,4714.TW,永捷,13.8,0,1252,22.24
