符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-10-31 18:49 符合檔數(1740)
113	,1513.TW,中興電,41.15,0.12,4932,39.66
114	,1514.TW,亞力,23.7,0.64,492,39.69
115	,1515.TW,力山,67,-0.15,314,48.28
116	,1516.TW,川飛,20.95,2.2,40,52.77
117	,1517.TW,利奇,25.05,-0.2,768,44.27
118	,1519.TW,華城,36.7,-0.94,375,65.34
119	,1521.TW,大億,43.1,0.12,8,62.37
120	,1522.TW,堤維西,19.95,-0.99,178,55.37
121	,1524.TW,耿鼎,10,0.2,195,46.41
122	,1525.TW,江申,62.5,0,2,81.71
123	,1526.TW,日馳,46.2,0,308,32.09
124	,1527.TW,鑽全,43,-0.23,172,22.92
125	,1528.TW,恩德,10.6,-0.93,326,51.05
126	,1529.TW,樂士,15.85,-0.94,610,67.45
127	,1530.TW,亞崴,34.1,0.89,0,74.92
128	,1531.TW,高林股,14.65,-0.34,542,59.22
129	,1532.TW,勤美,32,-0.47,189,68.18
130	,1533.TW,車王電,60.4,2.2,3384,52.43
131	,1535.TW,中宇,39.4,-0.38,27,75.88
132	,1536.TW,和大,93.7,-0.64,386,55.56
133	,1537.TW,廣隆,141,-1.05,105,43.62
134	,1538.TW,正峰,11.5,-0.43,57,35.52
135	,1539.TW,巨庭,17.45,0.87,94,58.1
136	,1540.TW,喬福,14.75,0.34,29,31.26
137	,1541.TW,錩泰,43,-0.46,6,80.56
138	,1558.TW,伸興,152.5,-0.33,39,11.26
139	,1560.TW,中砂,75.6,0.67,2266,45.9
140	,1565.TW,精華,294.5,3.15,613,19.33
141	,1568.TW,倉佑,22.1,-1.12,127,54.15
142	,1569.TW,濱川,24.65,0.2,110,39.84
143	,1570.TW,力肯,20.45,1.74,1280,23.33
144	,1580.TW,新麥,107,-0.47,72,36.81
145	,1582.TW,信錦,70.6,0.43,179,30.45
146	,1583.TW,程泰,63.5,0,7,90.09
147	,1584.TW,精剛,19.6,-3.45,1944,65.28
148	,1586.TW,和勤,41.8,-0.12,166,47.48
149	,1587.TW,吉茂,26.7,-1.29,218,39.59
150	,1589.TW,永冠-KY,64.1,-1.38,428,34.98
151	,1590.TW,亞德客-KY,830,-1.19,840,58.04
152	,1591.TW,駿吉-KY,15.15,-0.33,16,49.39
153	,1593.TW,祺驊,94,-0.84,13,19.08
154	,1595.TW,川寶,39.15,2.09,48,48.13
155	,1597.TW,直得,86.4,-0.92,141,37.57
156	,1598.TW,岱宇,64.8,-0.77,571,49.43
157	,1599.TW,宏佳騰,39.5,-1.74,106,58.93
158	,1603.TW,華電,27.05,0.56,128,82.07
159	,1604.TW,聲寶,29.6,0,424,51.94
160	,1605.TW,華新,25.95,0.19,7471,73.84
161	,1608.TW,華榮,21.15,-0.7,2614,61.68
162	,1609.TW,大亞,24.75,-1.2,4765,30.76
163	,1611.TW,中電,11.55,10,9486,56.07
164	,1612.TW,宏泰,26.45,2.12,6138,53.54
165	,1614.TW,三洋電,34.55,-0.43,18,72.65
166	,1615.TW,大山,33.05,0.46,42,79.93
167	,1616.TW,億泰,8.22,-0.48,324,56.02
168	,1617.TW,榮星,16.65,-0.6,36,75.66
169	,1618.TW,合機,14.5,0.35,160,57.51
170	,1626.TW,艾美特-KY,19.75,-0.25,59,59.5
171	,1701.TW,中化,22.1,-0.23,382,52.12
172	,1702.TW,南僑,48.4,-0.62,797,63.67
173	,1707.TW,葡萄王,162,0.31,58,61.37
174	,1708.TW,東鹼,30.7,-0.81,2596,38.51
175	,1709.TW,和益,20.4,-0.73,3973,57.75
176	,1710.TW,東聯,23.85,-1.04,14988,61.57
177	,1711.TW,永光,25.55,-0.78,35360,44.15
178	,1712.TW,興農,24.35,-0.61,836,40.87
179	,1713.TW,國化,23.7,-0.21,36,66.97
180	,1714.TW,和桐,10.4,-0.95,2601,51.32
181	,1717.TW,長興,36.8,0,10402,68.55
182	,1718.TW,中纖,10.15,-1.93,15026,48.07
183	,1720.TW,生達,38.55,0,156,59.94
184	,1721.TW,三晃,17.1,2.4,3545,41.59
185	,1722.TW,台肥,67.9,-1.74,4055,61.85
186	,1723.TW,中碳,123.5,3.35,6475,53.42
187	,1725.TW,元禎,25.75,-1.9,356,93.94
188	,1726.TW,永記,72.5,-0.41,50,85.16
189	,1727.TW,中華化,44.1,-1.78,21946,56.51
190	,1730.TW,花仙子,63.5,-0.16,22,53.02
191	,1731.TW,美吾華,19.25,0.26,211,52.61
192	,1732.TW,毛寶,25.15,0.4,162,44.35
193	,1733.TW,五鼎,22.95,-1.08,136,12.34
194	,1734.TW,杏輝,29.2,0.34,2595,24.87
195	,1735.TW,日勝化,17.9,-0.28,5,83.61
196	,1736.TW,喬山,58.3,-0.51,409,77.53
197	,1737.TW,臺鹽,32.95,-0.15,503,52
198	,1742.TW,台蠟,20.2,-0.74,80,56.86
199	,1752.TW,南光,34.6,-0.14,57,59
200	,1760.TW,寶齡富錦,68.6,-2.14,558,23.72
201	,1762.TW,中化生,65.2,-0.46,908,38.9
202	,1773.TW,勝一,133,-0.37,331,65.8
203	,1776.TW,展宇,23.1,1.32,368,53.68
204	,1777.TW,生泰,68.6,-0.29,35,47.53
205	,1781.TW,合世,14.3,0.35,32,27.65
206	,1783.TW,和康生,50.8,-1.36,430,55.82
207	,1784.TW,訊聯,42.6,-1.39,264,20.28
208	,1785.TW,光洋科,50,-0.2,5543,37.61
209	,1786.TW,科妍,48.8,-0.51,41,43.67
210	,1788.TW,杏昌,137.5,0,22,42.45
211	,1789.TW,神隆,24.8,0.2,338,76.02
212	,1795.TW,美時,94,1.4,1472,72.83
213	,1796.TW,金穎生技,36.15,-1.5,35,47.42
214	,1799.TW,易威,15.05,-1.63,121,71.41
215	,1802.TW,台玻,27.3,-0.73,6777,84.4
216	,1805.TW,寶徠,13.7,-1.08,28,72.78
217	,1806.TW,冠軍,10.75,0,279,69.56
218	,1808.TW,潤隆,59.9,0.84,194,84.95
219	,1809.TW,中釉,14.55,-0.68,998,48.34
220	,1810.TW,和成,14.25,0.35,1288,69.03
221	,1813.TW,寶利徠,17.8,0.85,43,27.21
222	,1815.TW,富喬,17.5,1.74,5387,30.14
223	,1817.TW,凱撒衛,34.9,-0.14,9,48.93
224	,1903.TW,士紙,68.5,0.44,364,79.42
225	,1904.TW,正隆,34,2.41,3902,65.49
226	,1905.TW,華紙,22.2,2.78,8694,71.48
227	,1906.TW,寶隆,19.85,2.32,1158,65.81
228	,1907.TW,永豐餘,32,2.56,4280,77.79
229	,1909.TW,榮成,24,3.23,11167,69.33
230	,2002.TW,中鋼,33.6,-0.3,36232,60.86
231	,2006.TW,東和鋼鐵,40.4,1.25,4251,63.88
232	,2007.TW,燁興,22.35,-0.89,4650,75.88
233	,2008.TW,高興昌,18.4,-1.08,146,84.62
234	,2009.TW,第一銅,45.2,-0.11,2759,56.22
235	,2010.TW,春源,22.7,0.22,2979,61.34
236	,2012.TW,春雨,28.8,0,225,71.16
237	,2013.TW,中鋼構,55.5,-1.77,1341,67.53
238	,2014.TW,中鴻,35.1,0.72,11733,55.48
239	,2015.TW,豐興,78.3,-0.13,458,80.98
240	,2017.TW,官田鋼,20.4,-0.49,1883,65.41
241	,2020.TW,美亞,30.35,-0.16,671,50.42
242	,2022.TW,聚亨,14.05,0,3726,27.23
243	,2023.TW,燁輝,24.8,-0.2,12447,70.34
244	,2024.TW,志聯,18.05,-4.24,694,69.1
245	,2025.TW,千興,5.3,0,431,30.54
246	,2027.TW,大成鋼,44.15,-1.78,27482,56.09
247	,2028.TW,威致,36.1,-1.5,1494,78.5
248	,2029.TW,盛餘,33.3,-0.3,1851,69.56
249	,2030.TW,彰源,28.55,0.35,4720,35.45
250	,2031.TW,新光鋼,58.2,-1.36,4273,45.05
251	,2032.TW,新鋼,23.6,-2.07,1186,46.07
252	,2033.TW,佳大,16.3,-0.91,316,54.08
253	,2034.TW,允強,31.55,-0.32,1640,42.4
254	,2035.TW,唐榮,37.25,9.88,262,96.5
255	,2038.TW,海光,32.7,0,3709,51.44
256	,2049.TW,上銀,309,0.32,692,60.52
257	,2059.TW,川湖,427,1.43,272,69.12
258	,2061.TW,風青,18.95,-0.26,63,45.19
259	,2062.TW,橋椿,28.15,1.99,657,60.37
260	,2063.TW,世鎧,35.1,0,44,32.83
261	,2064.TW,晉椿,18.4,0.27,55,75.37
262	,2065.TW,世豐,46.8,0.32,194,31.71
263	,2066.TW,世德,51.3,-0.77,12,68.06
264	,2067.TW,嘉鋼,12.55,0.4,16,47.42
265	,2069.TW,運錩,31.1,0.81,2011,54.9
266	,2070.TW,精湛,32.45,-1.67,62,63.54
267	,2101.TW,南港,40,-0.99,3670,69.92
268	,2102.TW,泰豐,26.9,-0.74,1132,73.98
269	,2103.TW,台橡,32.05,2.4,5543,62.85
270	,2104.TW,國際中橡,24,-1.23,3672,46.33
271	,2105.TW,正新,34.1,-1.87,6064,77.58
272	,2106.TW,建大,30.6,-1.13,1547,79.49
273	,2107.TW,厚生,22.55,-0.66,545,48.97
274	,2108.TW,南帝,81.5,-1.09,2018,70.15
275	,2109.TW,華豐,16.05,-1.83,274,63.27
276	,2114.TW,鑫永銓,125,0.4,63,59.63
277	,2115.TW,六暉-KY,40,-0.74,54,68.33
278	,2201.TW,裕隆,41.1,-1.91,7669,62.95
279	,2204.TW,中華,69.3,-0.86,614,74.69
280	,2206.TW,三陽工業,27.05,0.56,429,73.46
281	,2207.TW,和泰車,612,-1.45,285,83.99
282	,2208.TW,台船,21.8,1.16,3099,50.46
283	,2211.TW,長榮鋼,48.9,0.62,220,77.29
284	,2221.TW,大甲,33.85,1.35,193,64.36
285	,2227.TW,裕日車,254,-0.97,33,93.54
286	,2228.TW,劍麟,70.2,0,66,53.32
287	,2230.TW,泰茂,13.35,-1.48,66,43.03
288	,2231.TW,為升,171,1.48,647,56.83
289	,2233.TW,宇隆,103.5,-1.43,419,25.64
290	,2235.TW,謚源,39.1,0.13,2,75.95
291	,2236.TW,百達-KY,27.65,-0.18,24,76.37
292	,2239.TW,英利-KY,65,-1.52,233,76.93
293	,2241.TW,艾姆勒,55.9,-3.12,1815,48.54
294	,2243.TW,宏旭-KY,18.65,-5.81,684,63.52
295	,2247.TW,汎德永業,214.5,-0.92,27,74.11
296	,2250.TW,IKKA-KY,120,3.9,270,60.04
297	,2301.TW,光寶科,61.3,0,5398,78.42
298	,2302.TW,麗正,16.7,1.21,416,64.61
299	,2303.TW,聯電,58,-3.01,229398,67.23
300	,2305.TW,全友,8.23,0.73,2593,57.64
301	,2308.TW,台達電,245,-2.97,9956,80.79
302	,2312.TW,金寶,13,1.17,18660,51.3
303	,2313.TW,華通,40.35,0.5,17665,58.11
304	,2314.TW,台揚,78.8,1.94,6858,37.19
305	,2316.TW,楠梓電,28.4,-0.7,142,45.36
306	,2317.TW,鴻海,107,-1.38,20792,71.47
307	,2321.TW,東訊,6.2,0,17,35.23
308	,2323.TW,中環,8.82,-1.23,3876,34.28
309	,2324.TW,仁寶,24.45,-1.61,13161,68.74
310	,2327.TW,國巨,434,-1.03,3114,47.55
311	,2328.TW,廣宇,40.65,-1.45,10358,35.44
312	,2329.TW,華泰,24.8,-1.98,18116,43.84
313	,2330.TW,台積電,590,-0.84,27685,88.36
314	,2331.TW,精英,23.7,0,4424,57.8
315	,2332.TW,友訊,20.5,-1.44,5928,42.95
316	,2337.TW,旺宏,39.2,0,30195,31.65
317	,2338.TW,光罩,79.8,-0.25,4148,37.5
318	,2340.TW,光磊,42.9,-0.92,69953,48.14
319	,2342.TW,茂矽,45.45,-0.87,5788,38.48
320	,2344.TW,華邦電,26.3,0.57,29093,57.83
321	,2345.TW,智邦,243.5,-1.81,3747,67.79
322	,2347.TW,聯強,53.8,0,2696,77.35
323	,2348.TW,海悅,99.2,-0.5,313,71.19
324	,2349.TW,錸德,9.78,-1.21,1918,17.89
325	,2351.TW,順德,166,9.93,17388,71.38
326	,2352.TW,佳世達,31,0,4707,56.77
327	,2353.TW,宏碁,26,-1.14,9039,45
328	,2354.TW,鴻準,68.8,0.29,6706,55.94
329	,2355.TW,敬鵬,29.9,-0.17,476,45.49
330	,2356.TW,英業達,26.55,-1.3,8160,77.63
331	,2357.TW,華碩,353,-0.28,2455,59.26
332	,2358.TW,廷鑫,22.9,0.88,2930,28.31
333	,2359.TW,所羅門,17.35,-0.86,168,42.69
334	,2360.TW,致茂,181,-1.9,943,76.04
335	,2362.TW,藍天,34.45,-1.85,1629,80.5
336	,2363.TW,矽統,23.9,-1.44,9118,33.63
337	,2364.TW,倫飛,19.8,-1.98,37,53.92
338	,2365.TW,昆盈,10.6,2.91,734,31.37
339	,2367.TW,燿華,18.1,0.28,1930,27.65
340	,2368.TW,金像電,66.4,0.45,11747,69.18
341	,2369.TW,菱生,25.2,-3.26,8313,35.34
342	,2371.TW,大同,34.4,-0.86,53450,69.86
343	,2373.TW,震旦行,88.8,0,8,87.91
344	,2374.TW,佳能,19.55,2.09,2402,42.23
345	,2375.TW,凱美,86.8,1.05,1032,17.39
346	,2376.TW,技嘉,112.5,4.65,24214,61.04
347	,2377.TW,微星,140,0.72,3357,70.83
348	,2379.TW,瑞昱,499,-0.2,2457,59.54
349	,2380.TW,虹光,10.25,0.99,372,41.92
350	,2382.TW,廣達,78,-1.14,3824,85.97
351	,2383.TW,台光電,240.5,0,7666,67.35
352	,2385.TW,群光,79.4,-1.12,2307,68.11
353	,2387.TW,精元,43.4,-2.47,581,68.53
354	,2388.TW,威盛,62.1,9.91,44600,71.01
355	,2390.TW,云辰,21.9,-1.57,6820,34.16
356	,2392.TW,正崴,38.6,-1.15,1446,44.08
357	,2393.TW,億光,49.5,1.43,3350,53.59
358	,2395.TW,研華,363,-0.41,760,79.35
359	,2397.TW,友通,55.7,-0.36,102,81.52
360	,2399.TW,映泰,20.25,-3.57,4030,23.46
361	,2401.TW,凌陽,37,0.68,14249,36.35
362	,2402.TW,毅嘉,16.2,-0.92,618,37.32
363	,2404.TW,漢唐,183.5,-0.27,190,38.51
364	,2405.TW,浩鑫,11.8,0,854,18.78
365	,2406.TW,國碩,25,0.4,20205,16.09
366	,2408.TW,南亞科,66.5,0,13511,81.93
367	,2409.TW,友達,19.2,0.26,252058,54.57
368	,2412.TW,中華電,110.5,0.45,7601,78.34
369	,2413.TW,環科,18.95,0.26,149,52.74
370	,2414.TW,精技,38.2,1.33,755,49.89
371	,2415.TW,錩新,46.25,2.89,4546,51.56
372	,2417.TW,圓剛,27.15,-1.99,900,30.96
373	,2419.TW,仲琦,21,-1.64,1535,67.3
374	,2420.TW,新巨,40.3,0.88,460,41.52
375	,2421.TW,建準,38.5,1.18,347,48.53
376	,2423.TW,固緯,26.65,0.38,153,63.38
377	,2424.TW,隴華,23.15,0,0,77.99
378	,2425.TW,承啟,26.8,0.37,631,65.61
379	,2426.TW,鼎元,26.2,0,5669,33.99
380	,2427.TW,三商電,10.4,-0.48,253,67.74
381	,2428.TW,興勤,170,0.59,285,61.98
382	,2429.TW,銘旺科,19.2,1.05,209,67.63
383	,2430.TW,燦坤,42.3,-2.76,2159,63.24
384	,2431.TW,聯昌,11.3,0.44,224,37.76
385	,2433.TW,互盛電,51.2,0.39,62,79.59
386	,2434.TW,統懋,37.1,-0.13,6,74.4
