"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1774",="3095","及成","02/17","33.7","-0.2","-0.59","2022","33.7","-0.28","0","0","0","0","0","0","0","0","0",""
"1775",="3115","富榮綱","02/17","11.8","+0.45","+3.96","2022","11.8","-0.33","0","0","0","0","0","0","0","0","0",""
"1776",="3149","正達","02/17","18.5","0","0","2022","18.5","-1.26","0","0","0","0","0","0","0","0","0",""
"1777",="3162","精確","02/17","54.3","+0.3","+0.56","2022","54.3","0.82","0","0","0","0","0","0","0","0","0",""
"1778",="3176","基亞","02/17","32.2","-0.15","-0.46","2022","32.2","-0.38","0","0","0","0","0","0","0","0","0",""
"1779",="3191","和進","02/17","8.16","-0.09","-1.09","2022","8.16","-0.59","0","0","0","0","0","0","0","0","0",""
"1780",="3202","樺晟","02/17","14.95","0","0","2022","14.95","0.31","0","0","0","0","0","0","0","0","0",""
"1781",="3205","佰研","02/17","47","+0.3","+0.64","2022","47","-2.66","0","0","0","0","0","0","0","0","0",""
"1782",="3207","耀勝","02/17","67.6","+0.9","+1.35","2022","67.6","0.74","0","0","0","0","0","0","0","0","0",""
"1783",="3224","三顧","02/17","48.65","+1.3","+2.75","2022","48.65","-0.4","0","0","0","0","0","0","0","0","0",""
"1784",="3228","金麗科","02/17","191.5","-4","-2.05","2022","191.5","2.92","0","0","0","0","0","0","0","0","0",""
"1785",="3229","晟鈦","02/17","19.5","-0.1","-0.51","2022","19.5","-1.72","0","0","0","0","0","0","0","0","0",""
"1786",="3230","錦明","02/17","12.35","-0.05","-0.4","2022","12.35","-0.51","0","0","0","0","0","0","0","0","0",""
"1787",="3234","光環","02/17","23.45","+0.55","+2.4","2022","23.45","-1.74","0","0","0","0","0","0","0","0","0",""
"1788",="3259","鑫創","02/17","20.6","-0.75","-3.51","2022","20.6","0.02","0","0","0","0","0","0","0","0","0",""
"1789",="3266","昇陽","02/17","11.9","-0.05","-0.42","2022","11.9","0.25","0","0","0","0","0","0","0","0","0",""
"1790",="3284","太普高","02/17","14.3","-0.1","-0.69","2022","14.3","-0.86","0","0","0","0","0","0","0","0","0",""
"1791",="3285","微端","02/17","19.85","-0.05","-0.25","2022","19.85","-0.02","0","0","0","0","0","0","0","0","0",""
"1792",="3287","廣寰科","02/17","13.65","-0.05","-0.36","2022","13.65","1.14","0","0","0","0","0","0","0","0","0",""
"1793",="3288","點晶","02/17","22.3","-0.25","-1.11","2022","22.3","-1.48","0","0","0","0","0","0","0","0","0",""
"1794",="3296","勝德","02/17","16.9","-0.65","-3.7","2022","16.9","-1.64","0","0","0","0","0","0","0","0","0",""
"1795",="3297","杭特","02/17","18.5","-0.05","-0.27","2022","18.5","-0.42","0","0","0","0","0","0","0","0","0",""
"1796",="3308","聯德","02/17","14.85","-0.05","-0.34","2022","14.85","-0.37","0","0","0","0","0","0","0","0","0",""
"1797",="3313","斐成","02/17","10.4","+0.05","+0.48","2022","10.4","0.42","0","0","0","0","0","0","0","0","0",""
"1798",="3321","同泰","02/17","9","-0.03","-0.33","2022","9","-0.54","0","0","0","0","0","0","0","0","0",""
"1799",="3325","旭品","02/17","14","+0.45","+3.32","2022","14","-0.7","0","0","0","0","0","0","0","0","0",""
"1800",="3339","泰谷","02/17","12.55","+0.05","+0.4","2022","12.55","1.77","0","0","0","0","0","0","0","0","0",""
