"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"301",="5014","建錩","02/17","17.85","-0.1","-0.56","2022","17.85","3.14","1.2","0","1.2","6.72","0","6.72","38.2","0","38.2","22'08/26"
"302",="1326","台化","02/17","71.5","+0.3","+0.42","2022","71.5","6.56","4.8","0","4.8","6.71","0","6.71","73.2","0","73.2","22'07/29"
"303",="1532","勤美","02/17","31.45","-0.05","-0.16","2022","31.45","3.22","2.11","0","2.11","6.71","0","6.71","65.5","0","65.5","22'08/05"
"304",="4420","光明","02/17","29.85","-0.2","-0.67","2022","29.85","2.04","2","0","2","6.7","0","6.7","98","0","98","22'05/16"
"305",="6435","大中","02/17","107.5","0","0","2022","107.5","13.09","7.2","0","7.2","6.7","0","6.7","55","0","55","22'08/12"
"306",="1569","濱川","02/17","23.95","+0.1","+0.42","2022","23.95","2.62","1.6","0","1.6","6.68","0","6.68","61.1","0","61.1","22'09/02"
"307",="3363","上詮","02/17","23.95","-0.05","-0.21","2022","23.95","2.31","1.6","0","1.6","6.68","0","6.68","69.3","0","69.3","22'07/20"
"308",="6412","群電","02/17","77.9","-0.1","-0.13","2022","77.9","7.22","5.2","0","5.2","6.68","0","6.68","72","0","72","22'05/11"
"309",="3040","遠見","02/17","30","0","0","2022","30","1.97","2","0","2","6.67","0","6.67","102","0","102","22'07/29"
"310",="4711","永純","02/17","15","0","0","2022","15","1.27","1","0","1","6.67","0","6.67","78.7","0","78.7","22'07/29"
"311",="4974","亞泰","02/17","64.5","-0.2","-0.31","2022","64.5","5.87","4.3","0","4.3","6.67","0","6.67","73.3","0","73.3","22'07/14"
"312",="3118","進階","02/17","28.55","+0.15","+0.53","2022","28.55","2.1","1.9","0","1.9","6.65","0","6.65","90.5","0","90.5","22'07/13"
"313",="5234","達興材料","02/17","79.7","0","0","2022","79.7","6.62","5.3","0","5.3","6.65","0","6.65","80.1","0","80.1","22'07/29"
