"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"601",="5481","新華","02/17","12.35","0","0","2022","12.35","1.81","0.6","0","0.6","4.86","0","4.86","33.1","0","33.1","22'05/27"
"602",="5906","台南-KY","02/17","35","-0.05","-0.14","2022","35","3.23","1.7","0","1.7","4.86","0","4.86","52.6","0","52.6","22'07/26"
"603",="8926","台汽電","02/17","36.05","-0.15","-0.41","2022","36.05","1.52","1.75","0","1.75","4.85","0","4.85","115","0","115","22'08/04"
"604",="1708","東鹼","02/17","41.25","+0.2","+0.49","2022","41.25","2.69","2","0","2","4.85","0","4.85","74.3","0","74.3","22'08/19"
"605",="9951","皇田","02/17","68.1","+0.1","+0.15","2022","68.1","5.33","3.3","0","3.3","4.85","0","4.85","61.9","0","61.9","22'10/07"
"606",="6835","圓裕","02/17","41.3","+0.15","+0.36","2022","41.3","2.72","2","0","2","4.84","0","4.84","73.5","0","73.5","22'07/29"
"607",="8341","日友","02/17","165.5","-2.5","-1.49","2022","165.5","8.47","8","0","8","4.83","0","4.83","94.5","0","94.5","22'07/21"
"608",="00850","元大臺灣ESG永續","02/17","30.64","-0.27","-0.87","2022","30.64","","1.48","0","1.48","4.83","0","4.83","","","","22'12/20"
"609",="1788","杏昌","02/17","145","-1","-0.68","2022","145","8.99","7","0","7","4.83","0","4.83","77.9","0","77.9","22'08/16"
"610",="2605","新興","02/17","20.75","-0.05","-0.24","2022","20.75","1.2","1","0","1","4.82","0","4.82","83.3","0","83.3","22'08/19"
"611",="2034","允強","02/17","31.1","+0.4","+1.3","2022","31.1","2.86","1.5","0","1.5","4.82","0","4.82","52.4","0","52.4","22'08/18"
"612","00760B","FH新興企業債","02/17","52.35","-0.2","-0.38","2022","52.35","","2.52","0","2.52","4.81","0","4.81","","","",""
"613",="3673","TPK-KY","02/17","31.2","0","0","2022","31.2","2.63","1.5","0","1.5","4.81","0","4.81","57","0","57","22'08/15"
"614",="3489","森寶","02/17","10.4","+0.05","+0.48","2022","10.4","0.57","0.5","0","0.5","4.81","0","4.81","87.7","0","87.7","22'09/02"
"615",="9921","巨大","02/17","208.5","+1","+0.48","2022","208.5","15.81","10","0","10","4.8","0","4.8","63.3","0","63.3","22'09/15"
"616",="4953","緯軟","02/17","95.9","-1.5","-1.54","2022","95.9","6.91","4.59","0","4.59","4.78","0","4.78","66.4","0","66.4","22'08/05"
"617",="1323","永裕","02/17","33.45","-0.15","-0.45","2022","33.45","3.04","1.6","0","1.6","4.78","0","4.78","52.6","0","52.6","22'07/12"
"618",="5202","力新","02/17","14.2","-0.1","-0.7","2022","14.2","-0.32","0.68","0","0.68","4.78","0","4.78","-212","0","-212","22'09/26"
"619",="1815","富喬","02/17","12.55","-0.05","-0.4","2022","12.55","1.43","0.6","0.3","0.9","4.78","2.39","7.17","42","21","62.9","22'09/28"
"620",="9136","巨騰-DR","02/17","6.3","0","0","2022","6.3","","0.3","0","0.3","4.78","0","4.78","","","",""
"621",="1702","南僑","02/17","46.05","0","0","2022","46.05","4.32","2.2","0","2.2","4.78","0","4.78","50.9","0","50.9","22'07/01"
"622",="3563","牧德","02/17","167.5","+15","+9.84","2023","167.5","5.55","8","0","8","4.78","0","4.78","144","0","144",""
"623","00781B","國泰A級科技債","02/17","31.83","-0.52","-1.61","2022","31.83","","1.52","0","1.52","4.78","0","4.78","","","",""
"624",="3490","單井","02/17","25.15","0","0","2022","25.15","2.19","1.2","0","1.2","4.77","0","4.77","54.8","0","54.8","22'08/10"
"625",="4584","君帆","02/17","52.4","+0.2","+0.38","2022","52.4","5.07","2.5","0","2.5","4.77","0","4.77","49.3","0","49.3","22'08/10"
"626",="6768","志強-KY","02/17","73.5","+0.5","+0.68","2022","73.5","3.42","3.5","0","3.5","4.76","0","4.76","102","0","102","22'07/18"
"627",="8054","安國","02/17","34.65","0","0","2022","34.65","3.25","1.65","0","1.65","4.76","0","4.76","50.8","0","50.8","22'07/15"
"628",="1714","和桐","02/17","8.85","+0.04","+0.45","2022","8.85","0.72","0.42","0","0.42","4.75","0","4.75","58.3","0","58.3","22'09/08"
"629",="1530","亞崴","02/17","31.65","0","0","2022","31.65","1.35","1.5","0","1.5","4.74","0","4.74","111","0","111","22'09/01"
"630",="8249","菱光","02/17","27.2","-0.1","-0.37","2022","27.2","1.5","1.29","0","1.29","4.74","0","4.74","85.9","0","85.9","22'08/05"
"631",="2439","美律","02/17","84","+0.3","+0.36","2022","84","5.4","3.97","0","3.97","4.73","0","4.73","73.5","0","73.5","22'09/22"
"632",="6585","鼎基","02/17","63.5","+0.4","+0.63","2022","63.5","4.55","3","0","3","4.72","0","4.72","65.9","0","65.9","22'07/06"
"633",="3056","總太","02/17","31.8","-0.05","-0.16","2022","31.8","3.01","1.5","0","1.5","4.72","0","4.72","49.8","0","49.8","22'07/15"
"634",="8415","大國鋼","02/17","38.2","-0.4","-1.04","2022","38.2","3.5","1.8","0","1.8","4.71","0","4.71","51.4","0","51.4","22'08/04"
"635","2888A","新光金甲特","02/17","36.3","+0.6","+1.68","2022","36.3","","1.71","0","1.71","4.71","0","4.71","","","","22'07/20"
"636",="4904","遠傳","02/17","69","+0.5","+0.73","2023","69","","3.25","0","3.25","4.71","0","4.71","","","",""
"637",="8099","大世科","02/17","38.3","+0.3","+0.79","2022","38.3","2.01","1.8","0","1.8","4.7","0","4.7","89.6","0","89.6","22'09/02"
"638",="1402","遠東新","02/17","32","-0.25","-0.78","2022","32","1.94","1.5","0","1.5","4.69","0","4.69","77.3","0","77.3","22'08/24"
"639",="6432","今展科","02/17","34.15","+0.8","+2.4","2022","34.15","2.91","1.6","0","1.6","4.69","0","4.69","55","0","55","22'09/15"
"640",="1339","昭輝","02/17","42.7","+0.05","+0.12","2022","42.7","1.83","2","0","2","4.68","0","4.68","109","0","109","22'09/08"
"641",="5457","宣德","02/17","53.4","+0.7","+1.33","2022","53.4","5.11","2.5","0","2.5","4.68","0","4.68","48.9","0","48.9","22'08/30"
"642","00793B","群益AAA-A醫療債","02/17","32.49","-0.44","-1.34","2022","32.49","","1.52","0","1.52","4.68","0","4.68","","","",""
"643",="1416","廣豐","02/17","10.7","0","0","2022","10.7","0.44","0.5","0","0.5","4.67","0","4.67","114","0","114","22'07/05"
"644","8916A","光隆甲特","02/17","53.5","+0.2","+0.38","2022","53.5","","2.5","0","2.5","4.67","0","4.67","","","","22'08/19"
"645",="6173","信昌電","02/17","43","+1.95","+4.75","2022","43","6.67","2.01","0","2.01","4.67","0","4.67","30.1","0","30.1","22'08/05"
"646",="3164","景岳","02/17","23.55","+0.05","+0.21","2022","23.55","1.31","1.1","0","1.1","4.67","0","4.67","84","0","84","22'07/22"
"647",="6664","群翊","02/17","105","+3","+2.94","2022","105","6.12","4.9","0","4.9","4.67","0","4.67","80.1","0","80.1","22'08/19"
"648",="4549","桓達","02/17","88","+0.7","+0.8","2022","88","6.27","4.1","1.1","5.2","4.66","1.25","5.91","65.4","17.5","82.9","22'07/28"
"649",="1717","長興","02/17","32.2","+0.05","+0.16","2022","32.2","2.86","1.5","0","1.5","4.66","0","4.66","52.4","0","52.4","22'08/26"
"650",="3265","台星科","02/17","49.4","-0.2","-0.4","2022","49.4","1.88","2.3","0","2.3","4.66","0","4.66","122","0","122","22'08/10"
"651",="3483","力致","02/17","64.4","+0.1","+0.16","2022","64.4","5.34","3","0","3","4.66","0","4.66","56.1","0","56.1","22'08/24"
"652",="1712","興農","02/17","38.7","+0.1","+0.26","2022","38.7","2.19","1.8","0","1.8","4.65","0","4.65","82.2","0","82.2","22'05/09"
"653",="3518","柏騰","02/17","21.5","0","0","2022","21.5","0.52","1","0","1","4.65","0","4.65","192","0","192","22'07/28"
"654",="4560","強信-KY","02/17","38.7","0","0","2022","38.7","2.95","1.8","0","1.8","4.65","0","4.65","61","0","61","22'06/23"
"655",="2546","根基","02/17","56","+0.5","+0.9","2022","56","6.98","2.6","1","3.6","4.64","1.79","6.43","37.2","14.3","51.6","22'08/26"
"656","2887E","台新戊特","02/17","51.2","+0.1","+0.2","2022","51.2","","2.38","0","2.38","4.64","0","4.64","","","","22'07/28"
"657",="4104","佳醫","02/17","75.5","+0.3","+0.4","2022","75.5","4.3","3.5","0.5","4","4.64","0.66","5.3","81.4","11.6","93","22'08/04"
"658","2838A","聯邦銀甲特","02/17","51.8","0","0","2022","51.8","","2.4","0","2.4","4.63","0","4.63","","","","22'07/15"
"659",="4121","優盛","02/17","23.6","+0.15","+0.64","2022","23.6","1.35","1.09","0","1.09","4.63","0","4.63","80.9","0","80.9","22'08/12"
"660",="3105","穩懋","02/17","173","+2","+1.17","2022","173","12.9","8","0","8","4.62","0","4.62","62","0","62","22'07/29"
"661",="6667","信紘科","02/17","63.6","+0.3","+0.47","2022","63.6","3.27","2.94","0","2.94","4.62","0","4.62","89.9","0","89.9","22'07/25"
"662",="1504","東元","02/17","29.3","-0.4","-1.35","2022","29.3","2.38","1.35","0","1.35","4.61","0","4.61","56.7","0","56.7","22'07/15"
"663",="2890","永豐金","02/17","17.4","+0.1","+0.58","2022","17.4","1.44","0.8","0.1","0.9","4.6","0.57","5.17","55.6","6.94","62.5","22'09/14"
"664",="6023","元大期","02/17","50.1","0","0","2022","50.1","2.97","2.3","0","2.3","4.59","0","4.59","77.4","0","77.4","22'06/30"
"665",="1227","佳格","02/17","41.4","+0.1","+0.24","2022","41.4","2.7","1.9","0","1.9","4.59","0","4.59","70.4","0","70.4","22'08/17"
"666",="1737","臺鹽","02/17","32.75","-0.05","-0.15","2022","32.75","1.97","1.5","0","1.5","4.58","0","4.58","76.1","0","76.1","22'09/20"
"667","00711B","FH彭博新興債","02/17","15.95","-0.07","-0.44","2022","15.95","","0.73","0","0.73","4.58","0","4.58","","","","23'01/31"
"668",="2888","新光金","02/17","8.75","+0.05","+0.57","2022","8.75","1.67","0.4","0","0.4","4.58","0","4.58","24","0","24","22'07/20"
"669",="2641","正德","02/17","17.5","0","0","2022","17.5","2.24","0.8","0","0.8","4.57","0","4.57","35.7","0","35.7","22'07/08"
"670",="3540","曜越","02/17","35","+0.8","+2.34","2022","35","3.05","1.6","0","1.6","4.57","0","4.57","52.5","0","52.5","22'07/22"
"671",="8930","青鋼","02/17","17.55","+0.2","+1.15","2022","17.55","1","0.8","0","0.8","4.56","0","4.56","80","0","80","22'04/28"
"672",="3226","至寶電","02/17","55","0","0","2022","55","3.58","2.5","0","2.5","4.55","0","4.55","69.8","0","69.8","22'09/23"
"673",="8109","博大","02/17","88.2","+1.1","+1.26","2022","88.2","5.28","4","0","4","4.54","0","4.54","75.8","0","75.8","22'05/20"
"674",="9945","潤泰新","02/17","44.1","0","0","2022","44.1","7.98","2","5","7","4.54","11.3","15.9","25.1","62.7","87.7","22'09/08"
"675",="1440","南紡","02/17","17.7","-0.15","-0.84","2022","17.7","1.77","0.8","0","0.8","4.52","0","4.52","45.2","0","45.2","22'08/15"
"676",="6505","台塑化","02/17","84.2","+0.2","+0.24","2022","84.2","5.19","3.8","0","3.8","4.51","0","4.51","73.2","0","73.2","22'07/22"
"677",="6803","崑鼎","02/17","265","-0.5","-0.19","2022","265","13.15","11.94","0","11.94","4.51","0","4.51","90.8","0","90.8","22'07/27"
"678",="3624","光頡","02/17","57.7","-0.1","-0.17","2023","57.7","","2.6","0","2.6","4.51","0","4.51","","","",""
"679",="2455","全新","02/17","88.8","+1.9","+2.19","2022","88.8","4.62","4","0","4","4.5","0","4.5","86.6","0","86.6","22'07/14"
"680",="2227","裕日車","02/17","201.5","+1","+0.5","2022","201.5","10.09","9.06","0","9.06","4.5","0","4.5","89.8","0","89.8","22'09/23"
"681",="6190","萬泰科","02/17","31","0","0","2022","31","1.68","1.39","0","1.39","4.5","0","4.5","82.9","0","82.9","22'08/23"
"682",="2481","強茂","02/17","66.9","-0.8","-1.18","2022","66.9","5.66","3","0","3","4.48","0","4.48","53","0","53","22'08/01"
"683",="00858","永豐美國500大","02/17","25.17","-0.41","-1.6","2023","25.17","","1.13","0","1.13","4.48","0","4.48","","","",""
"684","00778B","凱基金融債20+","02/17","34.81","-0.57","-1.61","2022","34.81","","1.56","0","1.56","4.48","0","4.48","","","",""
"685",="2250","IKKA-KY","02/17","72","+0.3","+0.42","2022","72","6.06","3.22","0","3.22","4.48","0","4.48","53.2","0","53.2","22'08/31"
"686",="1587","吉茂","02/17","22.35","-0.1","-0.45","2022","22.35","1.74","1","0","1","4.47","0","4.47","57.3","0","57.3","22'07/29"
"687",="2363","矽統","02/17","17.9","+0.1","+0.56","2022","17.9","0.29","0.8","1","1.8","4.47","5.59","10.1","276","345","621","22'09/28"
"688",="2492","華新科","02/17","101","+0.5","+0.5","2022","101","16.35","4.51","0","4.51","4.46","0","4.46","27.6","0","27.6","22'09/02"
"689",="1240","茂生農經","02/17","44.8","-0.4","-0.88","2022","44.8","3.57","2","0.5","2.5","4.46","1.12","5.58","56","14","70","22'08/26"
"690",="2431","聯昌","02/17","10.1","0","0","2022","10.1","1.03","0.45","0","0.45","4.46","0","4.46","43.7","0","43.7","22'08/26"
