"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"901",="5230","雷笛克光學","02/17","23.4","0","0","2022","23.4","1.28","0.8","0","0.8","3.42","0","3.42","62.5","0","62.5","22'07/20"
"902",="2302","麗正","02/17","17.6","-0.1","-0.56","2022","17.6","0.51","0.6","0","0.6","3.42","0","3.42","118","0","118","22'08/15"
"903",="00733","富邦臺灣中小","02/17","35.81","-0.12","-0.33","2022","35.81","","1.22","0","1.22","3.41","0","3.41","","","","22'11/21"
"904",="2880","華南金","02/17","22.9","+0.1","+0.44","2022","22.9","1.3","0.78","0.34","1.12","3.41","1.48","4.89","60","26.2","86.2","22'09/08"
"905",="6234","高僑","02/17","22.05","+0.05","+0.23","2022","22.05","1.24","0.75","0","0.75","3.4","0","3.4","60.5","0","60.5","22'09/07"
"906",="6579","研揚","02/17","91.3","+0.5","+0.55","2022","91.3","4.22","3.1","0","3.1","3.39","0","3.39","73.4","0","73.4","22'07/20"
"907",="3665","貿聯-KY","02/17","279","-1.5","-0.53","2022","279","15.22","9.45","0","9.45","3.39","0","3.39","62.1","0","62.1","22'08/18"
"908",="3094","聯傑","02/17","29.25","-0.05","-0.17","2022","29.25","0.85","0.99","0","0.99","3.38","0","3.38","116","0","116","22'08/17"
"909",="1906","寶隆","02/17","17.75","+0.05","+0.28","2022","17.75","2.7","0.6","0","0.6","3.38","0","3.38","22.2","0","22.2",""
"910",="1618","合機","02/17","14.8","-0.1","-0.67","2022","14.8","1.04","0.5","0","0.5","3.38","0","3.38","48.1","0","48.1","22'08/05"
"911",="3114","好德","02/17","26.65","0","0","2022","26.65","2.42","0.9","0.6","1.5","3.38","2.25","5.63","37.2","24.8","62","22'09/14"
"912","00853B","統一美債10年Aa-A","02/17","28.43","-0.37","-1.28","2022","28.43","","0.96","0","0.96","3.38","0","3.38","","","",""
"913",="4552","力達-KY","02/17","29.65","+0.25","+0.85","2022","29.65","3.13","1","0","1","3.37","0","3.37","31.9","0","31.9","22'12/15"
"914",="2415","錩新","02/17","25.25","-0.4","-1.56","2022","25.25","2.73","0.85","1.25","2.1","3.37","4.95","8.32","31.1","45.8","76.9","22'10/06"
"915",="4721","美琪瑪","02/17","113","+1","+0.89","2022","113","4.81","3.8","0","3.8","3.36","0","3.36","79","0","79","22'08/02"
"916",="1713","國化","02/17","25.3","+0.05","+0.2","2022","25.3","1.04","0.85","0","0.85","3.36","0","3.36","81.7","0","81.7","22'08/25"
"917",="2912","統一超","02/17","268","-1.5","-0.56","2022","268","8.52","9","0","9","3.36","0","3.36","106","0","106","22'09/06"
"918",="6155","鈞寶","02/17","25.35","+0.45","+1.81","2022","25.35","0.93","0.85","0","0.85","3.35","0","3.35","91.4","0","91.4","22'07/15"
"919",="4551","智伸科","02/17","149.5","-2.5","-1.64","2022","149.5","10.47","5","0","5","3.34","0","3.34","47.8","0","47.8","22'08/26"
"920","2836A","高雄銀甲特","02/17","22.5","+0.2","+0.9","2022","22.5","","0.75","0","0.75","3.34","0","3.34","","","","22'07/15"
"921",="5512","力麒","02/17","9","+0.09","+1.01","2022","9","0.42","0.3","0","0.3","3.33","0","3.33","71.4","0","71.4","22'10/07"
"922",="1614","三洋電","02/17","37","+0.4","+1.09","2022","37","1.42","1.23","0","1.23","3.33","0","3.33","86.8","0","86.8","22'08/05"
"923",="5450","南良","02/17","18.05","-0.1","-0.55","2022","18.05","1.23","0.6","0","0.6","3.32","0","3.32","48.8","0","48.8","22'08/31"
