"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1201",="1591","駿吉-KY","02/17","26.2","-0.05","-0.19","2022","26.2","1.54","0.5","0.5","1","1.91","1.91","3.82","32.5","32.5","65.1","22'09/16"
"1202",="1603","華電","02/17","26.2","+0.05","+0.19","2022","26.2","1.78","0.5","0","0.5","1.91","0","1.91","28.1","0","28.1","22'09/28"
"1203",="1319","東陽","02/17","44.6","+0.55","+1.25","2022","44.6","1.16","0.85","0","0.85","1.91","0","1.91","73.3","0","73.3","22'07/20"
"1204",="6680","鑫創電子","02/17","63","+2","+3.28","2022","63","1.79","1.2","0.3","1.5","1.9","0.48","2.38","67","16.8","83.8","22'07/28"
"1205",="8488","吉源-KY","02/17","15.8","0","0","2022","15.8","0.75","0.3","0","0.3","1.9","0","1.9","40","0","40","22'09/30"
"1206",="2049","上銀","02/17","237.5","+5.5","+2.37","2022","237.5","10.36","4.5","0","4.5","1.89","0","1.89","43.4","0","43.4","22'08/08"
"1207",="3025","星通","02/17","21.2","+0.2","+0.95","2022","21.2","0.47","0.4","0","0.4","1.89","0","1.89","85.1","0","85.1","22'09/29"
"1208",="2812","台中銀","02/17","13.25","+0.05","+0.38","2022","13.25","1.1","0.25","0.5","0.75","1.89","3.77","5.66","22.7","45.5","68.2","22'08/22"
"1209",="3577","泓格","02/17","79.5","-0.2","-0.25","2022","79.5","3.23","1.5","1","2.5","1.89","1.26","3.14","46.4","31","77.4","22'10/07"
"1210",="1536","和大","02/17","72.6","0","0","2022","72.6","1.23","1.36","0","1.36","1.88","0","1.88","111","0","111","22'07/28"
"1211","00890B","凱基ESGBBB債15+","02/17","31.94","-0.4","-1.24","2023","31.94","","0.6","0","0.6","1.88","0","1.88","","","",""
"1212",="2201","裕隆","02/17","80","-1.5","-1.84","2022","80","4.82","1.5","0","1.5","1.88","0","1.88","31.1","0","31.1","22'09/30"
"1213",="6689","伊雲谷","02/17","133.5","+1","+0.75","2022","133.5","3.4","2.5","0","2.5","1.87","0","1.87","73.5","0","73.5","22'07/29"
"1214",="6160","欣技","02/17","18.7","0","0","2022","18.7","0.52","0.35","0","0.35","1.87","0","1.87","67.3","0","67.3","22'08/08"
"1215",="2308","台達電","02/17","294.5","-4.5","-1.51","2022","294.5","10.32","5.5","0","5.5","1.87","0","1.87","53.3","0","53.3","22'07/28"
"1216",="2419","仲琦","02/17","26.8","+0.3","+1.13","2022","26.8","0.22","0.5","0","0.5","1.87","0","1.87","227","0","227","22'07/01"
"1217",="1789","神隆","02/17","25.75","-0.05","-0.19","2022","25.75","0.31","0.48","0","0.48","1.86","0","1.86","155","0","155","22'08/02"
"1218",="1516","川飛","02/17","20.3","+0.15","+0.74","2023","20.3","1.36","0.38","0.88","1.26","1.86","4.33","6.18","27.7","64.6","92.3",""
"1219","00831B","新光美債1-3","02/17","36.85","+0.1","+0.27","2022","36.85","","0.68","0","0.68","1.85","0","1.85","","","",""
"1220",="3675","德微","02/17","271","-8","-2.87","2022","271","7.36","5","0","5","1.85","0","1.85","67.9","0","67.9","22'09/30"
"1221",="6781","AES-KY","02/17","818","+2","+0.25","2022","818","30.18","15","0","15","1.83","0","1.83","49.7","0","49.7","22'08/18"
"1222",="5203","訊連","02/17","93.6","+1.3","+1.41","2022","93.6","-7.21","1.71","0","1.71","1.83","0","1.83","-23.8","0","-23.8","22'08/31"
"1223",="1324","地球","02/17","11","+0.05","+0.46","2022","11","0.01","0.2","0","0.2","1.82","0","1.82","2000","0","2000","22'09/22"
"1224",="6874","倍力","02/17","82.5","+7.5","+10","2022","82.5","6.27","1.5","3","4.5","1.82","3.64","5.45","23.9","47.8","71.8","22'10/18"
"1225",="3652","精聯","02/17","22.95","+0.05","+0.22","2022","22.95","1.03","0.41","0","0.41","1.81","0","1.81","40.3","0","40.3","22'07/27"
