"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1801",="3362","先進光","02/17","78.2","-0.1","-0.13","2022","78.2","0.03","0","0","0","0","0","0","0","0","0",""
"1802",="3419","譁裕","02/17","18.65","-0.15","-0.8","2022","18.65","-0.33","0","0","0","0","0","0","0","0","0",""
"1803",="3465","進泰電子","02/17","98","-2","-2","2023","98","1.14","0","0","0","0","0","0","0","0","0",""
"1804",="3466","致振","02/17","30","-1.05","-3.38","2022","30","-1.31","0","0","0","0","0","0","0","0","0",""
"1805",="3494","誠研","02/17","11.3","-0.15","-1.31","2022","11.3","-1.57","0","0","0","0","0","0","0","0","0",""
"1806",="3498","陽程","02/17","33.6","-0.45","-1.32","2022","33.6","0.27","0","0","0","0","0","0","0","0","0",""
"1807",="3499","環天科","02/17","18.25","+0.05","+0.27","2022","18.25","-0.18","0","0","0","0","0","0","0","0","0",""
"1808",="3504","揚明光","02/17","82.6","-0.9","-1.08","2022","82.6","0.23","0","0","0","0","0","0","0","0","0",""
"1809",="3508","位速","02/17","38.3","-0.1","-0.26","2022","38.3","-0.92","0","0","0","0","0","0","0","0","0",""
"1810",="3520","華盈","02/17","19.95","+0.1","+0.5","2022","19.95","0.13","0","0","0","0","0","0","0","0","0",""
"1811",="3521","鴻翊","02/17","23.75","+0.5","+2.15","2022","23.75","-1.68","0","0","0","0","0","0","0","0","0",""
"1812",="3522","御頂","02/17","11.2","+0.1","+0.9","2022","11.2","-6.64","0","0","0","0","0","0","0","0","0",""
"1813",="3523","迎輝","02/17","19","+0.1","+0.53","2022","19","-1.95","0","0","0","0","0","0","0","0","0",""
"1814",="3536","誠創","02/17","4","-0.05","-1.23","2022","4","-0.88","0","0","0","0","0","0","0","0","0",""
"1815",="3576","聯合再生","02/17","21","+0.05","+0.24","2022","21","-0.84","0","0","0","0","0","0","0","0","0",""
"1816",="3593","力銘","02/17","12.2","0","0","2022","12.2","0.02","0","0","0","0","0","0","0","0","0",""
"1817",="3609","三一東林","02/17","45.8","+0.2","+0.44","2022","45.8","0.01","0","0","0","0","0","0","0","0","0",""
"1818",="3623","富晶通","02/17","16.75","+0.2","+1.21","2022","16.75","-1.24","0","0","0","0","0","0","0","0","0",""
"1819",="3625","西勝","02/17","13.45","+0.25","+1.89","2022","13.45","-1.92","0","0","0","0","0","0","0","0","0",""
"1820",="3629","地心引力","02/17","39.05","-0.35","-0.89","2023","39.05","-1.25","0","0","0","0","0","0","0","0","0",""
"1821",="3630","新鉅科","02/17","29.25","+0.15","+0.52","2022","29.25","-3.43","0","0","0","0","0","0","0","0","0",""
"1822",="3632","研勤","02/17","12","+0.05","+0.42","2022","12","-0.71","0","0","0","0","0","0","0","0","0",""
"1823",="3664","安瑞-KY","02/17","12.3","+0.1","+0.82","2022","12.3","-1.94","0","0","0","0","0","0","0","0","0",""
"1824",="3666","光耀","02/17","19.3","-0.1","-0.52","2022","19.3","-0.55","0","0","0","0","0","0","0","0","0",""
"1825",="3682","亞太電","02/17","6.23","+0.01","+0.16","2022","6.23","-1.35","0","0","0","0","0","0","0","0","0",""
"1826",="3685","元創精密","02/17","20.7","+0.15","+0.73","2022","20.7","0.05","0","0","0","0","0","0","0","0","0",""
"1827",="3686","達能","02/17","15.2","-0.1","-0.65","2022","15.2","-0.18","0","0","0","0","0","0","0","0","0",""
"1828",="3691","碩禾","02/17","113","0","0","2022","113","-5.34","0","0","0","0","0","0","0","0","0",""
"1829",="3694","海華","02/17","20.5","-0.1","-0.49","2022","20.5","2.05","0","0","0","0","0","0","0","0","0",""
"1830",="3701","大眾控","02/17","44","+0.15","+0.34","2022","44","1.32","0","0","0","0","0","0","0","0","0",""
"1831",="3710","連展投控","02/17","13","-0.05","-0.38","2022","13","-2.5","0","0","0","0","0","0","0","0","0",""
"1832",="3713","新晶投控","02/17","30.35","+0.05","+0.17","2022","30.35","0.43","0","0","0","0","0","0","0","0","0",""
"1833",="4108","懷特","02/17","19.45","+0.1","+0.52","2022","19.45","-0.4","0","0","0","0","0","0","0","0","0",""
"1834",="4109","加捷生醫","02/17","14.45","+0.1","+0.7","2022","14.45","0.06","0","0","0","0","0","0","0","0","0",""
"1835",="4119","旭富","02/17","102","+0.5","+0.49","2022","102","0.58","0","0","0","0","0","0","0","0","0",""
"1836",="4127","天良","02/17","14.4","+0.05","+0.35","2022","14.4","1.02","0","0","0","0","0","0","0","0","0",""
"1837",="4129","聯合","02/17","48.75","+0.9","+1.88","2022","48.75","0.37","0","0","0","0","0","0","0","0","0",""
"1838","4129A","聯合甲特","02/17","49.8","-0.2","-0.4","2022","49.8","","0","0","0","0","0","0","","","",""
"1839",="4131","晶宇","02/17","20.25","+0.05","+0.25","2022","20.25","-0.91","0","0","0","0","0","0","0","0","0",""
"1840",="4139","馬光-KY","02/17","38.95","-0.4","-1.02","2022","38.95","0.91","0","0","0","0","0","0","0","0","0",""
"1841",="4142","國光生","02/17","39.75","-0.15","-0.38","2022","39.75","0.1","0","0","0","0","0","0","0","0","0",""
"1842",="4147","中裕","02/17","68.4","-0.4","-0.58","2023","68.4","","0","0","0","0","0","0","","","",""
"1843",="4154","樂威科-KY","02/17","35.4","-0.1","-0.28","2022","35.4","-2.18","0","0","0","0","0","0","0","0","0",""
"1844",="4157","太景*-KY","02/17","15.6","-0.15","-0.95","2022","15.6","1.08","0","0","0","0","0","0","0","0","0",""
"1845",="4167","松瑞藥","02/17","20.65","-0.3","-1.43","2022","20.65","0.03","0","0","0","0","0","0","0","0","0",""
"1846",="4168","醣聯","02/17","32.55","+0.8","+2.52","2022","32.55","-1.78","0","0","0","0","0","0","0","0","0",""
"1847",="4174","浩鼎","02/17","78.8","+2.2","+2.87","2022","78.8","-7.69","0","0","0","0","0","0","0","0","0",""
"1848",="4188","安克","02/17","16.5","-0.05","-0.3","2022","16.5","-0.48","0","0","0","0","0","0","0","0","0",""
"1849",="4192","杏國","02/17","25","+0.1","+0.4","2023","25","","0","0","0","0","0","0","","","",""
"1850",="4198","欣大健康","02/17","26","+0.3","+1.17","2022","26","-1.3","0","0","0","0","0","0","0","0","0",""
"1851",="4304","勝昱","02/17","9.75","+0.05","+0.52","2022","9.75","4.22","0","0","0","0","0","0","0","0","0",""
"1852",="4402","福大","02/17","11.4","+1","+9.62","2022","11.4","-0.86","0","0","0","0","0","0","0","0","0",""
"1853",="4406","新昕纖","02/17","10.4","+0.05","+0.48","2022","10.4","0.33","0","0","0","0","0","0","0","0","0",""
"1854",="4413","飛寶企業","02/17","17.2","-0.15","-0.86","2022","17.2","0.2","0","0","0","0","0","0","0","0","0",""
"1855",="4426","利勤","02/17","26.25","0","0","2022","26.25","-2.15","0","0","0","0","0","0","0","0","0",""
"1856",="4432","銘旺實","02/17","24.75","+0.5","+2.06","2022","24.75","-2.04","0","0","0","0","0","0","0","0","0",""
"1857",="4502","健信","02/17","37.15","-0.15","-0.4","2022","37.15","-2.87","0","0","0","0","0","0","0","0","0",""
"1858",="4503","金雨","02/17","47.7","+3.2","+7.19","2022","47.7","-0.85","0","0","0","0","0","0","0","0","0",""
"1859",="4510","高鋒","02/17","10.55","+0.15","+1.44","2022","10.55","-0.33","0","0","0","0","0","0","0","0","0",""
"1860",="4513","福裕","02/17","19.4","-0.3","-1.52","2022","19.4","0.44","0","0","0","0","0","0","0","0","0",""
"1861",="4523","永彰","02/17","46.95","-0.85","-1.78","2022","46.95","-0.22","0","0","0","0","0","0","0","0","0",""
"1862",="4529","淳紳","02/17","10.7","+0.05","+0.47","2022","10.7","-6.09","0","0","0","0","0","0","0","0","0",""
"1863",="4530","宏易","02/17","6.96","+0.04","+0.58","2022","6.96","-0.47","0","0","0","0","0","0","0","0","0",""
"1864",="4534","慶騰","02/17","9.13","-0.08","-0.87","2022","9.13","0.59","0","0","0","0","0","0","0","0","0",""
"1865",="4543","萬在","02/17","24.8","+1.3","+5.53","2022","24.8","0.53","0","0","0","0","0","0","0","0","0",""
"1866",="4562","穎漢","02/17","15.35","+0.05","+0.33","2022","15.35","-2.01","0","0","0","0","0","0","0","0","0",""
"1867",="4563","百德","02/17","42.3","-0.15","-0.35","2022","42.3","-3.36","0","0","0","0","0","0","0","0","0",""
"1868",="4609","唐鋒","02/17","7.94","-0.33","-3.99","2022","7.94","-0.39","0","0","0","0","0","0","0","0","0",""
"1869",="4702","中美實","02/17","12.75","-0.1","-0.78","2022","12.75","1.15","0","0","0","0","0","0","0","0","0",""
"1870",="4712","南璋","02/17","4.85","0","0","2022","4.85","-1.61","0","0","0","0","0","0","0","0","0",""
"1871",="4726","永昕","02/17","40.5","+0.6","+1.5","2022","40.5","-0.61","0","0","0","0","0","0","0","0","0",""
"1872",="4729","熒茂","02/17","15.2","0","0","2022","15.2","-1.26","0","0","0","0","0","0","0","0","0",""
"1873",="4735","豪展","02/17","38.9","+0.4","+1.04","2023","38.9","0.96","0","0","0","0","0","0","0","0","0",""
"1874",="4743","合一","02/17","275.5","-0.5","-0.18","2022","275.5","-1.06","0","0","0","0","0","0","0","0","0",""
"1875",="4755","三福化","02/17","130.5","-1","-0.76","2023","130.5","1.62","0","0","0","0","0","0","0","0","0",""
"1876",="4766","南寶","02/17","139.5","0","0","2023","139.5","3.08","0","0","0","0","0","0","0","0","0",""
"1877",="4804","大略-KY","02/17","11.5","-0.15","-1.29","2022","11.5","-0.13","0","0","0","0","0","0","0","0","0",""
"1878",="4806","昇華","02/17","7.33","0","0","2022","7.33","-4.13","0","0","0","0","0","0","0","0","0",""
"1879",="4903","聯光通","02/17","13.6","0","0","2022","13.6","-0.35","0","0","0","0","0","0","0","0","0",""
"1880",="4909","新復興","02/17","17.3","0","0","2022","17.3","-1.26","0","0","0","0","0","0","0","0","0",""
"1881",="4911","德英","02/17","58.4","0","0","2022","58.4","-0.36","0","0","0","0","0","0","0","0","0",""
"1882",="4912","聯德控股-KY","02/17","77.1","-0.7","-0.9","2023","77.1","1.96","0","0","0","0","0","0","0","0","0",""
"1883",="4924","欣厚-KY","02/17","13.6","0","0","2022","13.6","1.13","0","0","0","0","0","0","0","0","0",""
"1884",="4931","新盛力","02/17","49.1","-0.2","-0.41","2022","49.1","-0.63","0","0","0","0","0","0","0","0","0",""
"1885",="4934","太極","02/17","28.6","+0.1","+0.35","2022","28.6","-4.19","0","0","0","0","0","0","0","0","0",""
"1886",="4943","康控-KY","02/17","13.4","-0.5","-3.6","2022","13.4","-24.11","0","0","0","0","0","0","0","0","0",""
"1887",="4944","兆遠","02/17","12.35","-0.3","-2.37","2022","12.35","-3.57","0","0","0","0","0","0","0","0","0",""
"1888",="4946","辣椒","02/17","46.8","-0.2","-0.43","2022","46.8","1.79","0","0","0","0","0","0","0","0","0",""
"1889",="4950","牧東","02/17","21.25","-0.05","-0.23","2022","21.25","0.49","0","0","0","0","0","0","0","0","0",""
"1890",="4967","十銓","02/17","43.9","+3.7","+9.2","2022","43.9","-1.02","0","0","0","0","0","0","0","0","0",""
"1891",="4976","佳凌","02/17","40.4","-0.45","-1.1","2022","40.4","0.05","0","0","0","0","0","0","0","0","0",""
"1892",="4979","華星光","02/17","51.3","-0.9","-1.72","2022","51.3","-2.22","0","0","0","0","0","0","0","0","0",""
"1893",="4989","榮科","02/17","27","-0.1","-0.37","2023","27","0.03","0","0","0","0","0","0","0","0","0",""
"1894",="4991","環宇-KY","02/17","38.35","-0.05","-0.13","2022","38.35","-4.2","0","0","0","0","0","0","0","0","0",""
"1895",="5009","榮剛","02/17","41.25","+0.85","+2.1","2023","41.25","1.26","0","0","0","0","0","0","0","0","0",""
"1896",="5205","中茂","02/17","38.8","+1.45","+3.88","2022","38.8","-1.69","0","0","0","0","0","0","0","0","0",""
