符合條件商品
資料日期：2023年  5月  5日
策略,	周大於70
序號,	代碼,	商品,	成交,	漲幅%,	總量,	70
執行時間：2023-05-07 13:04 符合檔數(1772)
121	,5521.TW,工信,7.78,-0.77,510,18
122	,6128.TW,上福,33.5,0.15,141,18
123	,6139.TW,亞翔,46.15,-0.32,672,18
124	,6412.TW,群電,78.7,0.13,510,18
125	,6593.TW,台灣銘板,55.3,0.18,32,18
126	,6672.TW,騰輝電子-KY,81.5,2.39,839,18
127	,8131.TW,福懋科,42.4,-0.12,292,18
128	,8416.TW,實威,143.5,-1.71,82,18
129	,1342.TW,八貫,139.5,-2.11,1092,17
130	,1609.TW,大亞,31.3,0.97,97169,17
131	,2201.TW,裕隆,77.4,-0.51,6006,17
132	,2230.TW,泰茂,81.5,-0.24,916,17
133	,2247.TW,汎德永業,289.5,0.87,144,17
134	,2321.TW,東訊,19.6,-6.89,51,17
135	,2408.TW,南亞科,66.7,-1.91,9299,17
136	,2453.TW,凌群,67.2,-1.9,10521,17
137	,2482.TW,連宇,65.4,-1.65,4678,17
138	,2832.TW,台產,21.55,0.23,179,17
139	,3026.TW,禾伸堂,102.5,0.49,374,17
140	,3036.TW,文曄,65.4,-2.53,1907,17
141	,3089.TW,億杰,71.6,3.77,215,17
142	,3402.TW,漢科,52.4,0,181,17
143	,3501.TW,維熹,56.9,0.71,611,17
144	,3712.TW,永崴投控,39.3,-3.56,6070,17
145	,5434.TW,崇越,185,-1.33,192,17
146	,5519.TW,隆大,24.7,0,266,17
147	,5534.TW,長虹,80.2,0.38,195,17
148	,5536.TW,聖暉*,137.5,0.73,246,17
149	,5609.TW,中菲行,86.8,-0.12,144,17
150	,5864.TW,致和證,16.15,0,982,17
151	,6192.TW,巨路,71,-0.14,82,17
152	,6292.TW,迅德,45.4,0.33,41,17
153	,6590.TW,普鴻,96.3,-4.18,597,17
154	,6679.TW,鈺太,287.5,-1.03,304,17
155	,6803.TW,崑鼎,306.5,0.16,86,17
156	,8171.TW,天宇,55.7,-1.76,623,17
157	,8454.TW,富邦媒,732,-3.81,1716,17
158	,1256.TW,鮮活果汁-KY,311,0.32,5,16
159	,1301.TW,台塑,93.8,0.11,2450,16
160	,1535.TW,中宇,54.3,-0.18,80,16
161	,1580.TW,新麥,105.5,0,63,16
162	,1584.TW,精剛,40.5,-1.22,2340,16
163	,1589.TW,永冠-KY,83,-0.48,3351,16
164	,1604.TW,聲寶,26.5,1.15,361,16
165	,1605.TW,華新,50.1,-0.4,27472,16
166	,1737.TW,臺鹽,33.8,0.15,199,16
167	,2303.TW,聯電,49.6,-0.1,21107,16
168	,2330.TW,台積電,500,0.4,7898,16
169	,2352.TW,佳世達,34.2,-3.53,18362,16
170	,2395.TW,研華,380,0,670,16
171	,2404.TW,漢唐,223.5,1.59,1590,16
172	,2412.TW,中華電,126.5,0,2811,16
173	,2633.TW,台灣高鐵,31,-0.64,2175,16
174	,2707.TW,晶華,292.5,1.04,1549,16
175	,2752.TW,豆府,252.5,2.85,22,16
176	,2812.TW,台中銀,14.65,0.69,5431,16
177	,3004.TW,豐達科,98.5,-1.2,1762,16
178	,3023.TW,信邦,348,-0.85,690,16
179	,3257.TW,虹冠電,60.5,-1.63,215,16
180	,3293.TW,鈊象,540,0.37,996,16
181	,3443.TW,創意,1140,3.17,6246,16
182	,3540.TW,曜越,39.9,0,830,16
183	,3646.TW,艾恩特,30.1,-0.82,379,16
184	,4419.TW,元勝,23,0,10,16
185	,4581.TW,光隆精密-KY,56.2,-2.94,273,16
186	,5276.TW,達輝-KY,15,-1.96,5,16
187	,5355.TW,佳總,8.49,0,754,16
188	,5601.TW,台聯櫃,43.35,-0.23,14,16
189	,6101.TW,寬魚國際,45.8,0,214,16
190	,6170.TW,統振,39.3,2.61,343,16
191	,6175.TW,立敦,38.3,0.26,1976,16
192	,6176.TW,瑞儀,114,0.44,1407,16
193	,6188.TW,廣明,53.6,-1.11,1191,16
194	,6239.TW,力成,94.3,0.21,1844,16
195	,6257.TW,矽格,53.2,0.38,878,16
196	,6417.TW,韋僑,165.5,1.53,975,16
197	,6438.TW,迅得,116,-0.43,2203,16
198	,6625.TW,必應,86,-2.49,5395,16
199	,6669.TW,緯穎,1130,-3.83,1703,16
200	,6674.TW,鋐寶科技,27.6,-1.6,24,16
201	,6752.TW,叡揚,183,1.67,3268,16
202	,6754.TW,匯僑設計,56.4,-1.4,59,16
203	,8081.TW,致新,176,-0.28,323,16
204	,8112.TW,至上,44.65,0.22,1611,16
205	,8299.TW,群聯,382.5,0.13,873,16
206	,8932.TW,宏大,52.2,-9.84,1061,16
207	,9924.TW,福興,43.85,0.11,51,16
208	,9925.TW,新保,41.45,-0.24,103,16
209	,9937.TW,全國,60.5,2.54,1,16
210	,1216.TW,統一,73.9,-0.27,2314,15
211	,1434.TW,福懋,28.15,-0.53,783,15
212	,1477.TW,聚陽,226.5,-2.16,1280,15
213	,1503.TW,士電,113,-0.88,13981,15
214	,1726.TW,永記,74.3,0,4,15
215	,1904.TW,正隆,33.1,-1.63,10713,15
216	,2008.TW,高興昌,19.55,-1.26,66,15
217	,2017.TW,官田鋼,17.4,0.58,388,15
218	,2327.TW,國巨,506,2.53,2520,15
219	,2430.TW,燦坤,42.15,-0.12,67,15
220	,2548.TW,華固,96.6,1.36,2047,15
221	,2606.TW,裕民,51.9,-2.63,6859,15
222	,2852.TW,第一保,15.7,0,205,15
223	,2885.TW,元大金,22.85,-0.22,5342,15
224	,3033.TW,威健,30.85,-0.48,2363,15
225	,3056.TW,總太,48.9,-0.2,1610,15
226	,3551.TW,世禾,61.2,2.86,185,15
227	,3563.TW,牧德,198,2.59,483,15
228	,3693.TW,營邦,180,-4.26,5167,15
229	,4102.TW,永日,31.25,-1.42,862,15
230	,4138.TW,曜亞,92.1,4.07,838,15
231	,4967.TW,十銓,75.2,1.9,8692,15
232	,5244.TW,弘凱,31.05,0.16,17,15
233	,5438.TW,東友,22.1,-1.78,247,15
234	,6168.TW,宏齊,25.35,-0.59,364,15
