符合條件商品
資料日期：2023年  5月  8日
策略,	漲2次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲2次數
執行時間：2023-05-08 23:59 符合檔數(1777)
122	,2368.TW,金像電,97.2,-0.92,6429,57
123	,2455.TW,全新,98.8,0,2375,57
124	,2495.TW,普安,25.4,-0.78,2904,57
125	,3189.TW,景碩,111,1.37,7421,57
126	,3296.TW,勝德,18.15,2.54,1268,57
127	,3454.TW,晶睿,197,-1.25,2223,57
128	,3653.TW,健策,480,1.69,957,57
129	,4402.TW,福大,10.35,1.97,116,57
130	,4743.TW,合一,239.5,-2.24,3438,57
131	,5284.TW,jpp-KY,129.5,4.44,7287,57
132	,6589.TW,台康生技,125,-1.96,7802,57
133	,6669.TW,緯穎,1125,-0.44,1448,57
134	,6763.TW,綠界科技,610,5.17,1354,57
135	,8050.TW,廣積,78.7,-0.38,1672,57
136	,8440.TW,綠電,44.9,-0.11,272,57
137	,1538.TW,正峰,9.64,0,2,56
138	,2314.TW,台揚,49.45,1.96,2898,56
139	,2424.TW,隴華,34.05,-1.87,364,56
140	,2457.TW,飛宏,73.8,3.65,29873,56
141	,2732.TW,六角,187,-2.6,4246,56
142	,3025.TW,星通,32.2,3.21,5958,56
143	,3037.TW,欣興,161,5.57,65660,56
144	,3093.TW,港建*,36.65,-0.14,420,56
145	,3163.TW,波若威,54.7,0.74,299,56
146	,3218.TW,大學光,404,-1.22,163,56
147	,3362.TW,先進光,91.1,-1.19,1694,56
148	,3441.TW,聯一光,42.35,-0.59,254,56
149	,3545.TW,敦泰,76,-5.59,9809,56
150	,3691.TW,碩禾,105.5,-0.94,190,56
151	,4943.TW,康控-KY,13.35,-9.18,101,56
152	,4977.TW,眾達-KY,104,-0.48,2062,56
153	,5227.TW,立凱-KY,72.4,-0.41,1293,56
154	,5348.TW,系通,9.69,2.65,35,56
155	,5704.TW,老爺知,54.3,0.37,79,56
156	,6118.TW,建達,32.3,0,224,56
157	,6138.TW,茂達,172,0.88,1856,56
158	,6732.TW,昇佳電子,332,-0.9,910,56
159	,6796.TW,晉弘,101.5,1.5,125,56
160	,8420.TW,明揚,92.7,1.53,904,56
161	,8426.TW,紅木-KY,48.05,0,130,56
162	,2345.TW,智邦,295,2.25,2370,55
163	,2498.TW,宏達電,57.4,0.17,4821,55
164	,3051.TW,力特,18.05,-0.28,8915,55
165	,3105.TW,穩懋,166.5,0.91,1658,55
166	,3265.TW,台星科,56.7,-0.87,1404,55
167	,3504.TW,揚明光,77,-0.65,233,55
168	,3533.TW,嘉澤,927,-0.86,743,55
