符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-09 01:25 符合檔數(1736)
89	,6150.TW,撼訊,71.6,-0.42,124,130,44.25,193.79
90	,1453.TW,大將,14.85,-1,223,37.45,12.85,191.44
91	,5353.TW,台林,48.3,-2.42,1593,54.2,18.6,191.4
92	,6101.TW,寬魚國際,45.75,-0.11,149,52.4,18.05,190.3
93	,2471.TW,資通,68.5,3.32,14945,71.4,24.75,188.48
94	,2465.TW,麗臺,36.2,-0.28,246,67.7,23.7,185.65
95	,6160.TW,欣技,34,-3,6864,37.1,13,185.38
96	,4116.TW,明基醫,64,-1.23,305,92.5,32.5,184.62
97	,2358.TW,廷鑫,12.4,-2.36,2044,23.9,8.4,184.52
98	,5468.TW,凱鈺,16.25,0.93,27,44.45,15.65,184.03
99	,2929.TW,淘帝-KY,13.2,0.76,452,22.45,7.91,183.82
100	,6612.TW,奈米醫材,181.5,-1.89,1124,198.5,70,183.57
101	,2748.TW,雲品,81.8,-0.61,1013,110.5,39.1,182.61
102	,2615.TW,萬海,59.4,-0.17,5330,167,59.1,182.57
103	,2755.TW,揚秦,150.5,-0.33,38,160.5,57,181.58
104	,3588.TW,通嘉,57.3,2.32,415,121.5,43.65,178.35
105	,1342.TW,八貫,140,0.36,791,168.5,60.7,177.59
106	,2468.TW,華經,28.5,8.99,9419,34,12.3,176.42
107	,5009.TW,榮剛,58.1,0.17,13042,63.2,22.9,175.98
108	,4966.TW,譜瑞-KY,979,0.82,960,1575,574,174.39
109	,4503.TW,金雨,57.7,9.9,1703,59.9,21.85,174.14
110	,1795.TW,美時,287,1.95,9408,302,110.5,173.3
111	,6143.TW,振曜,92.2,-0.32,669,111.5,40.8,173.28
112	,4413.TW,飛寶企業,14.85,0.68,8,31.4,11.5,173.04
113	,6533.TW,晶心科,438,-2.01,1354,613,225,172.44
114	,4102.TW,永日,30.35,-2.88,994,44.8,16.45,172.34
115	,4133.TW,亞諾法,36.5,-1.35,118,84.9,31.3,171.25
116	,9928.TW,中視,18.5,-0.8,126,33.2,12.25,171.02
117	,6113.TW,亞矽,17.45,0.58,51,31.15,11.5,170.87
118	,3089.TW,億杰,69.1,-3.49,219,73.3,27.1,170.48
119	,1539.TW,巨庭,28.9,0.35,146,50.3,18.6,170.43
120	,4944.TW,兆遠,9.76,-2.4,33,21.95,8.13,169.99
121	,3122.TW,笙泉,25.7,0,103,62,23,169.57
122	,2486.TW,一詮,27.8,-0.54,1453,43.5,16.2,168.52
123	,5704.TW,老爺知,54.3,0.37,79,78,29.1,168.04
124	,8046.TW,南電,281,1.26,12278,475,177.5,167.61
125	,4768.TW,晶呈科技,173.5,-0.57,149,244,91.5,166.67
126	,6417.TW,韋僑,159,-3.93,912,194.5,73,166.44
127	,3594.TW,磐儀,49.65,1.53,1232,58.2,21.85,166.36
128	,2457.TW,飛宏,73.8,3.65,29873,79.8,30.05,165.56
129	,6515.TW,穎崴,656,-0.46,1058,796,300,165.33
130	,3592.TW,瑞鼎,381.5,1.6,512,522,197,164.97
131	,6122.TW,擎邦,31.85,-0.31,2146,34.95,13.2,164.77
132	,3624.TW,光頡,69.7,-1.97,2465,97.1,36.75,164.22
133	,4402.TW,福大,10.35,1.97,116,19.2,7.27,164.1
134	,3085.TW,新零售,21.3,0,2,22.7,8.6,163.95
135	,1752.TW,南光,77.5,-0.51,2554,85.7,32.6,162.88
136	,6598.TW,ABC-KY,28,0.72,77,60.7,23.2,161.64
137	,6245.TW,立端,117,1.3,10025,130.5,50,161
138	,2429.TW,銘旺科,21.55,-0.69,122,23.45,8.99,160.85
139	,4968.TW,立積,173.5,1.46,7001,230,88.2,160.77
140	,4912.TW,聯德控股-KY,71,0.14,27,163.5,62.8,160.35
141	,2731.TW,雄獅,180,-1.37,7108,192,74,159.46
142	,6266.TW,泰詠,42.25,1.2,2044,48.9,18.85,159.42
143	,5340.TW,建榮,40.4,-0.37,252,57,22,159.09
144	,4903.TW,聯光通,21.8,-2.68,1172,22.4,8.65,158.96
145	,2413.TW,環科,36.5,-2.14,3437,44.75,17.3,158.67
146	,4147.TW,中裕,132,1.15,1888,135,52.2,158.62
147	,6690.TW,安碁資訊,206.5,8.4,1872,237,92,157.61
148	,8420.TW,明揚,92.7,1.53,904,103.5,40.2,157.46
149	,5321.TW,美而快,115,4.55,7752,150,58.3,157.29
150	,3011.TW,今皓,30.4,1.67,4591,32.15,12.5,157.2
151	,3141.TW,晶宏,101.5,-0.98,1190,184.5,72,156.25
152	,6582.TW,申豐,59,-0.17,88,122.5,48,155.21
153	,3272.TW,東碩,43.45,0.35,207,58.3,22.85,155.14
154	,8932.TW,宏大,54.3,4.02,739,58,22.8,154.39
155	,6527.TW,明達醫,93.3,-5.76,1343,102.5,40.4,153.71
156	,3661.TW,世芯-KY,1260,0,4950,1385,546,153.66
157	,8444.TW,綠河-KY,55,1.85,4,95,37.5,153.33
158	,3434.TW,哲固,28.45,-0.35,78,51.4,20.3,153.2
159	,1513.TW,中興電,110.5,2.31,38503,117,46.35,152.43
160	,6494.TW,九齊,70.6,0.86,98,138.5,54.9,152.28
161	,2915.TW,潤泰全,58.5,0.86,2368,124,49.2,152.03
162	,7402.TW,邑錡,69.8,0.87,1506,85.8,34.05,151.98
