符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-08 23:20 符合檔數(1769)
90	,6550.TW,北極星藥業-KY,97.1,-1.82,4803,232,78.5,195.54
91	,3086.TW,華義,75.8,1.74,4,173,58.7,194.72
92	,1325.TW,恆大,24.05,-0.21,104,61.7,21,193.81
93	,4912.TW,聯德控股-KY,71,0.14,27,184.5,62.8,193.79
94	,8084.TW,巨虹,103.5,-3.72,677,142.5,48.7,192.61
95	,5234.TW,達興材料,89.7,1.13,185,163,55.8,192.11
96	,6225.TW,天瀚,11.55,-1.28,11,13.7,4.7,191.49
97	,6187.TW,萬潤,61.1,-0.81,116,156.5,53.7,191.43
98	,3207.TW,耀勝,78.1,1.83,2312,56.7,19.5,190.77
99	,4413.TW,飛寶企業,14.85,0.68,8,31.4,10.8,190.74
100	,3508.TW,位速,31.45,-0.47,145,75.5,26,190.38
101	,6743.TW,安普新,59.3,-1.82,210,81.6,28.15,189.88
102	,2482.TW,連宇,66.3,1.38,18109,32.5,11.25,188.89
103	,6259.TW,百徽,22.55,-0.22,0,52,18,188.89
104	,6679.TW,鈺太,293,1.91,283,490,170.5,187.39
105	,6138.TW,茂達,172,0.88,1856,286,99.9,186.29
106	,2636.TW,台驊投控,75.5,-1.82,506,161,56.3,185.97
107	,1539.TW,巨庭,28.9,0.35,146,50.3,17.6,185.8
108	,3693.TW,營邦,198,10,2732,123,43.05,185.71
109	,6213.TW,聯茂,70.7,0.43,417,147,51.5,185.44
110	,3046.TW,建碁,80.7,9.95,7214,64.2,22.5,185.33
111	,6485.TW,點序,104,4,1594,156.5,55.1,184.03
112	,6732.TW,昇佳電子,332,-0.9,910,528,186,183.87
113	,4931.TW,新盛力,44.65,-0.22,716,60.1,21.2,183.49
114	,2009.TW,第一銅,32.6,-2.69,1712,55.3,19.55,182.86
115	,6799.TW,來頡,156.5,0,1031,229.5,81.6,181.25
116	,8478.TW,東哥遊艇,520,4.21,8122,344.5,123,180.08
117	,3035.TW,智原,168.5,-0.88,8020,331.5,118.5,179.75
118	,6560.TW,欣普羅,35.3,-0.42,22,84.2,30.25,178.35
119	,6228.TW,全譜,13,2.36,17,29.7,10.7,177.57
120	,2455.TW,全新,98.8,0,2375,146.5,52.8,177.46
121	,2745.TW,五福,42,0,122,60.2,21.7,177.42
122	,2108.TW,南帝,39.25,-0.25,252,91.6,33.05,177.16
123	,3189.TW,景碩,111,1.37,7421,240.5,87,176.44
124	,2468.TW,華經,28.5,8.99,9419,34,12.3,176.42
125	,5468.TW,凱鈺,16.25,0.93,27,44.45,16.1,176.09
126	,3167.TW,大量,41.9,0.84,44,107.5,39,175.64
127	,6291.TW,沛亨,168.5,0,230,105.5,38.3,175.46
128	,6643.TW,M31,625,-0.79,1956,582,212,174.53
129	,6770.TW,力積電,30.3,-1.14,8244,71.2,26,173.85
130	,6556.TW,勝品,132,1.93,91,157,57.4,173.52
131	,6488.TW,環球晶,479.5,0.1,1016,906,331.5,173.3
132	,5321.TW,美而快,115,4.55,7752,159,58.3,172.73
133	,2924.TW,宏太-KY,32.95,2.97,5,46.3,17,172.35
134	,4102.TW,永日,30.35,-2.88,994,44.8,16.45,172.34
135	,3624.TW,光頡,69.7,-1.97,2465,100,36.75,172.11
136	,1760.TW,寶齡富錦,163,-1.51,2134,195,71.8,171.59
137	,6541.TW,泰福-KY,81.8,4.6,297,73.3,27,171.48
138	,4133.TW,亞諾法,36.5,-1.35,118,84.9,31.3,171.25
139	,6113.TW,亞矽,17.45,0.58,51,31.15,11.5,170.87
140	,3089.TW,億杰,69.1,-3.49,219,73.3,27.1,170.48
141	,2436.TW,偉詮電,47.65,-1.95,687,98.5,36.45,170.23
142	,5703.TW,亞都,20.7,0,31,34.2,12.7,169.29
143	,6788.TW,華景電,142.5,2.15,748,213.5,79.3,169.23
144	,6237.TW,驊訊,43.05,-0.92,179,102.5,38.3,167.62
145	,2460.TW,建通,22.55,-0.66,352,32.5,12.15,167.49
146	,5299.TW,杰力,131,3.15,256,227,85,167.06
147	,4768.TW,晶呈科技,173.5,-0.57,149,244,91.5,166.67
148	,6111.TW,大宇資,93.9,0.54,13947,112.5,42.3,165.96
149	,6446.TW,藥華藥,363.5,-5.58,5113,622,234,165.81
150	,5347.TW,世界,89.8,0.11,1820,156.5,59.2,164.36
151	,5536.TW,聖暉*,138.5,0.73,223,240,91,163.74
152	,6274.TW,台燿,67.7,-1.88,4318,103,39.15,163.09
153	,6127.TW,九豪,23.55,-3.29,5930,32.05,12.2,162.7
154	,8086.TW,宏捷科,81,1.12,1151,145,55.2,162.68
155	,3034.TW,聯詠,429,0.23,3243,546,208,162.5
156	,3714.TW,富采,47.6,-2.96,6389,104,39.7,161.96
157	,3051.TW,力特,18.05,-0.28,8915,36.5,13.95,161.65
158	,6598.TW,ABC-KY,28,0.72,77,60.7,23.2,161.64
159	,4945.TW,陞達科技,50.7,-0.2,26,108,41.4,160.87
160	,8155.TW,博智,149,0.68,907,216.5,83,160.84
161	,6224.TW,聚鼎,61.8,-0.96,99,129.5,49.7,160.56
162	,6461.TW,益得,34.65,-1.42,546,46.75,18,159.72
163	,6533.TW,晶心科,438,-2.01,1354,583,225,159.11
164	,2642.TW,宅配通,46.4,-0.32,57,101,39,158.97
165	,2007.TW,燁興,10.55,-0.47,257,22.4,8.65,158.96
166	,3558.TW,神準,286,0.7,1497,254,98.2,158.66
167	,8093.TW,保銳,18.5,-2.12,793,15,5.8,158.62
168	,5258.TW,虹堡,83.4,0.36,2231,86.1,33.3,158.56
169	,5236.TW,凌陽創新,90.1,0.33,105,152,58.8,158.5
170	,3701.TW,大眾控,61.3,2.85,2093,81,31.4,157.96
171	,5244.TW,弘凱,30.75,-0.97,17,53.9,21,156.67
172	,4148.TW,全宇生技-KY,63,-0.94,182,98.8,38.5,156.62
173	,6243.TW,迅杰,40.8,9.97,5046,58.9,23,156.09
174	,8222.TW,寶一,61,-2.71,18249,35.7,13.95,155.91
175	,2379.TW,瑞昱,369,0.82,3212,594,232.5,155.48
176	,3272.TW,東碩,43.45,0.35,207,58.3,22.85,155.14
177	,6026.TW,福邦證,12.15,-0.41,2944,24,9.41,155.05
178	,5274.TW,信驊,2880,4.16,488,3675,1445,154.33
179	,3563.TW,牧德,196.5,-0.76,184,286,112.5,154.22
180	,2014.TW,中鴻,24.4,-0.2,4184,49.15,19.35,154.01
181	,3041.TW,揚智,19.3,-1.28,540,42.9,16.95,153.1
182	,2492.TW,華新科,99.8,-2.16,9496,180.5,71.6,152.09
183	,2915.TW,潤泰全,58.5,0.86,2368,124,49.2,152.03
184	,6763.TW,綠界科技,610,5.17,1354,831,330,151.82
185	,3152.TW,璟德,209.5,-0.48,49,357,142,151.41
186	,3011.TW,今皓,30.4,1.67,4591,24.3,9.68,151.03
187	,2740.TW,天蔥,46,-0.97,1,54.9,22.05,148.98
188	,4162.TW,智擎,99.6,-1.87,1100,150.5,60.5,148.76
189	,1612.TW,宏泰,22.45,6.9,6518,33.15,13.35,148.31
190	,6118.TW,建達,32.3,0,224,51.5,20.75,148.19
191	,8426.TW,紅木-KY,48.05,0,130,32.2,13,147.69
192	,3529.TW,力旺,1875,-1.06,419,2225,899,147.5
193	,3293.TW,鈊象,556,2.96,1457,820,331.5,147.36
194	,1316.TW,上曜,13.65,0,4104,27.75,11.25,146.67
195	,4131.TW,晶宇,28.85,4.72,10,32.3,13.1,146.56
196	,4946.TW,辣椒,27.6,1.85,42,94.3,38.25,146.54
197	,3037.TW,欣興,161,5.57,65660,261,106.5,145.07
198	,3027.TW,盛達,44.35,1.49,2388,40.5,16.55,144.71
199	,3675.TW,德微,295.5,-0.51,722,367,150,144.67
200	,6672.TW,騰輝電子-KY,82.7,1.47,583,138,56.7,143.39
201	,3217.TW,優群,104,-0.48,443,137,56.3,143.34
202	,5608.TW,四維航,23.4,-4.1,5151,51.9,21.35,143.09
203	,3372.TW,典範,12.65,-0.39,155,24.55,10.1,143.07
204	,2609.TW,陽明,60.5,-1.14,19653,137.5,56.6,142.93
205	,4432.TW,銘旺實,21.9,-1.13,78,33.6,13.85,142.6
206	,6182.TW,合晶,43.8,-0.34,1640,87.8,36.2,142.54
207	,6158.TW,禾昌,26.05,-0.38,45,58.2,24,142.5
208	,1727.TW,中華化,41.5,0.12,1539,53.7,22.15,142.44
209	,6698.TW,旭暉應材,35.25,-3.16,244,63,26,142.31
210	,3081.TW,聯亞,102,-1.45,1467,217.5,90,141.67
211	,6616.TW,特昇-KY,14.35,0,10,31.4,13,141.54
212	,8087.TW,華鎂鑫,34,0.44,82,57,23.6,141.53
213	,2032.TW,新鋼,18.65,0.54,79,38.5,15.95,141.38
214	,4114.TW,健喬,47.5,-1.35,5730,55.8,23.15,141.04
215	,2340.TW,台亞,35.15,-0.99,1091,73.2,30.4,140.79
216	,2458.TW,義隆,93.2,-2.71,2448,181.5,75.4,140.72
217	,2064.TW,晉椿,17.65,-1.94,8,33.7,14,140.71
218	,8081.TW,致新,179.5,1.99,225,273,113.5,140.53
219	,2314.TW,台揚,49.45,1.96,2898,79.7,33.15,140.42
220	,3466.TW,致振,32.25,-0.31,260,37.25,15.55,139.55
221	,3484.TW,崧騰,49.6,9.98,3773,94.7,39.6,139.14
222	,2369.TW,菱生,14.2,0,307,28.2,11.8,138.98
223	,1773.TW,勝一,123,-3.91,393,234.5,98.2,138.8
224	,3066.TW,李洲,22.6,-0.66,20,48.2,20.2,138.61
225	,8121.TW,越峰,31.5,-0.47,1787,54.1,22.7,138.33
226	,2028.TW,威致,25.65,-0.58,179,48.6,20.4,138.24
227	,2031.TW,新光鋼,46.4,-1.38,1569,77.7,32.65,137.98
228	,8016.TW,矽創,223.5,0,593,323.5,136,137.87
229	,6109.TW,亞元,17.05,0.29,455,20.2,8.5,137.65
230	,8050.TW,廣積,78.7,-0.38,1672,89.8,37.8,137.57
231	,3092.TW,鴻碩,37.45,1.08,237,74.5,31.4,137.26
232	,2929.TW,淘帝-KY,13.2,0.76,452,18.75,7.91,137.04
233	,3305.TW,昇貿,49.8,-1.39,756,83.9,35.4,137.01
