符合條件商品
資料日期：2023年  5月  8日
策略,	紅K次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	紅K次數
執行時間：2023-05-09 00:17 符合檔數(1736)
121	,1326.TW,台化,68.4,-0.87,3432,126
122	,1442.TW,名軒,32.05,0.16,242,126
123	,2065.TW,世豐,58.6,-0.51,169,126
124	,2404.TW,漢唐,223,-0.22,732,126
125	,3022.TW,威強電,81.5,0.87,1268,126
126	,3593.TW,力銘,12.6,0.8,26,126
127	,4549.TW,桓達,97,0.31,65,126
128	,4760.TW,勤凱,82.9,2.35,241,126
129	,5439.TW,高技,71.6,3.02,4982,126
130	,5522.TW,遠雄,61.1,-0.33,428,126
131	,8935.TW,邦泰,12.2,0,89,126
132	,9802.TW,鈺齊-KY,122,2.52,1468,126
133	,1103.TW,嘉泥,20.35,0.99,740,125
134	,1110.TW,東泥,18.75,0.27,556,125
135	,1597.TW,直得,76,-0.26,22,125
136	,1726.TW,永記,74.4,0.13,2,125
137	,1903.TW,士紙,44.15,0,101,125
138	,2106.TW,建大,31.75,0.32,408,125
139	,2227.TW,裕日車,193.5,-0.26,13,125
140	,2433.TW,互盛電,53.4,0.38,15,125
141	,2455.TW,全新,98.8,0,2375,125
142	,2495.TW,普安,25.4,-0.78,2904,125
143	,2640.TW,大車隊,138,2.99,935,125
144	,2752.TW,豆府,255,0.99,17,125
145	,3443.TW,創意,1125,-1.32,5903,125
146	,3550.TW,聯穎,16,1.59,237,125
147	,3615.TW,安可,17.6,0,36,125
148	,3702.TW,大聯大,50.2,-0.2,4246,125
149	,4147.TW,中裕,132,1.15,1888,125
150	,4153.TW,鈺緯,48.25,1.15,405,125
151	,4502.TW,健信,36.95,-0.14,5,125
152	,4545.TW,銘鈺,30.3,-6.91,627,125
153	,5355.TW,佳總,8.3,-2.24,683,125
154	,5871.TW,中租-KY,226,2.49,2180,125
155	,6186.TW,新潤,44.8,0,290,125
156	,6266.TW,泰詠,42.25,1.2,2044,125
157	,6290.TW,良維,60.6,-0.16,2474,125
158	,8240.TW,華宏,30,0.17,90,125
159	,1233.TW,天仁,34,0,32,124
160	,1235.TW,興泰,69.6,0,0,124
161	,1342.TW,八貫,140,0.36,791,124
162	,1410.TW,南染,38.4,-0.65,26,124
163	,1522.TW,堤維西,29.75,0.51,1372,124
164	,1595.TW,川寶,38.85,-0.13,12,124
165	,2115.TW,六暉-KY,30.9,0.32,30,124
166	,2201.TW,裕隆,78.1,0.9,6802,124
167	,2633.TW,台灣高鐵,31.25,0.81,3443,124
168	,2727.TW,王品,331.5,1.22,3331,124
169	,2916.TW,滿心,38.15,0.13,230,124
170	,2939.TW,凱羿-KY,32.5,-1.37,16,124
171	,3537.TW,堡達,38.65,-0.13,163,124
172	,4129.TW,聯合,61.2,-0.65,1401,124
173	,5364.TW,力麗店,24.95,1.22,11,124
174	,5508.TW,永信建,65.1,0.46,138,124
175	,6143.TW,振曜,92.2,-0.32,669,124
176	,6281.TW,全國電,83.9,0,18,124
177	,6292.TW,迅德,45.35,-0.11,90,124
178	,6449.TW,鈺邦,52.2,2.55,18,124
179	,8033.TW,雷虎,77.2,-1.03,20470,124
180	,8039.TW,台虹,41.95,-0.24,111,124
181	,8210.TW,勤誠,85.5,2.89,1273,124
182	,8420.TW,明揚,92.7,1.53,904,124
183	,8466.TW,美吉吉-KY,42.95,-0.12,27,124
184	,9937.TW,全國,59.7,-1.32,5,124
185	,1339.TW,昭輝,43.5,-0.57,64,123
186	,1477.TW,聚陽,231,1.99,925,123
187	,1805.TW,寶徠,10.15,-0.49,1,123
188	,1813.TW,寶利徠,22.55,0.45,28,123
189	,2324.TW,仁寶,24.6,1.86,12744,123
190	,2345.TW,智邦,295,2.25,2370,123
191	,2347.TW,聯強,62.5,0.16,2048,123
192	,2420.TW,新巨,45.3,1.46,829,123
193	,2453.TW,凌群,68.5,1.93,6295,123
194	,3014.TW,聯陽,96.5,0.52,4862,123
195	,3023.TW,信邦,348.5,0.14,234,123
196	,3191.TW,和進,7.37,-2.9,133,123
197	,3259.TW,鑫創,18.8,-2.08,33,123
198	,3661.TW,世芯-KY,1260,0,4950,123
199	,5206.TW,坤悅,22.25,0.45,184,123
200	,5234.TW,達興材料,89.7,1.13,185,123
201	,5425.TW,台半,93.3,0.21,3499,123
202	,6171.TW,大城地產,21.85,0.69,25,123
203	,6472.TW,保瑞,780,-6.25,3777,123
204	,6533.TW,晶心科,438,-2.01,1354,123
205	,6579.TW,研揚,91.8,0.11,32,123
206	,8059.TW,凱碩,13.25,-1.49,227,123
207	,8150.TW,南茂,38.85,1.97,3814,123
208	,8941.TW,關中,57.2,-1.89,77,123
209	,1240.TW,茂生農經,45.95,-0.97,29,122
210	,1413.TW,宏洲,9.29,0,10,122
211	,1476.TW,儒鴻,487,-0.81,367,122
212	,1519.TW,華城,109,9.99,30759,122
213	,1710.TW,東聯,21.3,-0.93,2670,122
214	,2211.TW,長榮鋼,61.4,1.66,1535,122
215	,2348.TW,海悅,67.5,0,34,122
216	,2349.TW,錸德,8.98,0,637,122
217	,2413.TW,環科,36.5,-2.14,3437,122
218	,2449.TW,京元電子,45.8,-2.03,9212,122
219	,2474.TW,可成,184.5,1.37,1405,122
220	,2484.TW,希華,35.8,0,1060,122
221	,2543.TW,皇昌,9.47,0.96,43,122
222	,2882.TW,國泰金,43.05,0.94,15296,122
223	,2915.TW,潤泰全,58.5,0.86,2368,122
224	,3010.TW,華立,87.8,0.23,188,122
225	,3036.TW,文曄,65,-0.61,1471,122
226	,3089.TW,億杰,69.1,-3.49,219,122
227	,3376.TW,新日興,87.9,1.62,326,122
228	,3567.TW,逸昌,29.9,0,75,122
229	,3704.TW,合勤控,41.3,2.35,8238,122
230	,3711.TW,日月光投控,104,0.97,5300,122
231	,4130.TW,健亞,29.1,-2.51,1308,122
232	,5434.TW,崇越,188,1.62,195,122
233	,6147.TW,頎邦,66,0,1846,122
234	,6179.TW,亞通,36.1,9.89,7912,122
235	,6206.TW,飛捷,71.2,0.28,132,122
236	,6223.TW,旺矽,134.5,0,1944,122
237	,6239.TW,力成,94.5,0.21,1702,122
238	,6409.TW,旭隼,1805,0.28,65,122
239	,6441.TW,廣錠,57.1,4.58,622,122
240	,6672.TW,騰輝電子-KY,82.7,1.47,583,122
241	,8374.TW,羅昇,31.3,-0.63,22,122
242	,8404.TW,百和興業-KY,25.6,0,159,122
243	,9904.TW,寶成,32,0.47,2427,122
244	,9929.TW,秋雨,8.93,-0.11,27,122
245	,1307.TW,三芳,23.2,2.65,4198,121
246	,1527.TW,鑽全,41.9,-0.24,176,121
247	,1598.TW,岱宇,41.4,-1.08,122,121
248	,1604.TW,聲寶,26.6,0.38,372,121
249	,2006.TW,東和鋼鐵,56.9,-0.18,531,121
250	,2308.TW,台達電,305.5,0.83,4119,121
