6415.TW
2330.TW
2454.TW
4958.TW
6488.TW
TSE.TW
FITX*1.TW
FITXN*1.TW
FIMTX*1.TW
OTC.TW
1598.TW
4163.TW
4432.TW
1476.TW
50.TW
00632R.TW
TSEE.TW
TSE28.TW
TSE23.TW
OTC53.TW
OTC41.TW
OTC44.TW
2303.TW
2618.TW
2603.TW
2609.TW
2615.TW
2009.TW
2002.TW
2881.TW
4735.TW
1732.TW
1325.TW
5483.TW
9919.TW
4919.TW
2642.TW
6547.TW
4128.TW
4162.TW
1760.TW
6523.TW
3006.TW
5285.TW
5347.TW
3217.TW
2393.TW
2408.TW
3042.TW
2636.TW
