符合條件商品
資料日期：2023年  4月 21日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-04-23 03:20 符合檔數(1711)
88	,6541.TW,泰福-KY,77.8,-2.26,249,100.5,27,272.22
89	,3508.TW,位速,33.1,-3.5,422,75.5,20.3,271.92
90	,1795.TW,美時,250,-5.66,10911,302,81.9,268.74
91	,3105.TW,穩懋,169,-2.31,2646,394.5,107.5,266.98
92	,6118.TW,建達,32.95,-3.09,1415,51.5,14.05,266.55
93	,8044.TW,網家,59.6,-3.56,1216,157.5,43.3,263.74
94	,4946.TW,辣椒,27.5,-3.51,81,94.3,26,262.69
95	,6788.TW,華景電,134,-3.25,822,284.5,79.3,258.76
96	,5351.TW,鈺創,44.25,-2.85,4761,104,29.15,256.78
97	,3687.TW,歐買尬,80.5,-4.28,304,235.5,66.2,255.74
98	,8046.TW,南電,260,1.96,7289,631,177.5,255.49
99	,3465.TW,進泰電子,89.1,-0.34,65,270,76,255.26
100	,3515.TW,華擎,131.5,-3.66,1170,291,82.1,254.45
101	,2739.TW,寒舍,65.1,-4.69,2070,74.4,21,254.29
102	,2727.TW,王品,306.5,-2.08,5188,351.5,100,251.5
103	,8101.TW,華冠,5.37,1.9,22,7.31,2.08,251.44
104	,3523.TW,迎輝,18.5,-0.54,0,22.6,6.45,250.39
105	,4755.TW,三福化,129.5,-4.07,1068,241.5,69,250
106	,4116.TW,明基醫,61.1,-3.32,438,92.5,26.5,249.06
107	,6706.TW,惠特,87,-1.36,485,259,74.5,247.65
108	,1796.TW,金穎生技,112.5,-1.32,579,121.5,35,247.14
109	,2497.TW,怡利電,72.8,-2.28,2140,117.5,33.95,246.1
110	,3434.TW,哲固,27.55,-5.33,199,51.4,15.05,241.53
111	,4931.TW,新盛力,47.8,-2.75,18342,60.1,17.6,241.48
112	,2615.TW,萬海,65,-3.99,16190,211.5,62.1,240.58
113	,2358.TW,廷鑫,9.31,-1.27,550,28.5,8.4,239.29
114	,6237.TW,驊訊,45.3,-5.03,1054,129.5,38.3,238.12
115	,3443.TW,創意,1015,-3.33,5196,1230,364,237.91
116	,4961.TW,天鈺,156,-4.59,6322,293.5,87,237.36
117	,6732.TW,昇佳電子,382,-1.67,1428,625,186,236.02
118	,3128.TW,昇銳,38,-2.56,813,57.1,17.1,233.92
119	,6241.TW,易通展,13.8,-1.08,79,44,13.2,233.33
120	,3011.TW,今皓,29.45,-5.91,5047,32.15,9.68,232.13
121	,6205.TW,詮欣,74,-2.12,1242,98.9,29.8,231.88
122	,5344.TW,立衛,16.9,-1.74,72,41.8,12.65,230.43
123	,5353.TW,台林,48.35,-3.11,2431,54.2,16.45,229.48
124	,6612.TW,奈米醫材,158.5,-6.21,1978,194,59,228.81
125	,6122.TW,擎邦,29.95,-8.13,6701,34.95,10.65,228.17
126	,4911.TW,德英,67.5,-1.32,499,73.8,22.5,228
127	,6417.TW,韋僑,164.5,-3.8,2375,194.5,59.3,227.99
128	,4967.TW,十銓,73.2,-0.41,8255,82.3,25.1,227.89
129	,1342.TW,八貫,144,-3.03,1819,168.5,51.5,227.18
130	,3545.TW,敦泰,81.5,-2.04,3395,184,56.4,226.24
131	,2754.TW,亞洲藏壽司,163.5,-3.25,2057,225,69.8,222.35
132	,4419.TW,元勝,25.2,6.11,133,26.1,8.12,221.43
133	,8450.TW,霹靂,25.35,-1.74,75,72.9,22.7,221.15
134	,6228.TW,全譜,13.05,-0.76,47,29.7,9.27,220.39
135	,6485.TW,點序,100.5,-2.43,1379,176.5,55.1,220.33
136	,8104.TW,錸寶,41.55,-4.26,719,94,29.35,220.27
137	,8069.TW,元太,172,2.99,17659,255,79.7,219.95
138	,5236.TW,凌陽創新,87.1,-2.79,249,188,58.8,219.73
139	,6752.TW,叡揚,153,6.99,3987,162.5,51.1,218
140	,1519.TW,華城,95.4,-1.75,14955,103.5,32.55,217.97
141	,6494.TW,九齊,71.8,-4.52,409,174,54.9,216.94
142	,2436.TW,偉詮電,49.4,-2.37,1831,115.5,36.45,216.87
143	,3122.TW,笙泉,24.8,-3.69,496,72.8,23,216.52
144	,5310.TW,天剛,24,-2.24,19,38.55,12.2,215.98
145	,5465.TW,富驊,37,-2.5,6365,43.25,13.7,215.69
146	,5009.TW,榮剛,54.3,-5.73,33226,63.2,20.1,214.43
147	,4402.TW,福大,10.5,-3.23,333,19.2,6.11,214.24
148	,6643.TW,M31,588,-3.61,1624,666,212,214.15
149	,2724.TW,富驛-KY,13.05,0,0,19.4,6.21,212.4
150	,3701.TW,大眾控,56,-1.75,1973,98,31.4,212.1
151	,3027.TW,盛達,43.6,-5.53,7269,51.5,16.55,211.18
152	,1524.TW,耿鼎,23.75,-3.46,5020,30.4,9.85,208.63
153	,5284.TW,jpp-KY,117.5,1.73,2552,129.5,42.05,207.97
154	,2455.TW,全新,97.1,-2.9,10109,162.5,52.8,207.77
155	,1584.TW,精剛,39.85,-2.8,7123,46,15.05,205.65
156	,6225.TW,天瀚,12.45,9.69,198,14.35,4.7,205.32
157	,1810.TW,和成,25.45,-6.09,12097,30,9.87,203.95
158	,6113.TW,亞矽,17.35,-1.7,330,31.15,10.25,203.9
159	,5603.TW,陸海,21.15,-1.4,226,58,19.1,203.66
160	,3006.TW,晶豪科,82.9,-2.7,6665,182,60,203.33
161	,8086.TW,宏捷科,89,-1.77,3826,167,55.2,202.54
162	,6560.TW,欣普羅,36.35,-0.82,27,91,30.25,200.83
163	,2755.TW,揚秦,148,-0.34,149,160.5,53.4,200.56
164	,1513.TW,中興電,102.5,-2.84,24142,117,39.05,199.62
165	,4927.TW,泰鼎-KY,56.7,-2.91,1600,138,46.2,198.7
166	,3532.TW,台勝科,151.5,0.33,1238,376,126,198.41
167	,3152.TW,璟德,216,-9.43,776,422.5,142,197.54
168	,8931.TW,大汽電,76,-1.17,626,84.7,28.5,197.19
169	,3189.TW,景碩,107.5,0,4477,257.5,87,195.98
170	,1760.TW,寶齡富錦,164.5,-6.8,14651,195,66,195.45
171	,6148.TW,驊宏資,29.8,9.96,10441,31.3,10.6,195.28
172	,2429.TW,銘旺科,18.5,-3.65,200,26.5,8.99,194.77
173	,3086.TW,華義,73.3,0,0,173,58.7,194.72
174	,1539.TW,巨庭,28.8,-2.87,575,50.3,17.1,194.15
175	,6743.TW,安普新,60.3,-3.52,956,82.8,28.15,194.14
176	,1325.TW,恆大,23.55,-1.26,293,61.7,21,193.81
177	,4912.TW,聯德控股-KY,74,-1.86,46,184.5,62.8,193.79
178	,2748.TW,雲品,88.8,-6.03,5291,110.5,37.65,193.49
179	,1529.TW,樂事綠能,38.6,-1.91,3593,45,15.35,193.16
180	,8084.TW,巨虹,107.5,-6.11,975,142.5,48.7,192.61
181	,5234.TW,達興材料,91.3,-3.39,3214,163,55.8,192.11
182	,8420.TW,明揚,84.7,-3.53,555,103.5,35.5,191.55
183	,6187.TW,萬潤,64,-1.99,477,156.5,53.7,191.43
184	,2314.TW,台揚,44.85,-5.58,6645,96.5,33.15,191.1
185	,4413.TW,飛寶企業,14.65,-1.68,21,31.4,10.8,190.74
186	,5468.TW,凱鈺,16.1,-3.01,140,44.45,15.3,190.52
187	,6101.TW,寬魚國際,45,-1.21,693,52.4,18.05,190.3
188	,2007.TW,燁興,10.6,-3.2,1315,25.1,8.65,190.17
189	,6224.TW,聚鼎,63.8,-3.19,299,144,49.7,189.74
190	,2108.TW,南帝,39.15,-0.51,503,95.5,33.05,188.96
191	,6259.TW,百徽,22.05,-2,12,52,18,188.89
192	,2471.TW,資通,54,-6.09,9795,63.2,21.95,187.93
193	,6679.TW,鈺太,297,-1.98,3124,490,170.5,187.39
194	,3372.TW,典範,12.5,-3.85,650,28.95,10.1,186.63
195	,6213.TW,聯茂,72.2,-2.56,1563,147.5,51.5,186.41
196	,6138.TW,茂達,161.5,-3.87,1894,286,99.9,186.29
197	,2636.TW,台驊投控,76,-2.56,657,161,56.3,185.97
198	,3167.TW,大量,42.9,-0.69,130,111.5,39,185.9
199	,2929.TW,淘帝-KY,13.1,-3.32,942,22.45,7.91,183.82
200	,5347.TW,世界,90.2,-0.11,5546,168,59.2,183.78
201	,2745.TW,五福,39.65,-1.49,149,60.2,21.25,183.29
202	,2009.TW,第一銅,33.3,-4.03,3618,55.3,19.55,182.86
203	,6533.TW,晶心科,477,-0.1,3400,635,225,182.22
204	,3529.TW,力旺,1920,-4.48,578,2520,899,180.31
205	,3058.TW,立德,22.8,-6.75,26156,25.5,9.1,180.22
206	,3035.TW,智原,184.5,-3.4,10646,331.5,118.5,179.75
207	,6515.TW,穎崴,705,-1.26,673,796,285,179.3
208	,5209.TW,新鼎,156,4,547,168,60.4,178.15
209	,1727.TW,中華化,27.5,2.42,3989,61.6,22.15,178.1
210	,5704.TW,老爺知,58.6,-6.98,639,78,28.05,178.07
211	,2468.TW,華經,24.55,-2.39,759,34,12.3,176.42
212	,6274.TW,台燿,64.2,-1.23,2425,108,39.15,175.86
213	,6654.TW,天正國際,48.85,-2.88,13,113,41.1,174.94
214	,2740.TW,天蔥,46,0,1,54.9,20,174.5
215	,6625.TW,必應,69.5,4.35,5532,72,26.25,174.29
216	,4503.TW,金雨,54.5,-7.47,2363,59.9,21.85,174.14
217	,6488.TW,環球晶,477,-1.04,1155,906,331.5,173.3
218	,6143.TW,振曜,91.8,-3.67,4797,111.5,40.8,173.28
219	,3594.TW,磐儀,52.3,-3.15,2467,58.2,21.3,173.24
220	,5321.TW,美而快,90.9,-1.73,701,159,58.3,172.73
221	,2924.TW,宏太-KY,31.05,-2.05,47,46.3,17,172.35
222	,4102.TW,永日,31,-1.27,2840,44.8,16.45,172.34
223	,3624.TW,光頡,69,-4.3,4927,100,36.75,172.11
224	,6160.TW,欣技,29.55,-6.64,6183,35.35,13,171.92
225	,3527.TW,聚積,116,-3.33,355,233,85.8,171.56
226	,4133.TW,亞諾法,35.8,-3.37,550,84.9,31.3,171.25
227	,6683.TW,雍智科技,193,-3.02,307,385,142,171.13
228	,3491.TW,昇達科,166,-3.49,2759,229,84.6,170.69
229	,3089.TW,億杰,57,-2.9,4,73.3,27.1,170.48
230	,3521.TW,鴻翊,24.1,-3.21,331,29.6,10.95,170.32
231	,5703.TW,亞都,21,-3,84,34.2,12.7,169.29
232	,6245.TW,立端,100.5,-2.43,5241,130.5,48.5,169.07
233	,4162.TW,智擎,98.2,-5.12,3927,150.5,56,168.75
