符合條件商品
資料日期：2021年 12月 17日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-19 14:40 符合檔數(1449)
79	,1454.TW,台富,13.95,8.56,3353,64.53,0.5,13.99,18.39
80	,1455.TW,集盛,16.8,1.2,19665,49.88,2.75,19.94,24.69
81	,1456.TW,怡華,22.05,0.46,137,81.29,13.56,7.97,47.63
82	,1457.TW,宜進,18.3,0.83,810,59.2,2.35,4.59,9.98
83	,1459.TW,聯發,13.05,1.16,1133,73.23,1.91,1.24,17.83
84	,1463.TW,強盛,14.5,1.05,135,54.46,2.48,5.02,21.83
85	,1464.TW,得力,15.4,0.65,202,52.28,1.64,2.4,10.13
86	,1465.TW,偉全,12.55,0,26,59.28,0.5,19.38,16.74
87	,1466.TW,聚隆,15.15,0,354,53.2,1.3,18.62,20.62
88	,1467.TW,南緯,13.8,-0.36,453,62.53,19.99,30.91,43.96
89	,1470.TW,大統新創,18.05,0.28,97,70.76,0.2,0.06,21.58
90	,1473.TW,台南,18,0,21,60.33,9.07,0.96,21.97
91	,1474.TW,弘裕,15.15,1.34,954,41.56,1.76,16.29,18.81
92	,1476.TW,儒鴻,610,-0.33,505,68.81,43.74,0.53,17.79
93	,1477.TW,聚陽,247,0.82,1618,56.06,32,2.25,11.2
94	,1503.TW,士電,53.5,0.94,88,84.23,32.05,0.12,28.06
95	,1504.TW,東元,30.9,0.98,4248,81,22.96,1.14,8.82
96	,1507.TW,永大,64.3,-0.16,443,85.32,13.22,0.03,7.78
97	,1513.TW,中興電,43.05,0,2033,41.59,8.13,15.31,10.21
98	,1514.TW,亞力,24.9,-0.6,449,41.66,9.32,5.31,16.63
99	,1515.TW,力山,56.4,1.08,1555,46.17,8.4,15.3,13.57
100	,1516.TW,川飛,24.5,-0.41,573,49.12,0.58,29.34,26.54
101	,1517.TW,利奇,27.2,-2.68,2159,45.06,3.65,9.25,14.4
102	,1519.TW,華城,36.55,-0.54,725,65.86,6.53,6.95,20.57
103	,1521.TW,大億,40.35,-0.49,49,60.02,33.35,0.67,34.19
104	,1522.TW,堤維西,19,0.26,730,55.51,5.8,1.92,8.43
105	,1524.TW,耿鼎,10.9,-1.8,430,47.08,0.35,9.98,26.36
106	,1525.TW,江申,59.3,-0.34,10,81.67,0.46,7.28,77.83
107	,1526.TW,日馳,48.15,-1.13,190,30.21,3.51,27.63,28.08
108	,1527.TW,鑽全,42.85,0,160,22.92,9.2,6.71,15.51
109	,1528.TW,恩德,11.8,-1.67,811,49.14,4.48,9.08,13.2
110	,1529.TW,樂士,19.85,-8.31,4777,67.86,7.17,34.3,21.39
111	,1530.TW,亞崴,33.25,0.76,6,74.92,0.79,1.04,58.93
112	,1531.TW,高林股,15.6,0.97,165,60.9,2.51,2.89,32.29
113	,1532.TW,勤美,31.85,-0.78,296,68.06,11.88,3.15,20.09
114	,1533.TW,車王電,56.8,0,215,52.43,5.44,11.04,35.5
115	,1535.TW,中宇,39.05,-0.13,32,76.01,1.01,0.31,60.43
116	,1536.TW,和大,90.3,0.22,521,54.11,13.41,7.37,12.91
117	,1537.TW,廣隆,139,0.72,142,45.17,18.93,0.77,16.91
118	,1539.TW,巨庭,21.7,-3.98,702,58.1,0.64,10.48,15.1
119	,1540.TW,喬福,15.3,-0.97,105,30.95,0.4,1.32,20.83
120	,1541.TW,錩泰,43.5,-1.02,9,80.56,9.72,0.78,38.66
121	,1558.TW,伸興,144,0,30,11.27,8.21,2.64,11.74
122	,1560.TW,中砂,89,-2.52,3464,46.57,13.22,18.74,16.86
123	,1565.TW,精華,314.5,-0.16,130,19.33,32.41,8.24,8.86
124	,1568.TW,倉佑,21.1,1.2,119,54.15,1.62,5.93,21.36
125	,1569.TW,濱川,25.1,0.2,115,39.84,2.27,11.07,15.16
126	,1570.TW,力肯,23.8,-2.26,1429,23.2,6.72,27.09,9.08
127	,1580.TW,新麥,106,0,49,33.6,10.05,7.85,12.78
128	,1582.TW,信錦,69.3,0.43,237,30.69,12.47,4.79,16.58
129	,1583.TW,程泰,62.7,-0.16,5,90.12,0.25,0.12,42.61
130	,1584.TW,精剛,17.15,0,696,65.15,1.69,6.68,50.45
131	,1586.TW,和勤,41,0,125,46.28,1.98,65.69,14.76
132	,1587.TW,吉茂,25.15,-0.59,76,39.59,21.49,6.36,31.52
133	,1589.TW,永冠-KY,61.4,0,1862,36.82,5.83,22.97,20.9
134	,1590.TW,亞德客-KY,930,2.2,775,59.35,82.64,0.8,4.09
135	,1591.TW,駿吉-KY,14.65,0.69,2,49.09,15.89,37.98,20.3
136	,1593.TW,祺驊,81.1,0.12,22,19.08,1.17,17.2,11.98
137	,1595.TW,川寶,44.2,0.8,99,47.41,2.93,4.99,16.31
138	,1597.TW,直得,84.1,-0.12,79,37.46,4.47,6.37,14.73
139	,1598.TW,岱宇,53.5,0.56,415,50.5,5.66,17.49,9.89
140	,1599.TW,宏佳騰,43.3,-0.35,80,57.51,12.31,6.09,8.65
141	,1603.TW,華電,26.45,0.38,139,82.22,1.48,3.99,21.2
142	,1604.TW,聲寶,29.55,0.34,313,52.71,10.58,0.89,5.9
143	,1605.TW,華新,25.9,0.39,8384,73.97,25.6,4.38,13.49
144	,1608.TW,華榮,21.8,0.69,1531,61.39,2.36,8.84,38.26
145	,1609.TW,大亞,24.65,1.44,7007,28.45,7.08,12.18,7.53
146	,1611.TW,中電,20.4,-7.27,19249,51.07,10.98,14.47,9.25
147	,1612.TW,宏泰,26.6,-0.56,1974,56.64,13.99,10.61,28.61
148	,1614.TW,三洋電,36.1,-0.55,24,72.64,2.1,0.44,38.33
149	,1615.TW,大山,31.85,-1.55,34,79.91,0.55,1.92,38.87
150	,1617.TW,榮星,17.9,0,80,76.83,21.4,1.54,50.48
151	,1618.TW,合機,14.35,-0.35,1039,57.41,1.63,13.38,35.53
152	,1626.TW,艾美特-KY,19.15,0.26,14,58.76,44.45,9.84,29.31
153	,1701.TW,中化,22.6,0,236,52.85,10.8,4.15,19.8
154	,1702.TW,南僑,49.35,-0.1,209,63.37,15.81,1.17,35.76
155	,1707.TW,葡萄王,161.5,0.31,158,61.44,10.33,1.46,19.93
156	,1708.TW,東鹼,33.6,0.6,2637,42.89,11.93,13.54,13.74
157	,1709.TW,和益,21.75,-0.91,1775,61.8,10.44,4.77,19.32
158	,1710.TW,東聯,22.05,1.15,5561,58.49,7.95,7.1,10.59
159	,1711.TW,永光,25.85,-0.19,4669,42.75,7.33,12.77,26.71
160	,1712.TW,興農,27.35,0.37,410,41.6,12.56,1.11,14.3
161	,1713.TW,國化,24.2,-0.62,26,66.74,4.12,9.81,14.13
162	,1714.TW,和桐,10.8,-0.46,2772,53.24,18.97,7.57,10.47
163	,1717.TW,長興,36.55,0.83,1839,66.89,12.31,3.24,17.58
164	,1718.TW,中纖,10,0.6,5118,44,7.66,10.47,5.73
165	,1720.TW,生達,42.25,0.72,741,60.85,3.26,2.77,26.44
166	,1721.TW,三晃,24.7,-3.7,14017,33.49,3.44,22.33,13.57
167	,1722.TW,台肥,70.5,1.73,7751,61.97,13.54,1.68,24.07
168	,1723.TW,中碳,115,0,367,53.68,8.36,2.57,34.02
169	,1725.TW,元禎,32.3,-3.87,230,93.12,0.6,1.26,11.6
170	,1726.TW,永記,74,1.37,51,85.16,13.74,0.01,22.77
171	,1727.TW,中華化,46.2,-2.63,3849,52.14,2.35,19.83,30.23
172	,1730.TW,花仙子,63.3,0.32,25,53.02,7.47,0.33,22.96
173	,1731.TW,美吾華,19.35,-0.77,145,52.49,0.87,6.09,35
174	,1732.TW,毛寶,35.2,10,13689,44.33,3.65,28.28,28.64
175	,1733.TW,五鼎,24.45,0,191,12.34,4.65,4.27,10.2
176	,1734.TW,杏輝,28.75,0.52,894,25.16,2.58,13.98,17.49
177	,1735.TW,日勝化,18.45,0.82,25,83.72,50.44,0.4,58.98
178	,1736.TW,喬山,56.9,3.27,284,77.95,7.68,2.79,67.56
179	,1737.TW,臺鹽,33.25,0.61,201,54.15,11.07,0.79,39.28
180	,1742.TW,台蠟,20,0.25,100,62.78,0.46,42.01,31.21
