符合條件商品
資料日期：2023年  4月 18日
策略,	11主力賣比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-18 23:28 符合檔數(592)
1	,1102.TW,亞泥,43.6,-0.34,3553,1.84
2	,1103.TW,嘉泥,19.7,-0.76,524,1.98
3	,1104.TW,環泥,26.75,-0.74,1091,2.26
4	,1109.TW,信大,17.5,-0.28,352,2.56
5	,1203.TW,味王,37.85,-0.26,19,2
6	,1213.TW,大飲,7.04,0.57,7,2
7	,1219.TW,福壽,21.25,-0.93,542,1.91
8	,1231.TW,聯華食,91.5,-0.11,111,1.52
9	,1234.TW,黑松,36.25,-0.14,269,1.76
10	,1264.TW,德麥,274,-0.72,23,1.71
11	,1307.TW,三芳,21.05,-0.47,93,1.94
12	,1309.TW,台達化,21.1,-0.71,463,1.82
13	,1310.TW,台苯,15.2,-1.3,1831,1.45
14	,1312.TW,國喬,20.55,-3.07,7101,1.89
15	,1313.TW,聯成,14.95,-1.64,1029,1.65
16	,1314.TW,中石化,10.1,0,9041,1.66
17	,1315.TW,達新,70.3,-0.42,30,1.38
18	,1319.TW,東陽,49.1,0.51,9510,1.38
19	,1325.TW,恆大,23.8,-0.21,121,1.46
20	,1336.TW,台翰,27.7,-0.54,426,1.63
21	,1339.TW,昭輝,45,-0.99,122,2.18
22	,1341.TW,富林-KY,69.9,0,6,1.67
23	,1342.TW,八貫,153.5,-2.54,2339,1.57
24	,1413.TW,宏洲,9.58,-0.52,19,2.5
25	,1414.TW,東和,17.7,-0.84,143,5.02
26	,1418.TW,東華,15.8,-1.56,92,1.6
27	,1432.TW,大魯閣,16.15,-2.12,1046,1.78
28	,1437.TW,勤益控,29.25,-3.15,1058,1.47
29	,1439.TW,雋揚,22.05,-1.34,52,3.62
30	,1442.TW,名軒,33.5,-1.03,1062,2.3
31	,1444.TW,力麗,11.3,2.73,36221,1.47
32	,1451.TW,年興,22.9,-1.08,281,2.61
33	,1457.TW,宜進,18.7,-0.27,130,2.2
34	,1459.TW,聯發,9.08,0.33,115,1.56
35	,1465.TW,偉全,14.3,0,39,5.5
36	,1471.TW,首利,9.39,-4.96,14861,1.52
37	,1504.TW,東元,44.3,-0.67,24871,1.36
38	,1512.TW,瑞利,14.4,0.7,102,2.1
39	,1516.TW,川飛,20.45,0,159,2.14
40	,1521.TW,大億,38.6,-1.66,26,2.1
41	,1524.TW,耿鼎,25.2,-1.18,3248,1.68
42	,1526.TW,日馳,41.8,-0.59,267,2.21
43	,1527.TW,鑽全,43.05,-0.92,238,2.54
44	,1529.TW,樂事綠能,41.75,3.99,37142,1.39
45	,1532.TW,勤美,35.25,-1.67,790,1.89
46	,1537.TW,廣隆,143,0.35,40,2.06
