符合條件商品
資料日期：2023年  4月 18日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-18 23:28 符合檔數(377)
1	,8488.TW,吉源-KY,15.6,-0.32,50,24
2	,5529.TW,鉅陞,11.6,0,59,3.67
3	,5356.TW,協益,22.15,1.37,133,3.62
4	,1456.TW,怡華,16.1,1.58,2073,3.54
5	,6169.TW,昱泉,19.05,-0.26,22,3.52
6	,2889.TW,國票金,12.6,0.8,3788,3.26
7	,2540.TW,愛山林,80.2,1.13,797,3.17
8	,8059.TW,凱碩,14.05,9.77,2517,3.14
9	,2892.TW,第一金,26.9,0.56,7697,3.02
10	,6222.TW,上揚,15.75,3.96,35,3
11	,8077.TW,洛碁,40.55,5.32,11,3
12	,8917.TW,欣泰,74,0.41,5,3
13	,3044.TW,健鼎,116,0,832,2.95
14	,6176.TW,瑞儀,112.5,0,2367,2.91
15	,1110.TW,東泥,18.3,-0.27,326,2.89
16	,2505.TW,國揚,18.5,-0.27,280,2.84
17	,6116.TW,彩晶,13.2,0.38,13268,2.7
18	,3115.TW,富榮綱,11.3,0,6,2.5
19	,6721.TW,信實,51.2,0,13,2.5
20	,3167.TW,大量,43.95,0.11,52,2.47
21	,9911.TW,櫻花,64.4,0.78,173,2.46
22	,2884.TW,玉山金,25.3,0.2,11907,2.45
23	,4510.TW,高鋒,14.1,9.73,1694,2.44
24	,6577.TW,勁豐,65.3,0.15,8,2.4
25	,2420.TW,新巨,44.35,-1.33,583,2.37
26	,5276.TW,達輝-KY,16.15,0.94,8,2.33
27	,9919.TW,康那香,18.1,0,2114,2.33
28	,2881.TW,富邦金,58.6,0.17,6773,2.32
29	,4807.TW,日成-KY,21,0,63,2.31
30	,4534.TW,慶騰,9.78,0,100,2.25
31	,2409.TW,友達,18.75,-1.83,49209,2.25
32	,9929.TW,秋雨,9.1,0,54,2.24
33	,5530.TW,龍巖,38.25,0,262,2.24
34	,1454.TW,台富,13.55,0,49,2.2
35	,4958.TW,臻鼎-KY,113.5,0.44,1890,2.17
36	,3321.TW,同泰,6.36,1.27,235,2.17
37	,2489.TW,瑞軒,10.45,0.48,1647,2.16
38	,1326.TW,台化,69.5,-0.57,1679,2.16
39	,4950.TW,牧東,17.9,-0.56,894,2.12
40	,8927.TW,北基,44.5,4.09,1229,2.12
41	,8069.TW,元太,171.5,-0.29,10588,2.11
42	,2438.TW,翔耀,25.85,-0.19,535,2.09
43	,5876.TW,上海商銀,46.65,-1.06,3556,2.09
44	,2506.TW,太設,9.39,-0.21,417,2.09
45	,6863.TW,永道-KY,220,10,2235,2.09
46	,3094.TW,聯傑,34.65,2.51,5427,2.07
47	,2704.TW,國賓,37.15,0.27,341,2.07
48	,2477.TW,美隆電,21.7,0.93,226,2.07
49	,4107.TW,邦特,116,1.75,366,2.07
50	,4728.TW,雙美,213.5,9.77,1170,2.05
51	,3555.TW,重鵬,27.35,3.21,4,2
52	,4438.TW,廣越,116.5,0.87,140,1.99
53	,8422.TW,可寧衛,189,0.53,88,1.92
54	,9908.TW,大台北,31.85,0.16,60,1.91
55	,6612.TW,奈米醫材,162.5,9.8,1175,1.89
56	,1217.TW,愛之味,11.35,0,932,1.89
57	,6589.TW,台康生技,120,0.84,1692,1.84
58	,5314.TW,世紀,26.9,-3.41,113,1.83
59	,2514.TW,龍邦,17.3,0.29,139,1.82
60	,2374.TW,佳能,20.75,0.97,746,1.82
61	,4303.TW,信立,17.35,-0.29,112,1.81
62	,3303.TW,岱稜,27.9,0.54,204,1.8
63	,2752.TW,豆府,251,0.6,15,1.8
64	,9941.TW,裕融,185,0,527,1.8
65	,8477.TW,創業家,18.75,9.97,458,1.79
66	,5243.TW,乙盛-KY,68.2,1.64,2915,1.79
67	,1595.TW,川寶,40.2,-1.23,51,1.78
68	,1536.TW,和大,73.3,-0.54,947,1.78
69	,9960.TW,邁達康,30.2,0.83,32,1.78
70	,2538.TW,基泰,13.35,1.91,950,1.77
71	,5533.TW,皇鼎,18.75,0.54,131,1.77
72	,8933.TW,愛地雅,12.8,0.79,1546,1.76
73	,3704.TW,合勤控,43.9,9.89,18319,1.75
74	,6005.TW,群益證,13.4,0.37,8476,1.74
75	,3522.TW,御頂,13.85,9.92,619,1.74
76	,6023.TW,元大期,51.1,-0.2,83,1.73
77	,4716.TW,大立,13,3.59,671,1.73
78	,6535.TW,順藥,41.8,0.48,165,1.73
79	,2832.TW,台產,21.1,0,203,1.72
80	,2070.TW,精湛,34.85,-3.19,151,1.72
81	,4157.TW,太景*-KY,15.5,0,1119,1.72
82	,8937.TW,合騏,15.2,0.66,25,1.7
83	,3260.TW,威剛,76.2,-2.68,6083,1.7
84	,4961.TW,天鈺,184.5,1.93,8501,1.69
85	,1303.TW,南亞,77.9,0.26,3335,1.69
86	,2903.TW,遠百,22.6,0.22,733,1.69
