符合條件商品
資料日期：2022年 10月 11日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/11),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:09 符合檔數(45)
1	,2006.TW,東和鋼鐵,53.2,0.95,1881,54.3,-2.03,20,自連買
2	,2014.TW,中鴻,27.6,1.1,53751,22.3,23.77,20,自連買
3	,2324.TW,仁寶,22.95,0.44,9576,21.35,7.49,20,自連買
4	,2357.TW,華碩,271,-1.63,1392,225,20.44,20,自連買
5	,3036.TW,文曄,62.7,-0.95,1327,62.8,-0.16,20,自連買
6	,5522.TW,遠雄,58.5,0.34,1205,58.1,4.48,20,自連買
7	,1102.TW,亞泥,41.55,0.24,6062,39.7,4.66,17,自連買
8	,2356.TW,英業達,26,0.19,6530,22.85,13.79,17,自連買
9	,2385.TW,群光,87.2,0.11,1118,80.4,8.46,17,自連買
10	,2441.TW,超豐,48.2,-2.33,4006,47.35,1.8,17,自連買
11	,2454.TW,聯發科,660,-0.15,2431,553,19.35,17,自連買
12	,3044.TW,健鼎,96,1.59,1391,90.9,5.61,17,自連買
13	,3231.TW,緯創,29.9,-0.83,12268,26.3,13.69,17,自連買
14	,4938.TW,和碩,64.2,0.31,3317,57.3,12.04,17,自連買
15	,1312.TW,國喬,18.95,1.07,4063,17.5,8.29,16,自連買
16	,2002.TW,中鋼,30.7,0.16,37216,27.35,12.25,16,自連買
17	,2301.TW,光寶科,64,-0.47,4678,63.8,0.31,16,自連買
18	,2347.TW,聯強,61,-0.81,2957,53.5,14.02,16,自連買
19	,2382.TW,廣達,71.2,-0.97,4354,73,-2.47,16,自連買
20	,2449.TW,京元電子,36.4,-1.75,4505,30.3,20.13,16,自連買
21	,3034.TW,聯詠,301.5,-0.17,3163,236.5,27.48,16,自連買
22	,6176.TW,瑞儀,106,0.47,1064,97.2,9.05,16,自連買
23	,3702.TW,大聯大,47.8,-0.52,2583,46.85,2.03,15,自連買
24	,1101.TW,台泥,34.05,-1.16,23484,33.8,0.74,12,自連買
25	,2377.TW,微星,119.5,1.7,2513,104,14.9,12,自連買
26	,2409.TW,友達,15.4,0.65,36394,16.45,-6.38,9,自連買
27	,4438.TW,廣越,119.5,-1.24,47,140.5,-14.95,8,自連買
28	,4966.TW,譜瑞-KY,825,0.86,553,650,26.92,7,自連買
29	,3416.TW,融程電,83,0.36,22,79.9,3.88,6,自連買
30	,5225.TW,東科-KY,37.85,1.75,1188,34.75,8.92,6,自連買
31	,5288.TW,豐祥-KY,156,-1.58,158,181,-13.81,6,自連買
32	,5871.TW,中租-KY,216.5,0.46,2711,176,23.01,6,自連買
33	,9958.TW,世紀鋼,88.9,-1.22,9352,66.8,33.08,6,自連買
34	,2023.TW,燁輝,16.8,-0.59,4854,13.95,20.43,5,自連買
35	,2376.TW,技嘉,106.5,1.43,5227,82.9,28.47,5,自連買
36	,2495.TW,普安,21.6,-2.92,2069,15.8,36.71,5,自連買
37	,2539.TW,櫻花建,31.95,0,247,31.85,0.31,5,自連買
38	,3019.TW,亞光,61.6,-1.28,472,58.3,5.66,5,自連買
39	,3021.TW,鴻名,20.3,-0.73,12,21.65,-6.24,5,自連買
40	,3454.TW,晶睿,207.5,1.22,7571,123.5,68.02,5,自連買
41	,4931.TW,新盛力,47.2,1.4,4475,43,9.77,5,自連買
42	,6464.TW,台數科,97.5,-0.41,10,90.4,7.85,5,自連買
43	,6834.TW,天二科技,25.1,-1.38,20,24.7,1.62,5,自連買
44	,8028.TW,昇陽半導體,57.5,-2.87,2439,50.1,14.77,5,自連買
45	,9945.TW,潤泰新,43.65,-1.58,3379,51.5,27.15,5,自連買
