符合條件商品
資料日期：2022年 11月 15日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:04 符合檔數(16)
1	,1312.TW,國喬,18.95,1.07,4063,17.7,7.06,20,自連買
2	,1513.TW,中興電,66,0.15,12515,53.2,24.06,9,自連買
3	,4915.TW,致伸,55.1,-0.9,3460,55.8,-1.25,8,自連買
4	,8076.TW,伍豐,28.15,-0.35,431,28.5,-1.23,8,自連買
5	,3260.TW,威剛,57.6,-0.17,970,60.4,-4.64,7,自連買
6	,3016.TW,嘉晶,71.2,0.28,652,78.5,-9.3,6,自連買
7	,3207.TW,耀勝,49.55,-0.9,801,49.75,-0.4,6,自連買
8	,3454.TW,晶睿,207.5,1.22,7571,170.5,21.7,6,自連買
9	,3707.TW,漢磊,86.9,0,3034,101,-13.96,6,自連買
10	,6834.TW,天二科技,25.1,-1.38,20,25.2,-0.4,6,自連買
11	,2436.TW,偉詮電,42,0.84,593,45.45,-7.59,5,自連買
12	,3088.TW,艾訊,58.2,1.04,164,55.8,4.3,5,自連買
13	,3675.TW,德微,168,2.75,1849,184,-8.7,5,自連買
14	,4126.TW,太醫,76,1.2,1098,68.7,10.63,5,自連買
15	,6789.TW,采鈺,201.5,1.77,576,215.5,-6.5,5,自連買
16	,8436.TW,大江,174.5,-3.32,9916,122,43.03,5,自連買
