符合條件商品
資料日期：2022年  1月  7日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/07),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:04 符合檔數(23)
1	,2385.TW,群光,87.2,0.11,1118,86.7,8.38,10,自連買
2	,2030.TW,彰源,23.95,1.27,3219,28.5,-8.34,8,自連買
3	,3611.TW,鼎翰,191,-0.26,8,200,1.68,8,自連買
4	,1476.TW,儒鴻,492.5,1.23,1098,635,-20.1,7,自連買
5	,1477.TW,聚陽,238.5,0,510,250,0.37,7,自連買
6	,3665.TW,貿聯-KY,251,-2.33,1391,253.5,2.1,7,自連買
7	,6111.TW,大宇資,61.4,3.89,5227,109.5,-24.23,7,自連買
8	,6239.TW,力成,81.3,0.62,1926,97.2,-9.56,7,自連買
9	,6613.TW,朋億*,90,-0.66,77,166,17.2,7,自連買
10	,2546.TW,根基,50.5,0.2,33,49.75,17.12,6,自連買
11	,2801.TW,彰銀,17.25,-0.29,2566,17.75,0.94,6,自連買
12	,3702.TW,大聯大,47.8,-0.52,2583,51.7,-0.97,6,自連買
13	,1301.TW,台塑,86.8,-0.46,6046,105.5,-10.93,5,自連買
14	,1723.TW,中碳,105.5,-0.47,103,117.5,-7.01,5,自連買
15	,2301.TW,光寶科,64,-0.47,4678,63.7,6.47,5,自連買
16	,2371.TW,大同,33.7,0,4072,31.5,6.98,5,自連買
17	,2548.TW,華固,88,-0.34,174,90.7,5.48,5,自連買
18	,5009.TW,榮剛,37.5,-0.66,11974,21.4,85.28,5,自連買
19	,5392.TW,能率,20.7,-0.48,100,28.1,-25.3,5,自連買
20	,6235.TW,華孚,36.05,0.42,1697,33,10.04,5,自連買
21	,6278.TW,台表科,92.4,-0.86,1062,133.5,-25.3,5,自連買
22	,6679.TW,鈺太,229,0.44,465,396.5,-40.87,5,自連買
23	,9940.TW,信義,27.2,-0.18,182,34.5,-14.25,5,自連買
