符合條件商品
資料日期：2022年 12月 15日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 12:55 符合檔數(10)
1	,2305.TW,全友,25.85,1.37,1136,27.5,-6,8,自連買
2	,9933.TW,中鼎,41.85,0.6,916,42.85,-2.33,8,自連買
3	,5289.TW,宜鼎,181.5,-1.36,100,188,-3.46,7,自連買
4	,6442.TW,光聖,45.85,-1.19,286,51.3,-10.62,7,自連買
5	,2474.TW,可成,169,-1.74,2651,174,-2.87,6,自連買
6	,6732.TW,昇佳電子,220,-1.57,74,240.5,-8.52,6,自連買
7	,1342.TW,八貫,132.5,0,544,141,-6.03,5,自連買
8	,3515.TW,華擎,140.5,2.93,1979,151,-6.95,5,自連買
9	,3706.TW,神達,29.7,-0.17,1384,29.7,0,5,自連買
10	,6446.TW,藥華藥,488.5,-1.81,841,522,-6.42,5,自連買
