符合條件商品
資料日期：2022年 10月 31日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/31),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:06 符合檔數(121)
1	,1312.TW,國喬,18.95,1.07,4063,17.4,8.91,20,自連買
2	,2301.TW,光寶科,64,-0.47,4678,64,0,20,自連買
3	,2324.TW,仁寶,22.95,0.44,9576,21.1,8.77,20,自連買
4	,2347.TW,聯強,61,-0.81,2957,52.6,15.97,20,自連買
5	,2356.TW,英業達,26,0.19,6530,24.4,6.56,20,自連買
6	,2377.TW,微星,119.5,1.7,2513,109.5,9.13,20,自連買
7	,2382.TW,廣達,71.2,-0.97,4354,68.4,4.09,20,自連買
8	,2385.TW,群光,87.2,0.11,1118,80.1,8.86,20,自連買
9	,2449.TW,京元電子,36.4,-1.75,4505,32.7,11.31,20,自連買
10	,3231.TW,緯創,29.9,-0.83,12268,26.05,14.78,20,自連買
11	,3702.TW,大聯大,47.8,-0.52,2583,43.95,8.76,20,自連買
12	,4938.TW,和碩,64.2,0.31,3317,59,8.81,20,自連買
13	,5522.TW,遠雄,58.5,0.34,1205,53.2,9.96,20,自連買
14	,6176.TW,瑞儀,106,0.47,1064,98.4,7.72,20,自連買
15	,2886.TW,兆豐金,30.55,-0.97,8425,29.9,2.17,14,自連買
16	,6239.TW,力成,81.3,0.62,1926,74.6,8.98,13,自連買
17	,1301.TW,台塑,86.8,-0.46,6046,83.1,4.45,12,自連買
18	,1303.TW,南亞,70.3,-1.54,4616,68.3,2.93,12,自連買
19	,2207.TW,和泰車,592,-0.67,113,584,1.37,12,自連買
20	,2890.TW,永豐金,16.7,-4.84,27291,16.1,3.73,12,自連買
21	,2892.TW,第一金,26.3,-0.38,6392,24.75,6.26,12,自連買
22	,5880.TW,合庫金,25.95,-0.76,4866,25,3.8,12,自連買
23	,9910.TW,豐泰,207.5,-1.19,2962,160.5,29.28,12,自連買
24	,2354.TW,鴻準,51.4,-1.15,1092,45.2,13.72,10,自連買
25	,2915.TW,潤泰全,66.7,0.15,4192,55.2,20.83,8,自連買
26	,3617.TW,碩天,96.3,-2.33,255,92.7,3.88,8,自連買
27	,8081.TW,致新,141,-1.05,262,129,9.3,8,自連買
28	,1216.TW,統一,65.9,0,2803,65.5,0.61,7,自連買
29	,1313.TW,聯成,13.8,-1.78,1516,12.2,13.11,7,自連買
30	,1326.TW,台化,69.4,-0.72,1689,69.5,-0.14,7,自連買
31	,1440.TW,南紡,17.3,-1.42,812,16.2,6.79,7,自連買
32	,1444.TW,力麗,10.3,0,557,10.4,-0.96,7,自連買
