符合條件商品
資料日期：2022年  1月 11日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/11),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:04 符合檔數(18)
1	,2030.TW,彰源,23.95,1.27,3219,27.8,-6.04,10,自連買
2	,3611.TW,鼎翰,191,-0.26,8,202.5,0.43,10,自連買
3	,2546.TW,根基,50.5,0.2,33,50.5,15.38,8,自連買
4	,2801.TW,彰銀,17.25,-0.29,2566,17.95,-0.17,8,自連買
5	,2371.TW,大同,33.7,0,4072,30.35,11.04,7,自連買
6	,9940.TW,信義,27.2,-0.18,182,35.45,-16.56,7,自連買
7	,2852.TW,第一保,15.8,0.32,77,15.25,12.22,6,自連買
8	,1342.TW,八貫,132.5,0,544,64.4,114.47,5,自連買
9	,1720.TW,生達,59.1,0.17,11057,43.4,43.83,5,自連買
10	,1733.TW,五鼎,25.65,-0.19,140,26.5,1.7,5,自連買
11	,2002.TW,中鋼,30.7,0.16,37216,34.55,-1.38,5,自連買
12	,2012.TW,春雨,23.9,0,133,29.95,-11.71,5,自連買
13	,2323.TW,中環,7.4,-1.33,1685,11.85,-34.34,5,自連買
14	,2459.TW,敦吉,51.4,-0.58,28,58.7,-5.83,5,自連買
15	,3015.TW,全漢,38.3,0.39,117,44.75,-6.72,5,自連買
16	,5288.TW,豐祥-KY,156,-1.58,158,148,8.3,5,自連買
17	,6197.TW,佳必琪,40.25,0.12,1001,40.3,8.9,5,自連買
18	,6206.TW,飛捷,65.6,0.46,146,77,-10.95,5,自連買
