符合條件商品
資料日期：2022年 11月 17日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/17),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:04 符合檔數(11)
1	,1312.TW,國喬,18.95,1.07,4063,17.65,7.37,20,自連買
2	,8076.TW,伍豐,28.15,-0.35,431,29.35,-4.09,10,自連買
3	,3454.TW,晶睿,207.5,1.22,7571,191.5,8.36,8,自連買
4	,6834.TW,天二科技,25.1,-1.38,20,25,0.4,8,自連買
5	,4126.TW,太醫,76,1.2,1098,68.9,10.3,7,自連買
6	,2732.TW,六角,126,0.8,213,117.5,7.23,6,自連買
7	,6670.TW,復盛應用,213,-0.7,244,210,1.43,6,自連買
8	,2752.TW,豆府,188,1.62,50,181,3.87,5,自連買
9	,4968.TW,立積,113.5,2.25,1398,115,-1.3,5,自連買
10	,6282.TW,康舒,30.4,0.83,1860,30.05,1.16,5,自連買
11	,8916.TW,光隆,52.9,-0.94,490,57.6,-8.16,5,自連買
