符合條件商品
資料日期：2022年  6月 13日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/13),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:59 符合檔數(36)
1	,2357.TW,華碩,271,-1.63,1392,327,-4.56,20,自連買
2	,4938.TW,和碩,64.2,0.31,3317,68.7,1.01,20,自連買
3	,2317.TW,鴻海,101,0,15490,111.5,-4.74,16,自連買
4	,5522.TW,遠雄,58.5,0.34,1205,64.8,0.52,15,自連買
5	,1303.TW,南亞,70.3,-1.54,4616,83.3,-6.95,13,自連買
6	,1402.TW,遠東新,31.55,-4.39,10632,30.95,6.99,13,自連買
7	,2454.TW,聯發科,660,-0.15,2431,887,-18.19,13,自連買
8	,2850.TW,新產,48.8,0.21,121,53.4,-2.79,13,自連買
9	,8131.TW,福懋科,38.4,-0.78,269,40.9,0.44,13,自連買
10	,4739.TW,康普,94.9,-1.15,795,147,-33.85,11,自連買
11	,2548.TW,華固,88,-0.34,174,93.8,1.99,10,自連買
12	,2002.TW,中鋼,30.7,0.16,37216,34,0.23,8,自連買
13	,2382.TW,廣達,71.2,-0.97,4354,79.3,-2.61,8,自連買
14	,2886.TW,兆豐金,30.55,-0.97,8425,36.5,-10.85,8,自連買
15	,3711.TW,日月光投控,93.8,-3.6,11870,102,-0.38,8,自連買
16	,2301.TW,光寶科,64,-0.47,4678,61,7.27,7,自連買
17	,2356.TW,英業達,26,0.19,6530,25.45,8.47,7,自連買
18	,2441.TW,超豐,48.2,-2.33,4006,69.3,-24.68,7,自連買
19	,2882.TW,國泰金,41.15,1.86,33982,53.8,-17.72,7,自連買
20	,2905.TW,三商,15.05,-0.66,352,19,-15.07,7,自連買
21	,3044.TW,健鼎,96,1.59,1391,117.5,-12.58,7,自連買
22	,1707.TW,葡萄王,160.5,-1.23,644,143.5,16.81,6,自連買
23	,2014.TW,中鴻,27.6,1.1,53751,31.15,-1.81,6,自連買
24	,2324.TW,仁寶,22.95,0.44,9576,23,-0.22,6,自連買
25	,2881.TW,富邦金,56.7,-0.18,6587,61.8,2.38,6,自連買
26	,3034.TW,聯詠,301.5,-0.17,3163,379.5,-4.12,6,自連買
27	,3035.TW,智原,159,0.63,7973,226,-28.02,6,自連買
28	,3231.TW,緯創,29.9,-0.83,12268,28.45,14.69,6,自連買
29	,3481.TW,群創,11.1,0,42046,13.55,-10.77,6,自連買
30	,4714.TW,永捷,10.5,-1.41,140,13.95,-22.34,6,自連買
31	,6176.TW,瑞儀,106,0.47,1064,105.5,9.45,6,自連買
32	,8210.TW,勤誠,74.2,-1.07,96,69.9,11.24,6,自連買
33	,2887.TW,台新金,15.2,0,6593,16.85,-1.94,5,自連買
34	,6715.TW,嘉基,130,-2.26,387,134,-1.84,5,自連買
35	,8996.TW,高力,183.5,7.31,24980,72,161.77,5,自連買
36	,9939.TW,宏全,86.9,2.12,1021,77.4,19.2,5,自連買
