符合條件商品
資料日期：2022年  6月  1日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:00 符合檔數(45)
1	,2347.TW,聯強,61,-0.81,2957,70,-6.17,20,自連買
2	,4938.TW,和碩,64.2,0.31,3317,69.2,0.28,20,自連買
3	,6176.TW,瑞儀,106,0.47,1064,106.5,8.42,20,自連買
4	,1312.TW,國喬,18.95,1.07,4063,24.5,-14.33,17,自連買
5	,2357.TW,華碩,271,-1.63,1392,343,-9.01,14,自連買
6	,2317.TW,鴻海,101,0,15490,114.5,-7.24,9,自連買
7	,2354.TW,鴻準,51.4,-1.15,1092,56,-4.76,9,自連買
8	,2891.TW,中信金,21.9,-1.13,23817,26.55,-12.85,9,自連買
9	,3645.TW,達邁,32.55,-1.21,101,56.8,-40.96,9,自連買
10	,1215.TW,卜蜂,78.3,0.77,1049,82.1,8.98,8,自連買
11	,1476.TW,儒鴻,492.5,1.23,1098,493.5,2.81,8,自連買
12	,3030.TW,德律,63.7,-0.47,122,68,-1.45,8,自連買
13	,5522.TW,遠雄,58.5,0.34,1205,66.6,-2.21,8,自連買
14	,1457.TW,宜進,18.7,-0.53,210,19.45,1.91,7,自連買
15	,1301.TW,台塑,86.8,-0.46,6046,106.5,-11.77,6,自連買
16	,1303.TW,南亞,70.3,-1.54,4616,84.6,-8.38,6,自連買
17	,1313.TW,聯成,13.8,-1.78,1516,17.25,-20,6,自連買
18	,1402.TW,遠東新,31.55,-4.39,10632,30.8,7.53,6,自連買
19	,2020.TW,美亞,23.5,-0.63,75,31.65,-17.8,6,自連買
20	,2207.TW,和泰車,592,-0.67,113,620,-1.32,6,自連買
21	,2393.TW,億光,37.5,0.94,242,45.05,-8.98,6,自連買
22	,2454.TW,聯發科,660,-0.15,2431,905,-19.82,6,自連買
23	,2458.TW,義隆,86.1,-1.71,718,150.5,-35.35,6,自連買
24	,2545.TW,皇翔,40.2,-0.12,93,55.2,-17.49,6,自連買
25	,2597.TW,潤弘,121.5,0,132,113,18.91,6,自連買
26	,2605.TW,新興,20.65,-3.5,6563,27.25,-21.12,6,自連買
27	,2850.TW,新產,48.8,0.21,121,54.2,-4.22,6,自連買
28	,3450.TW,聯鈞,37.35,-0.13,105,45.9,-14.94,6,自連買
29	,3673.TW,TPK-KY,29.7,-0.34,398,33.95,-8.56,6,自連買
30	,4438.TW,廣越,119.5,-1.24,47,115,7.4,6,自連買
31	,4904.TW,遠傳,65.7,-0.3,2525,81.5,-16.1,6,自連買
32	,4942.TW,嘉彰,35.75,0.14,78,43.8,-11.86,6,自連買
33	,5269.TW,祥碩,717,0.14,564,1365,-46.01,6,自連買
34	,5288.TW,豐祥-KY,156,-1.58,158,153,4.77,6,自連買
35	,5434.TW,崇越,167.5,0.9,197,167,5.91,6,自連買
36	,6505.TW,台塑化,80.1,-1.11,1418,96,-13.07,6,自連買
37	,6568.TW,宏觀,168,1.51,418,189,-7.4,6,自連買
38	,8131.TW,福懋科,38.4,-0.78,269,41.2,-0.29,6,自連買
39	,8271.TW,宇瞻,41.1,0,92,43.55,-5.63,6,自連買
40	,9914.TW,美利達,171,-2.29,298,256.5,-30.96,6,自連買
41	,9917.TW,中保科,99.6,1.32,404,107.5,-2.74,6,自連買
42	,2615.TW,萬海,86.2,-1.15,55180,159.5,-32.43,5,自連買
43	,5457.TW,宣德,49.5,-0.2,374,63.3,-17.77,5,自連買
44	,5471.TW,松翰,51.1,-1.73,859,77.7,-26.69,5,自連買
45	,6205.TW,詮欣,70.9,-0.7,430,79.6,-8.02,5,自連買
