符合條件商品
資料日期：2022年  5月 25日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/25),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:01 符合檔數(34)
1	,2382.TW,廣達,71.2,-0.97,4354,75.7,2.02,20,自連買
2	,2441.TW,超豐,48.2,-2.33,4006,71,-26.48,20,自連買
3	,3044.TW,健鼎,96,1.59,1391,116,-11.45,20,自連買
4	,3702.TW,大聯大,47.8,-0.52,2583,56.1,-8.74,20,自連買
5	,4938.TW,和碩,64.2,0.31,3317,65.9,5.3,20,自連買
6	,6176.TW,瑞儀,106,0.47,1064,104,11.02,17,自連買
7	,2347.TW,聯強,61,-0.81,2957,72.6,-9.52,15,自連買
8	,1312.TW,國喬,18.95,1.07,4063,24.1,-12.91,12,自連買
9	,3231.TW,緯創,29.9,-0.83,12268,27.25,19.74,12,自連買
10	,2886.TW,兆豐金,30.55,-0.97,8425,37.6,-13.46,11,自連買
11	,1762.TW,中化生,63.5,1.11,2260,60.3,7.77,10,自連買
12	,2385.TW,群光,87.2,0.11,1118,82.6,13.76,10,自連買
13	,3036.TW,文曄,62.7,-0.95,1327,74.9,-10.48,10,自連買
14	,1210.TW,大成,45.45,1.91,1876,47.75,-0.07,9,自連買
15	,1434.TW,福懋,26.3,-0.19,479,26.05,4.91,9,自連買
16	,2357.TW,華碩,271,-1.63,1392,327,-4.56,9,自連買
17	,2801.TW,彰銀,17.25,-0.29,2566,18.1,-1.03,9,自連買
18	,6719.TW,力智,256,-0.97,769,506,-48.11,9,自連買
19	,3062.TW,建漢,23.55,0.21,1460,22.25,6.03,7,自連買
20	,1504.TW,東元,27.25,-0.37,1749,28.95,-1.41,6,自連買
21	,2013.TW,中鋼構,59.3,-0.84,197,61,0.99,6,自連買
22	,2356.TW,英業達,26,0.19,6530,25.65,7.66,6,自連買
23	,1339.TW,昭輝,40.75,-0.97,57,40.85,4.3,5,自連買
24	,1503.TW,士電,59.1,-1.01,78,61.1,-0.45,5,自連買
25	,2301.TW,光寶科,64,-0.47,4678,62.2,5.21,5,自連買
26	,2324.TW,仁寶,22.95,0.44,9576,22.6,1.55,5,自連買
27	,2707.TW,晶華,256,0.39,348,165,67.09,5,自連買
28	,2834.TW,臺企銀,12.9,-0.39,8238,12.1,11.5,5,自連買
29	,3558.TW,神準,206,-0.48,1476,196,6.48,5,自連買
30	,4532.TW,瑞智,16.2,-0.92,186,16.95,-0.18,5,自連買
31	,5534.TW,長虹,73.6,2.22,690,74.9,4.16,5,自連買
32	,6235.TW,華孚,36.05,0.42,1697,38.3,-5.87,5,自連買
33	,8103.TW,瀚荃,31.9,0,42,39.65,-14.87,5,自連買
34	,9939.TW,宏全,86.9,2.12,1021,74.5,23.84,5,自連買
