符合條件商品
資料日期：2022年 10月 12日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/12),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:09 符合檔數(38)
1	,2006.TW,東和鋼鐵,53.2,0.95,1881,54.3,-2.03,20,自連買
2	,2014.TW,中鴻,27.6,1.1,53751,22.2,24.32,20,自連買
3	,2324.TW,仁寶,22.95,0.44,9576,21.5,6.74,20,自連買
4	,2357.TW,華碩,271,-1.63,1392,231.5,17.06,20,自連買
5	,3036.TW,文曄,62.7,-0.95,1327,61.7,1.62,20,自連買
6	,5522.TW,遠雄,58.5,0.34,1205,58.8,3.23,20,自連買
7	,1102.TW,亞泥,41.55,0.24,6062,39.8,4.4,18,自連買
8	,2356.TW,英業達,26,0.19,6530,23.25,11.83,18,自連買
9	,2385.TW,群光,87.2,0.11,1118,80.5,8.32,18,自連買
10	,2441.TW,超豐,48.2,-2.33,4006,47.5,1.47,18,自連買
11	,2454.TW,聯發科,660,-0.15,2431,549,20.22,18,自連買
12	,3044.TW,健鼎,96,1.59,1391,91,5.49,18,自連買
13	,3231.TW,緯創,29.9,-0.83,12268,26.5,12.83,18,自連買
14	,4938.TW,和碩,64.2,0.31,3317,57.3,12.04,18,自連買
15	,1312.TW,國喬,18.95,1.07,4063,17.4,8.91,17,自連買
16	,2002.TW,中鋼,30.7,0.16,37216,27.5,11.64,17,自連買
17	,2301.TW,光寶科,64,-0.47,4678,64.5,-0.78,17,自連買
18	,2347.TW,聯強,61,-0.81,2957,53,15.09,17,自連買
19	,2382.TW,廣達,71.2,-0.97,4354,73.8,-3.52,17,自連買
20	,2449.TW,京元電子,36.4,-1.75,4505,30.2,20.53,17,自連買
21	,3034.TW,聯詠,301.5,-0.17,3163,237,27.22,17,自連買
22	,6176.TW,瑞儀,106,0.47,1064,97.4,8.83,17,自連買
23	,3702.TW,大聯大,47.8,-0.52,2583,46.9,1.92,16,自連買
24	,1101.TW,台泥,34.05,-1.16,23484,33.75,0.89,13,自連買
25	,2377.TW,微星,119.5,1.7,2513,106.5,12.21,13,自連買
26	,2409.TW,友達,15.4,0.65,36394,16.45,-6.38,10,自連買
27	,4966.TW,譜瑞-KY,825,0.86,553,657,25.57,8,自連買
28	,3416.TW,融程電,83,0.36,22,80,3.75,7,自連買
29	,5225.TW,東科-KY,37.85,1.75,1188,36.6,3.42,7,自連買
30	,5288.TW,豐祥-KY,156,-1.58,158,187,-16.58,7,自連買
31	,2376.TW,技嘉,106.5,1.43,5227,82.7,28.78,6,自連買
32	,2495.TW,普安,21.6,-2.92,2069,15.7,37.58,6,自連買
33	,3019.TW,亞光,61.6,-1.28,472,58.5,5.3,6,自連買
34	,3454.TW,晶睿,207.5,1.22,7571,123.5,68.02,6,自連買
35	,4931.TW,新盛力,47.2,1.4,4475,44.25,6.67,6,自連買
36	,9945.TW,潤泰新,43.65,-1.58,3379,56.6,15.69,6,自連買
37	,3015.TW,全漢,38.3,0.39,117,37.5,2.13,5,自連買
38	,6235.TW,華孚,36.05,0.42,1697,33.2,8.58,5,自連買
