符合條件商品
資料日期：2021年 11月  8日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:11 符合檔數(14)
1	,2618.TW,長榮航,28.1,-2.09,27994,23.5,21.91,9,自連買
2	,3081.TW,聯亞,110.5,-0.9,1673,195,-41.76,7,自連買
3	,2012.TW,春雨,23.9,0,133,31.4,-14.4,6,自連買
4	,2038.TW,海光,23.05,-3.15,5951,34.3,-28.39,6,自連買
5	,2362.TW,藍天,30.6,-0.81,111,33.9,-3.56,6,自連買
6	,2438.TW,翔耀,13.85,1.09,17,15,-7.67,6,自連買
7	,2464.TW,盟立,38.1,-0.39,128,42.9,-5.79,6,自連買
8	,4958.TW,臻鼎-KY,108,-1.37,2633,102,10.87,6,自連買
9	,9904.TW,寶成,34.05,0.44,6898,34.2,5.06,6,自連買
10	,1762.TW,中化生,63.5,1.11,2260,65.4,-0.64,5,自連買
11	,2634.TW,漢翔,34.55,3.13,14471,29.15,19.76,5,自連買
12	,3122.TW,笙泉,26,-0.95,176,47.05,-41.11,5,自連買
13	,3131.TW,弘塑,225,-0.88,34,394,-38.63,5,自連買
14	,6173.TW,信昌電,34.45,-1.57,150,57.6,-36.92,5,自連買
