符合條件商品
資料日期：2022年  1月 20日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/20),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:03 符合檔數(12)
1	,2886.TW,兆豐金,30.55,-0.97,8425,36.95,-11.93,11,自連買
2	,3005.TW,神基,43.55,0.35,857,55.1,-15.62,11,自連買
3	,1455.TW,集盛,10.45,0,596,15.6,-27.93,7,自連買
4	,2301.TW,光寶科,64,-0.47,4678,63.7,6.47,7,自連買
5	,2324.TW,仁寶,22.95,0.44,9576,25.45,-2.13,7,自連買
6	,4974.TW,亞泰,57.5,0,115,55.9,11.48,7,自連買
7	,1102.TW,亞泥,41.55,0.24,6062,44.35,1.44,6,自連買
8	,9933.TW,中鼎,41.85,0.6,916,38.8,13.57,6,自連買
9	,2347.TW,聯強,61,-0.81,2957,68.9,-4.67,5,自連買
10	,2441.TW,超豐,48.2,-2.33,4006,75.4,-30.78,5,自連買
11	,3702.TW,大聯大,47.8,-0.52,2583,54.7,-6.4,5,自連買
12	,5522.TW,遠雄,58.5,0.34,1205,62.5,4.22,5,自連買
