符合條件商品
資料日期：2022年  2月 11日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/11),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:58 符合檔數(35)
1	,2324.TW,仁寶,22.95,0.44,9576,25.75,-3.25,16,自連買
2	,2014.TW,中鴻,27.6,1.1,53751,40.35,-24.2,13,自連買
3	,1101.TW,台泥,34.05,-1.16,23484,47.55,-19.29,12,自連買
4	,2606.TW,裕民,50.1,-3.47,10468,59.9,-10.31,10,自連買
5	,2357.TW,華碩,271,-1.63,1392,367.5,-15.08,9,自連買
6	,2885.TW,元大金,21.8,-0.91,10786,25.6,-6.24,6,自連買
7	,3034.TW,聯詠,301.5,-0.17,3163,468,-22.25,6,自連買
8	,3035.TW,智原,159,0.63,7973,244,-33.33,6,自連買
9	,3122.TW,笙泉,26,-0.95,176,53,-47.72,6,自連買
10	,8924.TW,大田,120.5,0.42,199,149.5,-10.52,6,自連買
11	,1305.TW,華夏,26.5,1.15,17566,35.65,-18.34,5,自連買
12	,1312.TW,國喬,18.95,1.07,4063,29,-27.62,5,自連買
13	,1605.TW,華新,46.75,-1.68,42087,26.75,81.91,5,自連買
14	,1717.TW,長興,31.5,-1.25,930,37.05,-14,5,自連買
15	,2009.TW,第一銅,31.95,0.79,2420,45,-26.25,5,自連買
16	,2427.TW,三商電,11.95,0,66,13.6,-9.67,5,自連買
17	,2481.TW,強茂,60.4,-0.33,2094,105,-39.27,5,自連買
18	,2527.TW,宏璟,20.8,-0.72,64,30.75,-23.87,5,自連買
19	,2617.TW,台航,27.25,-1.27,1531,35.1,-16.39,5,自連買
20	,2618.TW,長榮航,28.1,-2.09,27994,30.15,-4.97,5,自連買
21	,2732.TW,六角,126,0.8,213,95.2,37.9,5,自連買
22	,2834.TW,臺企銀,12.9,-0.39,8238,11.15,20.9,5,自連買
23	,3030.TW,德律,63.7,-0.47,122,63.5,5.53,5,自連買
24	,3131.TW,弘塑,225,-0.88,34,345,-29.91,5,自連買
25	,3305.TW,昇貿,40.05,1.78,376,75.8,-44.39,5,自連買
26	,3324.TW,雙鴻,151,-0.66,649,229.5,-31.78,5,自連買
27	,3443.TW,創意,726,-0.55,5389,470,56.4,5,自連買
28	,3552.TW,同致,141.5,1.07,902,151,-4.82,5,自連買
29	,3587.TW,閎康,165,3.13,1620,143.5,19.11,5,自連買
30	,4958.TW,臻鼎-KY,108,-1.37,2633,94.6,19.55,5,自連買
31	,6548.TW,長科*,29.95,0,316,108,-27.71,5,自連買
32	,6788.TW,華景電,95.1,-0.21,282,202.5,-50.78,5,自連買
33	,8033.TW,雷虎,42.8,0.12,4021,16.1,165.84,5,自連買
34	,8215.TW,明基材,32.2,-2.72,1195,36.05,-5.9,5,自連買
35	,8299.TW,群聯,305,-0.81,792,490,-32.78,5,自連買
