符合條件商品
資料日期：2022年 12月  5日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/05),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 12:58 符合檔數(15)
1	,6834.TW,天二科技,25.1,-1.38,20,26.85,-6.52,20,自連買
2	,8050.TW,廣積,78.9,1.81,7925,78.2,0.9,9,自連買
3	,5309.TW,系統電,39.5,-1.86,1571,44.7,-11.63,8,自連買
4	,2732.TW,六角,126,0.8,213,125.5,0.4,7,自連買
5	,2486.TW,一詮,21.55,-0.23,1380,25.8,-16.47,6,自連買
6	,3218.TW,大學光,290,0.17,438,303,-4.29,6,自連買
7	,3228.TW,金麗科,187,-1.32,123,198.5,-5.79,6,自連買
8	,6187.TW,萬潤,65,0.93,810,74.1,-12.28,6,自連買
9	,6589.TW,台康生技,125.5,0.4,5833,158.5,-20.82,6,自連買
10	,1305.TW,華夏,26.5,1.15,17566,22.45,18.04,5,自連買
11	,1522.TW,堤維西,26.15,-0.76,963,28.8,-9.2,5,自連買
12	,2601.TW,益航,8.94,-1.54,2073,8.82,1.36,5,自連買
13	,3665.TW,貿聯-KY,251,-2.33,1391,265.5,-5.46,5,自連買
14	,6237.TW,驊訊,44.8,0.22,249,51.6,-13.18,5,自連買
15	,6829.TW,千附精密,73.2,0.69,155,81.3,-9.96,5,自連買
