符合條件商品
資料日期：2022年 11月 10日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/10),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:05 符合檔數(14)
1	,1312.TW,國喬,18.95,1.07,4063,18.4,2.99,20,自連買
2	,2347.TW,聯強,61,-0.81,2957,54.2,12.55,20,自連買
3	,2890.TW,永豐金,16.7,-4.84,27291,16.45,1.52,20,自連買
4	,6239.TW,力成,81.3,0.62,1926,77.8,4.5,20,自連買
5	,3455.TW,由田,80.3,-0.25,313,84.3,-4.74,11,自連買
6	,1513.TW,中興電,66,0.15,12515,51.8,27.41,6,自連買
7	,2385.TW,群光,87.2,0.11,1118,81,7.65,6,自連買
8	,2913.TW,農林,21.45,-1.15,909,23.15,-7.34,6,自連買
9	,2912.TW,統一超,268,-1.47,996,262.5,2.1,5,自連買
10	,4915.TW,致伸,55.1,-0.9,3460,53,3.96,5,自連買
11	,6505.TW,台塑化,80.1,-1.11,1418,82.5,-2.91,5,自連買
12	,6515.TW,穎崴,404,-1.46,559,331.5,21.87,5,自連買
13	,6781.TW,AES-KY,680,1.34,965,645,5.43,5,自連買
14	,8076.TW,伍豐,28.15,-0.35,431,27.9,0.9,5,自連買
