符合條件商品
資料日期：2021年 12月  1日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:09 符合檔數(13)
1	,2890.TW,永豐金,16.7,-4.84,27291,15.15,16.62,11,自連買
2	,2375.TW,凱美,56,-0.36,155,117,-58.89,8,自連買
3	,2385.TW,群光,87.2,0.11,1118,80.9,16.16,7,自連買
4	,1907.TW,永豐餘,24.45,-1.21,810,34.65,-24.77,6,自連買
5	,2069.TW,運錩,21.35,-0.7,1052,35.7,-33.7,6,自連買
6	,2105.TW,正新,33.75,-0.74,1203,33.65,3.78,6,自連買
7	,2353.TW,宏碁,23.15,0.22,5082,28.1,-9.46,6,自連買
8	,2357.TW,華碩,271,-1.63,1392,360,-13.31,6,自連買
9	,2388.TW,威盛,69.3,-0.14,6061,89,-20.9,6,自連買
10	,3545.TW,敦泰,59.4,2.24,1934,169.5,-58.09,6,自連買
11	,5871.TW,中租-KY,216.5,0.46,2711,251,-6.95,6,自連買
12	,6415.TW,矽力*-KY,445,1.37,2330,4655,-61.56,6,自連買
13	,2377.TW,微星,119.5,1.7,2513,164.5,-20.83,5,自連買
