符合條件商品
資料日期：2022年  2月 22日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/22),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:56 符合檔數(10)
1	,2885.TW,元大金,21.8,-0.91,10786,25.35,-5.34,13,自連買
2	,1605.TW,華新,46.75,-1.68,42087,28.3,72,12,自連買
3	,4540.TW,全球傳動,36.4,-0.41,42,47.75,-21.59,11,自連買
4	,2820.TW,華票,14.55,0,290,17.05,-9.8,10,自連買
5	,2385.TW,群光,87.2,0.11,1118,91.3,2.93,7,自連買
6	,5306.TW,桂盟,140,0.72,338,197.5,-25.12,6,自連買
7	,2419.TW,仲琦,24.15,-0.41,1040,21.15,17.12,5,自連買
8	,3035.TW,智原,159,0.63,7973,233.5,-30.34,5,自連買
9	,5011.TW,久陽,25.35,1.6,496,40.1,-34.39,5,自連買
10	,8390.TW,金益鼎,36.8,-2.26,415,37.7,-10.51,5,自連買
