符合條件商品
資料日期：2022年 11月 25日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/25),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:02 符合檔數(13)
1	,1312.TW,國喬,18.95,1.07,4063,18.3,3.55,20,自連買
2	,6834.TW,天二科技,25.1,-1.38,20,24.8,1.21,14,自連買
3	,1718.TW,中纖,8.35,-0.71,2204,8.17,2.2,7,自連買
4	,2354.TW,鴻準,51.4,-1.15,1092,49.95,2.9,6,自連買
5	,2317.TW,鴻海,101,0,15490,100.5,0.5,5,自連買
6	,2845.TW,遠東銀,11.1,-0.89,1864,10.95,1.37,5,自連買
7	,2912.TW,統一超,268,-1.47,996,265,1.13,5,自連買
8	,3045.TW,台灣大,94.8,0,2514,94.1,0.74,5,自連買
9	,3362.TW,先進光,71.1,-0.42,992,78.1,-8.96,5,自連買
10	,3441.TW,聯一光,40.65,0.37,503,40.8,-0.37,5,自連買
11	,5469.TW,瀚宇博,31.65,-0.94,479,34.05,-7.05,5,自連買
12	,6190.TW,萬泰科,29.35,-1.18,798,31.75,-7.56,5,自連買
13	,6515.TW,穎崴,404,-1.46,559,426,-5.16,5,自連買
