符合條件商品
資料日期：2022年  2月  9日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:58 符合檔數(19)
1	,2886.TW,兆豐金,30.55,-0.97,8425,38.8,-16.14,18,自連買
2	,2301.TW,光寶科,64,-0.47,4678,69.1,-1.84,14,自連買
3	,2324.TW,仁寶,22.95,0.44,9576,25.8,-3.45,14,自連買
4	,1102.TW,亞泥,41.55,0.24,6062,45.2,-0.46,13,自連買
5	,2441.TW,超豐,48.2,-2.33,4006,74,-29.46,12,自連買
6	,5522.TW,遠雄,58.5,0.34,1205,65.5,-0.56,12,自連買
7	,2014.TW,中鴻,27.6,1.1,53751,40.25,-24.01,11,自連買
8	,1101.TW,台泥,34.05,-1.16,23484,47.3,-18.87,10,自連買
9	,2108.TW,南帝,38.2,-0.26,608,85.5,-50.56,10,自連買
10	,2382.TW,廣達,71.2,-0.97,4354,95.7,-19.3,8,自連買
11	,2606.TW,裕民,50.1,-3.47,10468,58.3,-7.85,8,自連買
12	,3045.TW,台灣大,94.8,0,2514,102,-3.21,8,自連買
13	,2356.TW,英業達,26,0.19,6530,25.85,6.82,7,自連買
14	,2357.TW,華碩,271,-1.63,1392,366,-14.73,7,自連買
15	,2377.TW,微星,119.5,1.7,2513,157,-17.05,7,自連買
16	,2458.TW,義隆,86.1,-1.71,718,175.5,-44.56,7,自連買
17	,3231.TW,緯創,29.9,-0.83,12268,32,1.98,7,自連買
18	,2482.TW,連宇,24.2,-2.81,1591,16.15,49.85,6,自連買
19	,8039.TW,台虹,41,-0.61,92,46.9,-7.22,6,自連買
