符合條件商品
資料日期：2022年  5月 10日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/10),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:03 符合檔數(15)
1	,1102.TW,亞泥,41.55,0.24,6062,46.15,-2.51,16,自連買
2	,3702.TW,大聯大,47.8,-0.52,2583,53,-3.41,16,自連買
3	,2441.TW,超豐,48.2,-2.33,4006,71.5,-27,14,自連買
4	,2356.TW,英業達,26,0.19,6530,25.85,6.82,12,自連買
5	,4938.TW,和碩,64.2,0.31,3317,69.7,-0.43,12,自連買
6	,2357.TW,華碩,271,-1.63,1392,350,-10.83,11,自連買
7	,2382.TW,廣達,71.2,-0.97,4354,83.6,-7.63,11,自連買
8	,3044.TW,健鼎,96,1.59,1391,123,-16.49,11,自連買
9	,2809.TW,京城銀,33.9,-3.42,3989,37.8,-5.12,6,自連買
10	,6176.TW,瑞儀,106,0.47,1064,101.5,13.76,6,自連買
11	,1470.TW,大統新創,18.1,0,16,25.9,-27.1,5,自連買
12	,2301.TW,光寶科,64,-0.47,4678,64.4,1.6,5,自連買
13	,2890.TW,永豐金,16.7,-4.84,27291,17.5,0.97,5,自連買
14	,4707.TW,磐亞,11.85,-0.42,167,12.7,1.46,5,自連買
15	,8046.TW,南電,242,-0.41,10124,404,-37.96,5,自連買
