符合條件商品
資料日期：2022年  9月  8日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:14 符合檔數(20)
1	,2324.TW,仁寶,22.95,0.44,9576,23,-0.22,20,自連買
2	,2356.TW,英業達,26,0.19,6530,23.5,10.64,20,自連買
3	,3036.TW,文曄,62.7,-0.95,1327,62,1.13,20,自連買
4	,3044.TW,健鼎,96,1.59,1391,99,-3.03,20,自連買
5	,5522.TW,遠雄,58.5,0.34,1205,62.3,-2.56,20,自連買
6	,2449.TW,京元電子,36.4,-1.75,4505,36,1.11,16,自連買
7	,3231.TW,緯創,29.9,-0.83,12268,27.2,9.93,16,自連買
8	,2006.TW,東和鋼鐵,53.2,0.95,1881,53.7,-0.93,14,自連買
9	,2014.TW,中鴻,27.6,1.1,53751,24.2,14.05,14,自連買
10	,2379.TW,瑞昱,289,-0.52,1352,331.5,-5.09,7,自連買
11	,1101.TW,台泥,34.05,-1.16,23484,39.85,-14.55,5,自連買
12	,1795.TW,美時,232,0.22,11755,154,50.65,5,自連買
13	,2301.TW,光寶科,64,-0.47,4678,68.7,-6.84,5,自連買
14	,2376.TW,技嘉,106.5,1.43,5227,86.2,23.55,5,自連買
15	,2385.TW,群光,87.2,0.11,1118,81.7,6.73,5,自連買
16	,2634.TW,漢翔,34.55,3.13,14471,36,-4.03,5,自連買
17	,3033.TW,威健,26.5,0,428,26.2,1.15,5,自連買
18	,4938.TW,和碩,64.2,0.31,3317,63.7,0.78,5,自連買
19	,6509.TW,聚和,41.15,4.71,2507,40.7,1.11,5,自連買
20	,8155.TW,博智,108,-1.37,385,111.5,-3.14,5,自連買
