符合條件商品
資料日期：2021年 12月 29日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/29),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:05 符合檔數(20)
1	,5009.TW,榮剛,37.5,-0.66,11974,22.05,79.77,10,自連買
2	,5536.TW,聖暉*,102.5,-0.97,167,210,6.06,8,自連買
3	,6147.TW,頎邦,58.6,0.51,604,66.4,-1.92,8,自連買
4	,6213.TW,聯茂,71.9,0.42,941,139.5,-45.05,8,自連買
5	,6224.TW,聚鼎,57.2,-2.39,189,125,-52.17,8,自連買
6	,2330.TW,台積電,455,-2.78,26724,616,-24.51,7,自連買
7	,2408.TW,南亞科,51.4,-0.58,5241,76.6,-28.24,7,自連買
8	,2412.TW,中華電,112.5,-0.44,6521,116.5,0.1,7,自連買
9	,6257.TW,矽格,48.85,0.31,824,59,-9.84,7,自連買
10	,6515.TW,穎崴,404,-1.46,559,423.5,-1.63,6,自連買
11	,8069.TW,元太,167,-1.47,11565,146,16.37,6,自連買
12	,8422.TW,可寧衛,177.5,0,124,236,-20.66,6,自連買
13	,2059.TW,川湖,395,-0.63,106,518,-21.91,5,自連買
14	,2603.TW,長榮,167.5,-2.33,36972,144,-39.74,5,自連買
15	,3653.TW,健策,369.5,-0.81,1389,399.5,3.86,5,自連買
16	,3680.TW,家登,254.5,0.79,478,324,-19.41,5,自連買
17	,3707.TW,漢磊,86.9,0,3034,146,-40.24,5,自連買
18	,4966.TW,譜瑞-KY,825,0.86,553,2110,-59.82,5,自連買
19	,5871.TW,中租-KY,216.5,0.46,2711,266,-12.19,5,自連買
20	,8070.TW,長華*,30.65,-0.16,272,38.05,-13.78,5,自連買
