符合條件商品
資料日期：2022年  1月  4日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/04),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:05 符合檔數(19)
1	,5536.TW,聖暉*,102.5,-0.97,167,222.5,0.1,11,自連買
2	,2330.TW,台積電,455,-2.78,26724,656,-29.11,10,自連買
3	,2412.TW,中華電,112.5,-0.44,6521,115.5,0.97,10,自連買
4	,2059.TW,川湖,395,-0.63,106,501,-19.26,8,自連買
5	,2385.TW,群光,87.2,0.11,1118,84.3,11.47,7,自連買
6	,2820.TW,華票,14.55,0,290,17.2,-10.57,7,自連買
7	,2834.TW,臺企銀,12.9,-0.39,8238,9.84,37.09,7,自連買
8	,2327.TW,國巨,460,-1.39,1468,533,-28.2,6,自連買
9	,3037.TW,欣興,125,2.46,35224,237,-46.06,6,自連買
10	,4770.TW,上品,300.5,-4.6,1157,281,10.4,6,自連買
11	,6488.TW,環球晶,435.5,-2.57,2065,885,-49.41,6,自連買
12	,2030.TW,彰源,23.95,1.27,3219,29.2,-10.53,5,自連買
13	,2351.TW,順德,99.5,1.22,927,170.5,-40.12,5,自連買
14	,2851.TW,中再保,18.45,1.1,929,29.8,-33.97,5,自連買
15	,3388.TW,崇越電,72.9,-0.14,4,85.2,-7.91,5,自連買
16	,3491.TW,昇達科,136.5,1.11,719,213,-34,5,自連買
17	,3611.TW,鼎翰,191,-0.26,8,201,1.18,5,自連買
18	,6217.TW,中探針,43.75,0.69,482,51.8,-13.28,5,自連買
19	,6770.TW,力積電,33.3,-0.3,10173,69.2,-49.82,5,自連買
