符合條件商品
資料日期：2022年  1月 19日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/19),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:03 符合檔數(13)
1	,2886.TW,兆豐金,30.55,-0.97,8425,37,-12.06,10,自連買
2	,3005.TW,神基,43.55,0.35,857,54.6,-14.84,10,自連買
3	,2867.TW,三商壽,5.51,-2.3,17135,10,-44.9,9,自連買
4	,3044.TW,健鼎,96,1.59,1391,127.5,-19.44,8,自連買
5	,1455.TW,集盛,10.45,0,596,15.5,-27.43,6,自連買
6	,2301.TW,光寶科,64,-0.47,4678,63.6,6.65,6,自連買
7	,2324.TW,仁寶,22.95,0.44,9576,25.45,-2.13,6,自連買
8	,2356.TW,英業達,26,0.19,6530,25.15,9.8,6,自連買
9	,4974.TW,亞泰,57.5,0,115,56,11.26,6,自連買
10	,8383.TW,千附,38.1,-0.13,61,40.2,1.71,6,自連買
11	,1102.TW,亞泥,41.55,0.24,6062,44.4,1.34,5,自連買
12	,3211.TW,順達,73.1,-0.14,70,107.5,-21.57,5,自連買
13	,9933.TW,中鼎,41.85,0.6,916,38.5,14.47,5,自連買
