符合條件商品
資料日期：2022年 11月  9日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:05 符合檔數(19)
1	,1312.TW,國喬,18.95,1.07,4063,18.5,2.43,20,自連買
2	,2347.TW,聯強,61,-0.81,2957,54.3,12.34,20,自連買
3	,6239.TW,力成,81.3,0.62,1926,78.1,4.1,20,自連買
4	,2890.TW,永豐金,16.7,-4.84,27291,16.55,0.91,19,自連買
5	,2002.TW,中鋼,30.7,0.16,37216,27.8,10.43,12,自連買
6	,3455.TW,由田,80.3,-0.25,313,82.8,-3.02,10,自連買
7	,2850.TW,新產,48.8,0.21,121,45.3,7.73,8,自連買
8	,3413.TW,京鼎,183.5,-1.61,306,182,0.82,8,自連買
9	,4977.TW,眾達-KY,97.5,-1.42,2016,98.6,-1.12,8,自連買
10	,2231.TW,為升,142,-2.07,335,140.5,1.07,7,自連買
11	,4974.TW,亞泰,57.5,0,115,56.2,2.31,7,自連買
12	,6438.TW,迅得,86.2,-0.69,51,82,5.12,7,自連買
13	,8210.TW,勤誠,74.2,-1.07,96,71.6,3.63,7,自連買
14	,3374.TW,精材,99.5,-1.49,1508,94.4,5.4,6,自連買
15	,1513.TW,中興電,66,0.15,12515,53.1,24.29,5,自連買
16	,2385.TW,群光,87.2,0.11,1118,82.2,6.08,5,自連買
17	,2497.TW,怡利電,72.9,-0.82,961,75.8,-3.83,5,自連買
18	,2913.TW,農林,21.45,-1.15,909,22.25,-3.6,5,自連買
19	,8016.TW,矽創,173.5,-0.29,574,195,-11.03,5,自連買
