符合條件商品
資料日期：2021年 12月 24日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/24),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:06 符合檔數(13)
1	,5222.TW,全訊,134.5,-2.18,132,209,-34.22,12,自連買
2	,2105.TW,正新,33.75,-0.74,1203,36.05,-3.1,7,自連買
3	,5009.TW,榮剛,37.5,-0.66,11974,22.2,78.57,7,自連買
4	,8299.TW,群聯,305,-0.81,792,487.5,-32.44,7,自連買
5	,2404.TW,漢唐,182,-2.41,755,178,10.83,6,自連買
6	,3014.TW,聯陽,71.5,-0.83,189,107,-24.03,5,自連買
7	,4576.TW,大銀微系統,70,0.14,25,111,-36.23,5,自連買
8	,5536.TW,聖暉*,102.5,-0.97,167,200,11.36,5,自連買
9	,6147.TW,頎邦,58.6,0.51,604,66.1,-1.48,5,自連買
10	,6150.TW,撼訊,73.1,0.14,1301,187.5,-53.7,5,自連買
11	,6213.TW,聯茂,71.9,0.42,941,135,-43.21,5,自連買
12	,6224.TW,聚鼎,57.2,-2.39,189,126,-52.55,5,自連買
13	,6239.TW,力成,81.3,0.62,1926,98.3,-10.57,5,自連買
