符合條件商品
資料日期：2021年 12月 14日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:07 符合檔數(11)
1	,6239.TW,力成,81.3,0.62,1926,96.3,-8.71,13,自連買
2	,2885.TW,元大金,21.8,-0.91,10786,24.7,-2.85,8,自連買
3	,3056.TW,總太,30.6,0.82,476,41.75,-23.08,6,自連買
4	,2006.TW,東和鋼鐵,53.2,0.95,1881,59.9,-3.57,5,自連買
5	,2020.TW,美亞,23.5,-0.63,75,31.45,-17.28,5,自連買
6	,2101.TW,南港,33.7,-0.3,358,39.2,-14.03,5,自連買
7	,6153.TW,嘉聯益,23.85,-2.05,2220,24.8,-3.83,5,自連買
8	,8155.TW,博智,108,-1.37,385,147,-22.82,5,自連買
9	,9904.TW,寶成,34.05,0.44,6898,32.9,9.2,5,自連買
10	,9921.TW,巨大,209,-1.18,293,336,-35.36,5,自連買
11	,9939.TW,宏全,86.9,2.12,1021,68.6,34.5,5,自連買
