符合條件商品
資料日期：2022年  3月  7日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/07),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:48 符合檔數(20)
1	,8112.TW,至上,36.05,0.7,471,51.7,-22.24,11,自連買
2	,2809.TW,京城銀,33.9,-3.42,3989,39.7,-9.67,8,自連買
3	,3005.TW,神基,43.55,0.35,857,57.2,-18.7,8,自連買
4	,5880.TW,合庫金,25.95,-0.76,4866,26.3,5.32,8,自連買
5	,2027.TW,大成鋼,43.15,-1.93,15303,52.7,-12.95,6,自連買
6	,2497.TW,怡利電,72.9,-0.82,961,103,-29.22,6,自連買
7	,4540.TW,全球傳動,36.4,-0.41,42,47.25,-20.75,6,自連買
8	,6134.TW,萬旭,21.45,-0.69,109,25.5,-15.52,6,自連買
9	,1301.TW,台塑,86.8,-0.46,6046,106,-11.35,5,自連買
10	,1323.TW,永裕,33,1.23,75,36.4,-4.87,5,自連買
11	,1535.TW,中宇,43.55,-1.02,90,42.65,8.85,5,自連買
12	,1609.TW,大亞,20.5,0.49,2261,23.7,-6.9,5,自連買
13	,1731.TW,美吾華,19.4,0,298,19.6,5.43,5,自連買
14	,1762.TW,中化生,63.5,1.11,2260,53.3,21.93,5,自連買
15	,2423.TW,固緯,26.95,-1.28,44,27.75,2.59,5,自連買
16	,3305.TW,昇貿,40.05,1.78,376,75.2,-43.95,5,自連買
17	,3338.TW,泰碩,31.55,-0.47,61,52.8,-37.99,5,自連買
18	,6183.TW,關貿,58.5,-0.34,9,52,16.23,5,自連買
19	,6192.TW,巨路,69.2,-0.86,148,72.5,-7.79,5,自連買
20	,8044.TW,網家,53.2,0.95,575,87.5,-38.74,5,自連買
