符合條件商品
資料日期：2021年 11月  9日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:11 符合檔數(18)
1	,2618.TW,長榮航,28.1,-2.09,27994,24.95,14.83,10,自連買
2	,3081.TW,聯亞,110.5,-0.9,1673,192.5,-41,8,自連買
3	,2012.TW,春雨,23.9,0,133,31.15,-13.69,7,自連買
4	,2038.TW,海光,23.05,-3.15,5951,34.35,-28.48,7,自連買
5	,2438.TW,翔耀,13.85,1.09,17,14.9,-7.05,7,自連買
6	,2464.TW,盟立,38.1,-0.39,128,42.75,-5.46,7,自連買
7	,4958.TW,臻鼎-KY,108,-1.37,2633,103,9.8,7,自連買
8	,9904.TW,寶成,34.05,0.44,6898,34.9,2.93,7,自連買
9	,2634.TW,漢翔,34.55,3.13,14471,29.35,18.93,6,自連買
10	,3122.TW,笙泉,26,-0.95,176,50,-44.59,6,自連買
11	,3131.TW,弘塑,225,-0.88,34,391,-38.15,6,自連買
12	,1476.TW,儒鴻,492.5,1.23,1098,635,-20.1,5,自連買
13	,2419.TW,仲琦,24.15,-0.41,1040,23.4,5.87,5,自連買
14	,2498.TW,宏達電,55,-0.72,14502,81.5,-32.52,5,自連買
15	,3228.TW,金麗科,187,-1.32,123,403.5,-53.66,5,自連買
16	,4739.TW,康普,94.9,-1.15,795,149.5,-34.96,5,自連買
17	,4927.TW,泰鼎-KY,54.5,-0.73,593,93.6,-38,5,自連買
18	,6756.TW,威鋒電子,191,-2.05,282,521,-62.34,5,自連買
