符合條件商品
資料日期：2022年  9月  6日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/06),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:14 符合檔數(14)
1	,2324.TW,仁寶,22.95,0.44,9576,22.75,0.88,20,自連買
2	,2356.TW,英業達,26,0.19,6530,22.85,13.79,20,自連買
3	,2441.TW,超豐,48.2,-2.33,4006,56.3,-14.39,20,自連買
4	,3036.TW,文曄,62.7,-0.95,1327,61.2,2.45,20,自連買
5	,3044.TW,健鼎,96,1.59,1391,97.7,-1.74,20,自連買
6	,5522.TW,遠雄,58.5,0.34,1205,63.5,-4.41,20,自連買
7	,2449.TW,京元電子,36.4,-1.75,4505,35.75,1.82,14,自連買
8	,3231.TW,緯創,29.9,-0.83,12268,26.95,10.95,14,自連買
9	,6176.TW,瑞儀,106,0.47,1064,95.5,10.99,14,自連買
10	,2006.TW,東和鋼鐵,53.2,0.95,1881,53.7,-0.93,12,自連買
11	,2014.TW,中鴻,27.6,1.1,53751,23.95,15.24,12,自連買
12	,4743.TW,合一,259.5,-1.14,14786,268.5,-3.35,9,自連買
13	,2379.TW,瑞昱,289,-0.52,1352,330,-4.66,5,自連買
14	,2812.TW,台中銀,12.8,-0.39,3299,13.7,-6.57,5,自連買
