符合條件商品
資料日期：2022年 11月 11日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/11),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:04 符合檔數(19)
1	,1312.TW,國喬,18.95,1.07,4063,18.05,4.99,20,自連買
2	,6239.TW,力成,81.3,0.62,1926,79.6,2.14,20,自連買
3	,1513.TW,中興電,66,0.15,12515,51.7,27.66,7,自連買
4	,2385.TW,群光,87.2,0.11,1118,82,6.34,7,自連買
5	,2913.TW,農林,21.45,-1.15,909,23.5,-8.72,7,自連買
6	,4915.TW,致伸,55.1,-0.9,3460,54.5,1.1,6,自連買
7	,6505.TW,台塑化,80.1,-1.11,1418,83.9,-4.53,6,自連買
8	,8076.TW,伍豐,28.15,-0.35,431,27.8,1.26,6,自連買
9	,2883.TW,開發金,12.7,-0.78,8936,12.9,-1.55,5,自連買
10	,3059.TW,華晶科,33.4,-0.45,748,34.9,-4.3,5,自連買
11	,3260.TW,威剛,57.6,-0.17,970,58.1,-0.86,5,自連買
12	,3617.TW,碩天,96.3,-2.33,255,107.5,-10.42,5,自連買
13	,4162.TW,智擎,118.5,-2.07,10092,123.5,-4.05,5,自連買
14	,4739.TW,康普,94.9,-1.15,795,91.3,3.94,5,自連買
15	,5269.TW,祥碩,717,0.14,564,649,10.48,5,自連買
16	,6285.TW,啟碁,80.8,-2.3,4232,82.6,-2.18,5,自連買
17	,6290.TW,良維,54,-0.18,323,56,-3.57,5,自連買
18	,6411.TW,晶焱,85.7,-0.35,289,92,-6.85,5,自連買
19	,6568.TW,宏觀,168,1.51,418,137,22.63,5,自連買
