符合條件商品
資料日期：2022年  9月 19日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/19),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:12 符合檔數(18)
1	,2006.TW,東和鋼鐵,53.2,0.95,1881,52.8,0.76,20,自連買
2	,2014.TW,中鴻,27.6,1.1,53751,24.45,12.88,20,自連買
3	,2324.TW,仁寶,22.95,0.44,9576,22.6,1.55,20,自連買
4	,3036.TW,文曄,62.7,-0.95,1327,60.1,4.33,20,自連買
5	,5522.TW,遠雄,58.5,0.34,1205,59,2.88,20,自連買
6	,1101.TW,台泥,34.05,-1.16,23484,38.8,-12.24,11,自連買
7	,2065.TW,世豐,50.9,-0.2,24,49.5,5.84,8,自連買
8	,3454.TW,晶睿,207.5,1.22,7571,137.5,50.91,8,自連買
9	,6603.TW,富強鑫,17.85,0.85,808,17.65,1.13,8,自連買
10	,2357.TW,華碩,271,-1.63,1392,254.5,6.48,7,自連買
11	,2607.TW,榮運,29.1,1.39,5367,34,-14.41,7,自連買
12	,3545.TW,敦泰,59.4,2.24,1934,68.6,-13.41,7,自連買
13	,3580.TW,友威科,62.1,-0.64,370,73.9,-15.97,7,自連買
14	,2105.TW,正新,33.75,-0.74,1203,39.45,-14.45,6,自連買
15	,2364.TW,倫飛,105,0.96,463,72,45.83,6,自連買
16	,4566.TW,時碩工業,51.4,0.59,362,56.9,-9.67,5,自連買
17	,6213.TW,聯茂,71.9,0.42,941,69.5,3.45,5,自連買
18	,8996.TW,高力,183.5,7.31,24980,111,65.32,5,自連買
