符合條件商品
資料日期：2022年  2月 15日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:58 符合檔數(16)
1	,2324.TW,仁寶,22.95,0.44,9576,25.25,-1.33,18,自連買
2	,1101.TW,台泥,34.05,-1.16,23484,47,-18.35,14,自連買
3	,2885.TW,元大金,21.8,-0.91,10786,25.2,-4.76,8,自連買
4	,1605.TW,華新,46.75,-1.68,42087,26.2,85.74,7,自連買
5	,2732.TW,六角,126,0.8,213,98.3,33.56,7,自連買
6	,3324.TW,雙鴻,151,-0.66,649,240,-34.76,7,自連買
7	,1723.TW,中碳,105.5,-0.47,103,118,-7.4,6,自連買
8	,1760.TW,寶齡富錦,190,8.57,30709,98.3,95.98,6,自連買
9	,2017.TW,官田鋼,14.2,-1.05,653,18.3,-13.89,6,自連買
10	,3005.TW,神基,43.55,0.35,857,57,-18.42,6,自連買
11	,4540.TW,全球傳動,36.4,-0.41,42,47.3,-20.84,6,自連買
12	,4736.TW,泰博,186,-0.53,4377,191.5,5.12,6,自連買
13	,2027.TW,大成鋼,43.15,-1.93,15303,48.85,-6.09,5,自連買
14	,2809.TW,京城銀,33.9,-3.42,3989,40.25,-10.91,5,自連買
15	,2820.TW,華票,14.55,0,290,17.2,-10.57,5,自連買
16	,9904.TW,寶成,34.05,0.44,6898,32.35,11.06,5,自連買
