符合條件商品
資料日期：2021年 11月  5日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/05),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:12 符合檔數(16)
1	,2385.TW,群光,87.2,0.11,1118,79.6,18.05,20,自連買
2	,5522.TW,遠雄,58.5,0.34,1205,67.6,-3.66,20,自連買
3	,3624.TW,光頡,40.35,0.62,414,41.25,1.97,10,自連買
4	,2308.TW,台達電,281,-1.92,5149,262,9.81,8,自連買
5	,2618.TW,長榮航,28.1,-2.09,27994,21.6,32.67,8,自連買
6	,1603.TW,華電,26.3,-0.75,181,27.7,-3.24,6,自連買
7	,3081.TW,聯亞,110.5,-0.9,1673,201,-43.5,6,自連買
8	,1560.TW,中砂,109.5,-1.35,2814,86.2,29.86,5,自連買
9	,2012.TW,春雨,23.9,0,133,29.45,-8.71,5,自連買
10	,2038.TW,海光,23.05,-3.15,5951,32.85,-25.24,5,自連買
11	,2362.TW,藍天,30.6,-0.81,111,34.4,-4.94,5,自連買
12	,2438.TW,翔耀,13.85,1.09,17,15.85,-12.62,5,自連買
13	,2464.TW,盟立,38.1,-0.39,128,42.9,-5.79,5,自連買
14	,4958.TW,臻鼎-KY,108,-1.37,2633,101.5,11.42,5,自連買
15	,8210.TW,勤誠,74.2,-1.07,96,77.8,-0.05,5,自連買
16	,9904.TW,寶成,34.05,0.44,6898,33.75,6.44,5,自連買
