符合條件商品
資料日期：2021年 11月 30日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/30),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:09 符合檔數(14)
1	,2890.TW,永豐金,16.7,-4.84,27291,15.3,15.49,10,自連買
2	,2375.TW,凱美,56,-0.36,155,117,-58.89,7,自連買
3	,2385.TW,群光,87.2,0.11,1118,79.5,18.21,6,自連買
4	,1907.TW,永豐餘,24.45,-1.21,810,34.55,-24.56,5,自連買
5	,2069.TW,運錩,21.35,-0.7,1052,35.55,-33.43,5,自連買
6	,2105.TW,正新,33.75,-0.74,1203,33.5,4.26,5,自連買
7	,2353.TW,宏碁,23.15,0.22,5082,27.7,-8.13,5,自連買
8	,2357.TW,華碩,271,-1.63,1392,352.5,-11.46,5,自連買
9	,2388.TW,威盛,69.3,-0.14,6061,88.3,-20.27,5,自連買
10	,3037.TW,欣興,125,2.46,35224,228,-43.93,5,自連買
11	,3545.TW,敦泰,59.4,2.24,1934,166,-57.21,5,自連買
12	,5871.TW,中租-KY,216.5,0.46,2711,247,-5.44,5,自連買
13	,6415.TW,矽力*-KY,445,1.37,2330,4690,-61.84,5,自連買
14	,8069.TW,元太,167,-1.47,11565,125.5,35.38,5,自連買
