符合條件商品
資料日期：2022年  2月 25日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/25),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:56 符合檔數(10)
1	,2885.TW,元大金,21.8,-0.91,10786,24.85,-3.41,16,自連買
2	,2385.TW,群光,87.2,0.11,1118,89.6,4.87,10,自連買
3	,2887.TW,台新金,15.2,0,6593,19.5,-15.23,7,自連買
4	,3026.TW,禾伸堂,89.9,0,51,117,-15.64,7,自連買
5	,6290.TW,良維,54,-0.18,323,51.5,8.91,7,自連買
6	,2882.TW,國泰金,41.15,1.86,33982,62.3,-28.94,6,自連買
7	,8112.TW,至上,36.05,0.7,471,53.1,-24.28,6,自連買
8	,1795.TW,美時,232,0.22,11755,111.5,111.12,5,自連買
9	,2030.TW,彰源,23.95,1.27,3219,31.8,-17.87,5,自連買
10	,5309.TW,系統電,39.5,-1.86,1571,38.8,1.8,5,自連買
