符合條件商品
資料日期：2022年  3月  1日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:56 符合檔數(10)
1	,2885.TW,元大金,21.8,-0.91,10786,25.25,-4.97,17,自連買
2	,2385.TW,群光,87.2,0.11,1118,91.1,3.15,11,自連買
3	,2887.TW,台新金,15.2,0,6593,19.6,-15.65,8,自連買
4	,3026.TW,禾伸堂,89.9,0,51,118.5,-16.71,8,自連買
5	,6290.TW,良維,54,-0.18,323,52.4,7.06,8,自連買
6	,2882.TW,國泰金,41.15,1.86,33982,62.6,-29.28,7,自連買
7	,8112.TW,至上,36.05,0.7,471,53.7,-25.13,7,自連買
8	,2377.TW,微星,119.5,1.7,2513,158,-17.58,5,自連買
9	,2732.TW,六角,126,0.8,213,109,20.45,5,自連買
10	,6209.TW,今國光,25.4,-0.59,249,31.05,-16.8,5,自連買
