符合條件商品
資料日期：2021年 12月 24日
策略,	00主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2021-12-27 09:22 符合檔數(534)
111	,6446.TW,藥華藥,288,0.7,1895,1.26
112	,1312.TW,國喬,28.4,0.18,8302,1.25
113	,1904.TW,正隆,35.9,2.43,10946,1.24
114	,3484.TW,崧騰,94.2,5.25,18388,1.24
115	,6143.TW,振曜,58.7,0,4402,1.23
116	,2376.TW,技嘉,156,0.65,5889,1.22
117	,6188.TW,廣明,46.45,0.22,2741,1.22
118	,1506.TW,正道,15.1,1.34,639,1.22
119	,6217.TW,中探針,52.1,0.58,917,1.21
120	,9907.TW,統一實,14,0.36,1364,1.21
121	,2891.TW,中信金,25.85,-0.19,11731,1.21
122	,3308.TW,聯德,12,-1.64,386,1.2
123	,2915.TW,潤泰全,96.3,2.01,5890,1.2
124	,6205.TW,詮欣,74.4,-0.27,5164,1.19
125	,6279.TW,胡連,138,0.36,1320,1.19
126	,6491.TW,晶碩,401.5,1.26,337,1.19
127	,2049.TW,上銀,297,0.85,1463,1.19
128	,1504.TW,東元,31,0,1370,1.19
129	,2369.TW,菱生,27.35,3.8,30605,1.18
130	,4744.TW,皇將,38.95,2.23,3166,1.18
131	,6175.TW,立敦,47.7,0.63,2614,1.17
132	,1513.TW,中興電,44.9,0.22,3610,1.17
133	,8086.TW,宏捷科,141.5,0.35,1704,1.17
134	,3682.TW,亞太電,8.19,0,1945,1.17
135	,1102.TW,亞泥,44.25,-0.11,2659,1.16
136	,1441.TW,大東,9.69,3.97,594,1.16
137	,6176.TW,瑞儀,100.5,0.6,1884,1.15
138	,2103.TW,台橡,40.5,-2.53,10875,1.15
139	,4916.TW,事欣科,32.35,0.15,1584,1.15
140	,8271.TW,宇瞻,48,0.42,1566,1.15
141	,2458.TW,義隆,169,0,1095,1.14
142	,2340.TW,台亞,73.2,9.91,64024,1.14
143	,1802.TW,台玻,26.6,0.19,3371,1.14
144	,1718.TW,中纖,10,0.1,2901,1.13
145	,1454.TW,台富,14.8,-0.67,709,1.13
146	,1727.TW,中華化,49.4,-0.5,5539,1.13
147	,5434.TW,崇越,153.5,1.32,614,1.12
148	,6133.TW,金橋,11.2,0.9,2284,1.12
149	,2379.TW,瑞昱,564,-1.4,933,1.12
150	,8358.TW,金居,78.4,0,5854,1.11
151	,5009.TW,榮剛,22.2,-0.67,4719,1.11
152	,3010.TW,華立,104.5,0,2734,1.1
153	,2313.TW,華通,43.9,-0.34,12548,1.1
154	,3675.TW,德微,274.5,-1.96,1789,1.1
155	,2105.TW,正新,36.05,0.7,2275,1.1
156	,2641.TW,正德,26.85,-0.74,1922,1.1
157	,2883.TW,開發金,16.85,0.9,66006,1.1
158	,2405.TW,浩鑫,19.7,2.34,10365,1.09
159	,5258.TW,虹堡,41.3,2.86,16399,1.09
160	,3169.TW,亞信,286,1.42,5740,1.09
161	,2534.TW,宏盛,24.1,0,1660,1.09
162	,2363.TW,矽統,25.5,0,5923,1.09
163	,8112.TW,至上,47.2,0.11,2186,1.09
164	,1316.TW,上曜,20.2,1,5069,1.09
165	,5285.TW,界霖,106,1.44,1792,1.09
166	,3701.TW,大眾控,79.2,7.61,14154,1.09
167	,3624.TW,光頡,66.7,7.58,33103,1.08
168	,8040.TW,九暘,74.6,2.47,9711,1.08
