符合條件商品
資料日期：2021年 12月  3日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:08 符合檔數(15)
1	,1907.TW,永豐餘,24.45,-1.21,810,34.9,-25.32,8,自連買
2	,2357.TW,華碩,271,-1.63,1392,365.5,-14.61,8,自連買
3	,3545.TW,敦泰,59.4,2.24,1934,170.5,-58.34,8,自連買
4	,5871.TW,中租-KY,216.5,0.46,2711,255.5,-8.58,8,自連買
5	,3090.TW,日電貿,53,-0.38,169,55.5,4.06,6,自連買
6	,6141.TW,柏承,19.2,-1.03,131,26.65,-29.52,6,自連買
7	,6239.TW,力成,81.3,0.62,1926,96.2,-8.61,6,自連買
8	,6790.TW,永豐實,35.4,-0.56,63,49.25,-22.32,6,自連買
9	,2020.TW,美亞,23.5,-0.63,75,31.95,-18.57,5,自連買
10	,2303.TW,聯電,41.95,-2.1,34060,68.3,-34.6,5,自連買
11	,2476.TW,鉅祥,46.4,-0.96,356,63.1,-23.51,5,自連買
12	,3005.TW,神基,43.55,0.35,857,53.9,-13.73,5,自連買
13	,3016.TW,嘉晶,71.2,0.28,652,153,-52.76,5,自連買
14	,6412.TW,群電,74.5,2.48,374,78.5,1.43,5,自連買
15	,8924.TW,大田,120.5,0.42,199,154,-13.13,5,自連買
