符合條件商品
資料日期：2022年  2月 14日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:58 符合檔數(26)
1	,2324.TW,仁寶,22.95,0.44,9576,25.5,-2.3,17,自連買
2	,2014.TW,中鴻,27.6,1.1,53751,39.8,-23.16,14,自連買
3	,1101.TW,台泥,34.05,-1.16,23484,47.15,-18.62,13,自連買
4	,2885.TW,元大金,21.8,-0.91,10786,25.45,-5.71,7,自連買
5	,3035.TW,智原,159,0.63,7973,231,-29.58,7,自連買
6	,3122.TW,笙泉,26,-0.95,176,51.2,-45.88,7,自連買
7	,1605.TW,華新,46.75,-1.68,42087,26.4,84.35,6,自連買
8	,2427.TW,三商電,11.95,0,66,13.05,-5.83,6,自連買
9	,2527.TW,宏璟,20.8,-0.72,64,30.1,-22.21,6,自連買
10	,2617.TW,台航,27.25,-1.27,1531,34.5,-14.92,6,自連買
11	,2732.TW,六角,126,0.8,213,94.2,39.37,6,自連買
12	,3030.TW,德律,63.7,-0.47,122,64.1,4.55,6,自連買
13	,3131.TW,弘塑,225,-0.88,34,330.5,-26.83,6,自連買
14	,3324.TW,雙鴻,151,-0.66,649,231,-32.22,6,自連買
15	,3587.TW,閎康,165,3.13,1620,138.5,23.4,6,自連買
16	,1723.TW,中碳,105.5,-0.47,103,118,-7.4,5,自連買
17	,1760.TW,寶齡富錦,190,8.57,30709,99.8,93.03,5,自連買
18	,2017.TW,官田鋼,14.2,-1.05,653,18.5,-14.82,5,自連買
19	,2425.TW,承啟,28.6,0.53,1060,29.6,-1.31,5,自連買
20	,3005.TW,神基,43.55,0.35,857,57.3,-18.86,5,自連買
21	,4540.TW,全球傳動,36.4,-0.41,42,46.9,-20.16,5,自連買
22	,4736.TW,泰博,186,-0.53,4377,192,4.85,5,自連買
23	,5269.TW,祥碩,717,0.14,564,1795,-58.94,5,自連買
24	,5471.TW,松翰,51.1,-1.73,859,83.9,-32.1,5,自連買
25	,8110.TW,華東,11.6,-1.28,672,17.85,-34.35,5,自連買
26	,9802.TW,鈺齊-KY,162,0.31,3063,112,48.46,5,自連買
