符合條件商品
資料日期：2022年  3月  2日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:55 符合檔數(23)
1	,2885.TW,元大金,21.8,-0.91,10786,25.4,-5.5,18,自連買
2	,3026.TW,禾伸堂,89.9,0,51,118.5,-16.71,9,自連買
3	,6290.TW,良維,54,-0.18,323,53.6,4.65,9,自連買
4	,2882.TW,國泰金,41.15,1.86,33982,62,-28.6,8,自連買
5	,8112.TW,至上,36.05,0.7,471,53.7,-25.13,8,自連買
6	,2732.TW,六角,126,0.8,213,106.5,23.28,6,自連買
7	,6209.TW,今國光,25.4,-0.59,249,31,-16.67,6,自連買
8	,1216.TW,統一,65.9,0,2803,68,0.89,5,自連買
9	,1722.TW,台肥,53.1,-0.56,1033,70.8,-21.67,5,自連買
10	,2301.TW,光寶科,64,-0.47,4678,68.9,-1.55,5,自連買
11	,2606.TW,裕民,50.1,-3.47,10468,60.3,-10.9,5,自連買
12	,2809.TW,京城銀,33.9,-3.42,3989,40.6,-11.67,5,自連買
13	,2886.TW,兆豐金,30.55,-0.97,8425,38.1,-14.59,5,自連買
14	,2912.TW,統一超,268,-1.47,996,264,4.83,5,自連買
15	,3005.TW,神基,43.55,0.35,857,56,-16.97,5,自連買
16	,3653.TW,健策,369.5,-0.81,1389,379,9.47,5,自連買
17	,3661.TW,世芯-KY,803,-1.35,2950,1175,-30.79,5,自連買
18	,3665.TW,貿聯-KY,251,-2.33,1391,297.5,-13,5,自連買
19	,5871.TW,中租-KY,216.5,0.46,2711,258,-9.47,5,自連買
20	,5876.TW,上海商銀,44.25,-0.45,2405,47.65,-3.74,5,自連買
21	,5880.TW,合庫金,25.95,-0.76,4866,26.9,2.98,5,自連買
22	,6213.TW,聯茂,71.9,0.42,941,130,-41.03,5,自連買
23	,8114.TW,振樺電,110,0.92,219,101,12.73,5,自連買
