符合條件商品
資料日期：2022年  1月 14日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:03 符合檔數(16)
1	,3611.TW,鼎翰,191,-0.26,8,200,1.68,13,自連買
2	,2323.TW,中環,7.4,-1.33,1685,11.8,-34.11,8,自連買
3	,1760.TW,寶齡富錦,190,8.57,30709,83.1,131.82,7,自連買
4	,1905.TW,華紙,16.25,-1.81,591,23,-27.58,7,自連買
5	,2886.TW,兆豐金,30.55,-0.97,8425,37.45,-13.11,7,自連買
6	,3005.TW,神基,43.55,0.35,857,54.1,-14.05,7,自連買
7	,3376.TW,新日興,80.7,-0.25,113,95.9,-10.04,7,自連買
8	,6176.TW,瑞儀,106,0.47,1064,101,14.32,7,自連買
9	,9939.TW,宏全,86.9,2.12,1021,71.7,28.68,7,自連買
10	,2867.TW,三商壽,5.51,-2.3,17135,9.92,-44.46,6,自連買
11	,2892.TW,第一金,26.3,-0.38,6392,25.5,9.26,6,自連買
12	,3413.TW,京鼎,183.5,-1.61,306,242,-20.59,6,自連買
13	,6670.TW,復盛應用,213,-0.7,244,194.5,16.77,6,自連買
14	,3044.TW,健鼎,96,1.59,1391,124.5,-17.5,5,自連買
15	,4927.TW,泰鼎-KY,54.5,-0.73,593,126,-53.95,5,自連買
16	,4938.TW,和碩,64.2,0.31,3317,69,0.58,5,自連買
