符合條件商品
資料日期：2022年  1月  3日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:05 符合檔數(19)
1	,5536.TW,聖暉*,102.5,-0.97,167,219,1.7,10,自連買
2	,2330.TW,台積電,455,-2.78,26724,631,-26.3,9,自連買
3	,2412.TW,中華電,112.5,-0.44,6521,115.5,0.97,9,自連買
4	,6257.TW,矽格,48.85,0.31,824,58.8,-9.54,9,自連買
5	,6515.TW,穎崴,404,-1.46,559,428.5,-2.78,8,自連買
6	,2059.TW,川湖,395,-0.63,106,512,-21,7,自連買
7	,3653.TW,健策,369.5,-0.81,1389,408,1.7,7,自連買
8	,5871.TW,中租-KY,216.5,0.46,2711,268,-12.85,7,自連買
9	,2385.TW,群光,87.2,0.11,1118,82.4,14.03,6,自連買
10	,2820.TW,華票,14.55,0,290,17.1,-10.07,6,自連買
11	,2834.TW,臺企銀,12.9,-0.39,8238,9.87,36.65,6,自連買
12	,4549.TW,桓達,84.8,0.59,8,89,10.89,6,自連買
13	,1519.TW,華城,48.9,2.09,3632,37,35.76,5,自連買
14	,2327.TW,國巨,460,-1.39,1468,491,-22.06,5,自連買
15	,3037.TW,欣興,125,2.46,35224,231,-44.66,5,自連買
16	,4770.TW,上品,300.5,-4.6,1157,289,7.35,5,自連買
17	,6488.TW,環球晶,435.5,-2.57,2065,871,-48.6,5,自連買
18	,8028.TW,昇陽半導體,57.5,-2.87,2439,57.4,7.46,5,自連買
19	,8478.TW,東哥遊艇,297,1.02,2514,150.5,102.4,5,自連買
