符合條件商品
資料日期：2022年  1月  6日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/06),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:04 符合檔數(18)
1	,5536.TW,聖暉*,102.5,-0.97,167,239.5,-7,13,自連買
2	,2385.TW,群光,87.2,0.11,1118,85,10.55,9,自連買
3	,2030.TW,彰源,23.95,1.27,3219,28.95,-9.76,7,自連買
4	,3611.TW,鼎翰,191,-0.26,8,201.5,0.92,7,自連買
5	,6217.TW,中探針,43.75,0.69,482,54.9,-18.18,7,自連買
6	,1476.TW,儒鴻,492.5,1.23,1098,644,-21.22,6,自連買
7	,1477.TW,聚陽,238.5,0,510,255.5,-1.8,6,自連買
8	,3141.TW,晶宏,79.9,0.63,950,257.5,-67.78,6,自連買
9	,3665.TW,貿聯-KY,251,-2.33,1391,252.5,2.5,6,自連買
10	,6111.TW,大宇資,61.4,3.89,5227,99.8,-16.87,6,自連買
11	,6239.TW,力成,81.3,0.62,1926,98.5,-10.75,6,自連買
12	,6613.TW,朋億*,90,-0.66,77,169.5,14.78,6,自連買
13	,2233.TW,宇隆,99.5,0.3,88,109.5,-4.69,5,自連買
14	,2546.TW,根基,50.5,0.2,33,49.65,17.36,5,自連買
15	,2801.TW,彰銀,17.25,-0.29,2566,17.5,2.37,5,自連買
16	,3687.TW,歐買尬,91,5.45,1599,195,-52.74,5,自連買
17	,3702.TW,大聯大,47.8,-0.52,2583,52,-1.54,5,自連買
18	,5222.TW,全訊,134.5,-2.18,132,199.5,-31.09,5,自連買
